layer,eigen_index,occupation,fraction
top,0,1.77626292194,0.222032865242
top,1,0.764969551125,0.0956211938906
top,2,0.691363257497,0.0864204071872
top,3,0.627958269915,0.0784947837394
top,4,0.609698162312,0.0762122702889
top,5,0.517157607005,0.0646447008756
top,6,0.464181753525,0.0580227191906
top,7,0.438792373741,0.0548490467176
top,8,0.380109093659,0.0475136367074
top,9,0.279612207336,0.034951525917
top,10,0.252709299538,0.0315886624422
top,11,0.228353227527,0.0285441534409
top,12,0.196400640245,0.0245500800306
top,13,0.191574776614,0.0239468470767
top,14,0.178114651006,0.0222643313758
top,15,0.169508413258,0.0211885516572
top,16,0.157058172209,0.0196322715262
top,17,0.135481556409,0.0169351945511
top,18,0.123601690559,0.0154502113199
top,19,0.110628704227,0.0138285880284
top,20,0.090523666266,0.0113154582833
top,21,0.054148093288,0.006768511661
top,22,0.0499405796394,0.00624257245492
top,23,0.0419856208892,0.00524820261115
top,24,0.0376421073941,0.00470526342426
top,25,0.0348952100642,0.00436190125803
top,26,0.0314745192968,0.0039343149121
top,27,0.0283615231996,0.00354519039996
top,28,0.0241631705518,0.00302039631897
top,29,0.0237173467737,0.00296466834671
top,30,0.0204450750521,0.00255563438151
top,31,0.0180999873201,0.00226249841501
top,32,0.0166598075082,0.00208247593853
top,33,0.0130849536862,0.00163561921077
top,34,0.011743929508,0.0014679911885
top,35,0.0107086449983,0.00133858062479
top,36,0.00991258531174,0.00123907316397
top,37,0.00806197429858,0.00100774678732
top,38,0.00640225069315,0.000800281336643
top,39,0.00570463754425,0.000713079693031
top,40,0.00552984286384,0.00069123035798
top,41,0.00359227533315,0.000449034416644
top,42,0.00335016676084,0.000418770845106
top,43,0.00272794636517,0.000340993295647
top,44,0.00228885384353,0.000286106730441
top,45,0.00197094357254,0.000246367946568
top,46,0.000767518940763,9.59398675954e-05
top,47,0.000586919963181,7.33649953976e-05
top,48,0.000241092641995,3.01365802494e-05
top,49,0.000190801013109,2.38501266386e-05
top,50,-0.000370885624532,-4.63607030665e-05
top,51,-0.000416442938662,-5.20553673328e-05
top,52,-0.000941268039479,-0.000117658504935
top,53,-0.00174806850293,-0.000218508562866
top,54,-0.00230099794795,-0.000287624743494
top,55,-0.00247711917876,-0.000309639897345
top,56,-0.00351088448776,-0.00043886056097
