step,energy,ewmean,ewvar,pmove,locstd
0,23881.604,23881.604,0.0,0.9941162,438055.28
1,13519.354,22845.379,9.66386e+06,0.9939209,126096.72
2,9543.572,21515.2,2.4621898e+07,0.99394536,91531.41
3,42519.402,23615.62,6.1865596e+07,0.9941406,652910.94
4,15340.099,22788.066,6.1842612e+07,0.9943115,255598.61
5,14994.904,22008.75,6.1124356e+07,0.99428713,194769.48
6,16127.991,21420.674,5.8124416e+07,0.99470216,215642.06
7,19501.445,21228.75,5.2643484e+07,0.9949463,234090.36
8,11651.734,20271.049,5.5633864e+07,0.99465334,114644.39
9,17348.416,19978.785,5.083924e+07,0.9943603,366533.62
10,15808.501,19561.756,4.732053e+07,0.99465334,157226.64
11,35428.97,21148.477,6.5247636e+07,0.9953613,524284.66
12,20665.895,21100.219,5.874383e+07,0.9949463,324123.5
13,26824.057,21672.602,5.5818056e+07,0.99428713,473949.0
14,30732.814,22578.623,5.762412e+07,0.99472654,489888.88
15,8950.103,21215.771,6.8578e+07,0.9947754,94351.43
16,16231.895,20717.383,6.395571e+07,0.9957764,177483.12
17,21283.367,20773.98,5.758897e+07,0.9958008,327379.12
18,12017.205,19898.303,5.8731372e+07,0.995459,140999.95
19,17372.473,19645.719,5.3432416e+07,0.9957031,185262.77
20,8630.839,18544.23,5.9008656e+07,0.995752,62825.14
21,12514.035,17941.21,5.638048e+07,0.9958985,131140.25
22,9382.401,17085.33,5.7335224e+07,0.99587405,85059.87
23,14697.847,16846.582,5.2114708e+07,0.9960693,159936.72
24,22946.969,17456.621,5.025256e+07,0.99582523,348319.25
25,40746.977,19785.656,9.404696e+07,0.99565434,648625.5
26,21335.602,19940.65,8.485847e+07,0.9959961,316312.25
27,24218.637,20368.45,7.801973e+07,0.9953125,399098.0
28,13787.512,19710.355,7.411554e+07,0.995044,146967.27
29,21489.744,19888.295,6.6988944e+07,0.9939941,324215.75
30,12940.223,19193.488,6.463486e+07,0.994458,159043.33
31,16994.832,18973.623,5.860644e+07,0.99326175,336704.34
32,16654.69,18741.73,5.3229764e+07,0.99387205,363762.72
33,20856.959,18953.254,4.8309464e+07,0.9931885,385218.5
34,25940.812,19652.01,4.7872852e+07,0.9927002,363882.12
35,10648.146,18751.623,5.0381824e+07,0.9923096,88822.62
36,19473.479,18823.809,4.5390536e+07,0.9917481,353410.44
37,8590.186,17800.445,5.0276916e+07,0.99199224,80267.97
38,18933.387,17913.74,4.5364744e+07,0.9919678,272779.75
39,12742.685,17396.635,4.3234852e+07,0.9911621,126573.445
40,27921.809,18449.152,4.88815e+07,0.9911865,406498.2
41,15853.201,18189.557,4.4599856e+07,0.9898926,213436.95
42,19037.814,18274.383,4.0204628e+07,0.99113774,244149.62
43,23302.646,18777.209,3.845967e+07,0.990918,374730.34
44,14264.145,18325.902,3.6446804e+07,0.9902588,195787.66
45,16267.198,18120.031,3.3183568e+07,0.9897461,212434.52
46,8106.8325,17118.71,3.8888984e+07,0.98933107,66570.65
47,20653.139,17472.154,3.612438e+07,0.9894776,274233.44
48,16325.475,17357.486,3.263028e+07,0.9888428,186572.9
49,9458.831,16567.621,3.498224e+07,0.98896486,127382.58
50,7601.941,15671.053,3.871852e+07,0.98886716,50135.215
51,14362.838,15540.231,3.5000696e+07,0.98776853,151488.58
52,20156.656,16001.874,3.3418648e+07,0.98720706,275945.84
53,19886.34,16390.32,3.14348e+07,0.9871094,309526.22
54,25836.082,17334.896,3.6321336e+07,0.9875244,385130.9
55,31118.355,18713.242,4.978774e+07,0.98737794,408661.03
56,13005.512,18142.469,4.7741004e+07,0.98698735,134343.42
57,15140.729,17842.295,4.3777844e+07,0.9858887,313671.9
58,15972.315,17655.297,3.9714776e+07,0.98720706,202802.23
59,23355.059,18225.273,3.866715e+07,0.98620605,280795.88
60,13892.082,17791.955,3.649033e+07,0.986084,157185.67
61,12608.458,17273.605,3.525947e+07,0.9851074,138648.34
62,14531.664,16999.412,3.2410166e+07,0.98525393,178251.61
63,19001.268,17199.598,2.9529816e+07,0.986084,325557.62
64,11495.998,16629.238,2.9504628e+07,0.98547363,110323.1
65,24683.422,17434.656,3.2392454e+07,0.9860108,463746.16
66,20322.332,17723.424,2.990369e+07,0.9845703,440001.56
67,13188.073,17269.889,2.8764566e+07,0.9844971,197914.16
68,25879.268,18130.826,3.2559036e+07,0.98481447,440101.28
69,11027.286,17420.473,3.3844556e+07,0.9851563,134576.45
70,12658.317,16944.258,3.250113e+07,0.9855225,178728.55
71,19856.527,17235.484,3.0014336e+07,0.9854492,277073.03
72,20572.812,17569.217,2.80153e+07,0.9866455,262550.4
73,28578.766,18670.172,3.6122684e+07,0.98691404,470251.72
74,16909.309,18494.086,3.2789472e+07,0.9884766,183515.83
75,8628.229,17507.5,3.8270684e+07,0.98886716,80806.28
76,18334.543,17590.205,3.4505176e+07,0.98945314,283196.12
77,20126.514,17843.836,3.1633616e+07,0.98896486,311971.62
78,7852.624,16844.715,3.7454444e+07,0.99072266,73614.27
79,14515.981,16611.842,3.4197068e+07,0.98986816,195557.45
80,21706.623,17121.32,3.3113472e+07,0.9912598,284274.38
81,20350.28,17444.217,3.0740478e+07,0.9904297,372334.9
82,14829.161,17182.71,2.8281896e+07,0.98964846,157755.88
83,14709.176,16935.357,2.600436e+07,0.9896973,211533.17
84,23103.027,17552.125,2.6827538e+07,0.9891602,380645.16
85,21900.105,17986.924,2.5846228e+07,0.98898923,311780.44
86,14599.618,17648.193,2.429425e+07,0.9893067,287569.5
87,17369.748,17620.35,2.1871804e+07,0.988623,218733.61
88,16634.145,17521.729,1.9772158e+07,0.9890381,293744.9
89,29892.906,18758.846,3.1569084e+07,0.9898438,511867.97
90,16894.436,18572.404,2.8725016e+07,0.98991704,341663.53
91,8190.9653,17534.26,3.55522e+07,0.98977053,76506.6
92,12155.373,16996.371,3.46009e+07,0.9887451,132629.1
93,12824.357,16579.17,3.270732e+07,0.99035645,135484.38
94,28412.418,17762.494,4.2038904e+07,0.99067384,380025.44
95,12364.22,17222.666,4.0457736e+07,0.9910644,115477.03
96,24429.96,17943.395,4.1087024e+07,0.9908447,398666.03
97,22242.59,18373.314,3.8641796e+07,0.99094236,297551.5
98,10595.169,17595.5,4.0222576e+07,0.9916016,102567.93
99,22700.49,18106.0,3.85458e+07,0.9907959,454158.66
100,23568.871,18652.287,3.7377084e+07,0.99172366,461434.78
101,12951.292,18082.188,3.6564496e+07,0.99072266,147540.31
102,16319.187,17905.887,3.318778e+07,0.9906494,221007.92
