r,top_top,bottom_bottom,top_bottom
1.356752352296751798e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.105242660360384210e+00
4.070257056890255742e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.013009287612785636e-01
6.783761761483758645e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.947183943243456117e-01
9.497266466077262936e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.473508517374723548e-01
1.221077117067076584e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.947183943243461668e-01
1.492427587526427013e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.490273163677489743e-01
1.763778057985777581e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.713382611244143483e-01
2.035128528445127594e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.707714700165379629e-01
2.306478998904478162e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.038603029368067032e+00
2.577829469363828174e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.365477279895892959e-01
2.849179939823178742e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.012990742224555873e-01
3.120530410282529310e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.051181878060146957e+00
3.391880880741879878e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.781397544189410764e-01
3.663231351201229891e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.043840290340361410e+00
3.934581821660579903e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.842376449588616794e-01
4.205932292119930471e-01,0.000000000000000000e+00,1.782649452194166092e-03,1.027697409189936684e+00
4.477282762579281039e-01,3.349220182910252891e-03,0.000000000000000000e+00,1.013139105330351564e+00
4.748633233038631607e-01,3.157836172458242802e-03,1.578918086229121401e-03,9.781397544189407434e-01
5.019983703497981065e-01,0.000000000000000000e+00,1.493571162649170786e-03,1.061182311062235817e+00
5.291334173957331632e-01,4.250933309078397566e-03,1.700373323631359027e-02,1.037227727415129142e+00
5.562684644416682200e-01,1.213071212590664111e-02,6.739284514392577911e-03,1.061437311016830920e+00
5.834035114876032768e-01,1.156649295725983330e-02,1.028132707311985201e-02,9.979313090346956239e-01
6.105385585335383336e-01,2.210485320720766839e-02,2.456094800800852004e-02,9.781397544189394111e-01
6.376736055794733904e-01,3.644949199060837364e-02,5.526213301801914668e-02,9.723783831042942527e-01
6.648086526254084472e-01,5.187873711895695655e-02,5.638993165104017047e-02,9.947183943243486093e-01
6.919436996713433929e-01,7.259927278837813303e-02,9.101998379438452913e-02,1.008263034769938171e+00
7.190787467172784497e-01,1.136523113012091885e-01,1.115669477910952584e-01,1.013486665915370066e+00
7.462137937632135065e-01,1.657863990540573429e-01,1.366481834627381875e-01,9.660825617604614779e-01
7.733488408091485633e-01,2.113534210162838489e-01,2.317131542334487926e-01,1.015078127541509945e+00
8.004838878550835091e-01,2.547677996762932606e-01,2.472746290975787742e-01,1.005021503870083377e+00
8.276189349010185659e-01,3.442559106040535832e-01,3.188896856121759549e-01,9.698051376358930442e-01
