step,energy,ewmean,ewvar,pmove,locstd,mcmc_width
0,99353.75,99353.75,0.0,0.99052733,824563.0,0.05124148
1,91189.67,98537.34,5.9986955e+06,0.98774415,671554.25,0.05124148
2,90402.375,97723.84,1.1354821e+07,0.9792969,651371.06,0.05124148
3,95834.87,97534.945,1.0540479e+07,0.98354495,801159.8,0.05124148
4,64900.14,94271.47,1.05339176e+08,0.9772461,382313.84,0.05124148
5,84472.75,93291.59,1.0344659e+08,0.98154294,683202.1,0.052490205
6,76195.56,91581.99,1.1940661e+08,0.9678223,608529.3,0.052490205
7,64381.133,88861.91,1.7405574e+08,0.95751953,431925.72,0.052490205
8,68168.09,86792.52,1.9519122e+08,0.93793947,543769.4,0.052490205
9,80286.89,86141.96,1.7948118e+08,0.92822266,593275.0,0.052490205
10,112170.695,88744.836,2.2250762e+08,0.91010743,795332.8,0.053577647
11,67402.57,86610.61,2.4125115e+08,0.88916016,459772.56,0.053577647
12,89756.2,86925.17,2.1801656e+08,0.8851563,688572.0,0.053577647
13,84662.63,86698.92,1.9667562e+08,0.9238281,611150.1,0.053577647
14,87309.83,86760.016,1.7704165e+08,0.89692384,730418.1,0.053577647
15,93583.56,87442.37,1.6352795e+08,0.91860354,735615.1,0.05471086
16,98748.67,88573.0,1.5868008e+08,0.9485352,702686.56,0.05471086
17,92201.47,88935.84,1.43997e+08,0.9363282,790792.44,0.05471086
18,62113.45,86253.6,1.9434698e+08,0.90615237,329530.78,0.05471086
19,74685.625,85096.805,1.869559e+08,0.9009766,512105.72,0.05471086
20,67643.09,83351.44,1.9567718e+08,0.89624023,483757.56,0.05580561
21,77772.64,82793.555,1.7891053e+08,0.86020505,651151.6,0.05580561
22,71141.39,81628.336,1.7323904e+08,0.8567383,544682.3,0.05580561
23,79842.7,81449.77,1.562021e+08,0.88442385,627175.44,0.05580561
24,99577.01,83262.5,1.7015558e+08,0.85375977,802452.3,0.05580561
25,96140.72,84550.32,1.6806638e+08,0.87187505,776137.4,0.05685295
26,72026.8,83297.97,1.6537523e+08,0.8498047,472939.62,0.05685295
27,95675.21,84535.695,1.6262536e+08,0.8359375,797774.06,0.05685295
28,93670.99,85449.23,1.5387365e+08,0.8206543,736582.8,0.05685295
29,77738.08,84678.11,1.4383784e+08,0.8186035,545538.75,0.05685295
30,110244.45,87234.74,1.8828146e+08,0.8169434,892958.0,0.057761088
31,93454.97,87856.766,1.7293552e+08,0.80922854,738373.1,0.057761088
32,94819.63,88553.055,1.6000531e+08,0.798584,795408.5,0.057761088
33,64057.227,86103.47,1.9800888e+08,0.82260746,451885.06,0.057761088
34,66405.2,84133.64,2.1312994e+08,0.8106445,388209.25,0.057761088
35,79258.91,83646.164,1.9395562e+08,0.8353027,506856.12,0.058737624
36,127694.766,88051.02,3.4918518e+08,0.8487793,877377.44,0.058737624
37,70958.95,86341.81,3.4055917e+08,0.83149415,441259.72,0.058737624
38,75047.664,85212.4,3.1798346e+08,0.8325684,527574.44,0.058737624
39,126781.53,89369.31,4.4170448e+08,0.8214356,903253.94,0.058737624
40,100748.984,90507.28,4.0918874e+08,0.8153809,776950.94,0.0596712
41,59426.78,87399.234,4.5520963e+08,0.8364258,358650.22,0.0596712
42,95223.84,88181.695,4.1519888e+08,0.81582034,758080.8,0.0596712
43,90168.48,88380.375,3.7403424e+08,0.80390626,643881.75,0.0596712
44,100680.586,89610.4,3.5024736e+08,0.78828126,825565.44,0.0596712
45,75484.29,88197.79,3.3318182e+08,0.7730957,498979.84,0.06049158
46,83292.39,87707.25,3.020293e+08,0.782959,494786.94,0.06049158
47,68818.89,85818.414,3.0393568e+08,0.78056645,465712.22,0.06049158
48,77378.46,84974.42,2.7995306e+08,0.78095704,491721.72,0.06049158
49,118696.66,88346.65,3.5430477e+08,0.77817386,894089.5,0.06049158
50,78176.33,87329.62,3.281835e+08,0.7675293,635834.7,0.06130618
51,100487.516,88645.41,3.1094685e+08,0.7638672,832628.44,0.06130618
52,79660.57,87746.92,2.8711763e+08,0.7429199,582291.3,0.06130618
53,97713.59,88743.586,2.6734595e+08,0.765918,747668.1,0.06130618
54,75552.46,87424.48,2.5627187e+08,0.7734864,500775.75,0.06130618
