step,energy,ewmean,ewvar,pmove,locstd,mcmc_width
0,24017.906,24017.906,0.0,0.995166,285956.25,0.051253367
1,12873.574,22903.473,1.1177652e+07,0.9933594,130475.48,0.051253367
2,17176.984,22330.824,1.3011227e+07,0.98647463,203555.86,0.051253367
3,18294.543,21927.195,1.3176345e+07,0.98613286,174865.05,0.051253367
4,18778.639,21612.34,1.2750917e+07,0.99326175,252342.83,0.051253367
5,40769.23,23528.03,4.450461e+07,0.98657227,522299.28,0.052515585
6,24247.75,23600.002,4.010077e+07,0.9866699,446367.97,0.052515585
7,28798.914,24119.893,3.852327e+07,0.9869629,388675.75,0.052515585
8,26510.605,24358.965,3.518534e+07,0.9832519,361715.6,0.052515585
9,11871.123,23110.18,4.5701964e+07,0.97465825,81514.61,0.052515585
10,25549.738,23354.135,4.1667396e+07,0.9742187,323100.3,0.05377566
11,25378.996,23556.621,3.7869664e+07,0.96606445,286280.5,0.05377566
12,7691.8647,21970.145,5.673484e+07,0.97158206,51554.574,0.05377566
13,26310.871,22404.217,5.275713e+07,0.967627,442627.47,0.05377566
14,23918.8,22555.676,4.768787e+07,0.9693359,298625.5,0.05377566
15,21551.145,22455.223,4.30099e+07,0.96958005,354379.3,0.0550532
16,23140.062,22523.707,3.875112e+07,0.9740723,269774.56,0.0550532
17,30302.023,23301.54,4.0321204e+07,0.9615723,450051.62,0.0550532
18,27923.354,23763.72,3.8211588e+07,0.9542969,404270.28,0.0550532
19,15484.509,22935.799,4.055951e+07,0.9542481,125441.35,0.0550532
20,22445.941,22886.812,3.6525156e+07,0.95166016,273879.38,0.056310613
21,21990.764,22797.207,3.2944902e+07,0.93725586,369903.56,0.056310613
22,18805.51,22398.037,3.108444e+07,0.92758787,219570.48,0.056310613
23,21435.934,22301.826,2.8059302e+07,0.9220703,281746.25,0.056310613
24,27275.566,22799.2,2.74798e+07,0.90888673,387542.03,0.056310613
25,19393.68,22458.646,2.57756e+07,0.89560544,310298.03,0.05743553
26,19499.496,22162.73,2.3986132e+07,0.9147461,261593.14,0.05743553
27,23597.031,22306.16,2.1772668e+07,0.93046874,381023.0,0.05743553
28,26552.016,22730.746,2.1217856e+07,0.92534184,304377.16,0.05743553
29,20649.87,22522.658,1.9485774e+07,0.91147465,274905.72,0.05743553
30,29126.47,23183.04,2.1462126e+07,0.90112305,450652.12,0.058599103
31,19902.139,22854.95,2.02847e+07,0.9126953,234081.16,0.058599103
32,24466.148,23016.068,1.8489866e+07,0.9292481,357757.62,0.058599103
33,20761.246,22790.586,1.7098458e+07,0.9211426,195586.73,0.058599103
34,21250.426,22636.57,1.5602101e+07,0.92993164,314843.34,0.058599103
35,30294.307,23402.344,1.9319574e+07,0.938916,495658.72,0.059899315
36,17875.3,22849.639,2.0136954e+07,0.94448245,167426.45,0.059899315
37,22295.148,22794.19,1.815093e+07,0.94907224,336276.56,0.059899315
38,22353.268,22750.098,1.6353334e+07,0.9538574,216757.53,0.059899315
39,17912.324,22266.32,1.6824366e+07,0.9453613,293188.72,0.059899315
40,11203.405,21160.03,2.6156858e+07,0.9425293,98696.34,0.061239447
41,22786.99,21322.725,2.3779402e+07,0.93608403,402781.38,0.061239447
42,30554.062,22245.86,2.9071046e+07,0.9216797,521445.25,0.061239447
43,13251.065,21346.38,3.3445512e+07,0.89633787,93154.25,0.061239447
44,17190.418,20930.785,3.1655444e+07,0.9197754,183912.61,0.061239447
45,10160.665,19853.773,3.8929492e+07,0.9123047,61446.305,0.06251502
46,21891.145,20057.51,3.541012e+07,0.8986328,391493.3,0.06251502
47,18782.508,19930.01,3.2015414e+07,0.9097656,304133.1,0.06251502
48,28279.27,20764.936,3.5087784e+07,0.90878904,307348.84,0.06251502
49,12765.252,19964.967,3.733855e+07,0.90000004,201986.88,0.06251502
50,25878.309,20556.3,3.675178e+07,0.9003906,422889.47,0.06377915
51,33621.98,21862.87,4.8440676e+07,0.89877933,487596.44,0.06377915
52,27079.088,22384.49,4.604541e+07,0.8792969,441287.5,0.06377915
53,18436.875,21989.729,4.2843396e+07,0.9028809,251798.06,0.06377915
54,29523.924,22743.148,4.3667828e+07,0.8973144,371808.56,0.06377915
55,18403.676,22309.201,4.0995836e+07,0.8995606,277503.94,0.06506615
56,17893.613,21867.643,3.8651016e+07,0.9032715,206718.16,0.06506615
57,21537.607,21834.639,3.4795716e+07,0.9103516,242680.72,0.06506615
58,19513.824,21602.557,3.1800902e+07,0.8955567,215493.3,0.06506615
59,12806.889,20722.99,3.558355e+07,0.8646973,105262.52,0.06506615
60,15204.604,20171.152,3.476593e+07,0.8666504,175399.66,0.06626998
61,24651.91,20619.229,3.3096282e+07,0.8506348,461496.78,0.06626998
62,26960.559,21253.361,3.3405774e+07,0.8415039,455652.6,0.06626998
63,23267.223,21454.748,3.0430202e+07,0.84882814,267941.53,0.06626998
64,20015.469,21310.82,2.7573618e+07,0.8571289,293505.66,0.06626998
65,31791.188,22358.857,3.4701684e+07,0.85180664,562310.44,0.06744599
66,18066.305,21929.602,3.2889854e+07,0.831836,218337.98,0.06744599
67,22698.188,22006.46,2.9654032e+07,0.85078126,309105.7,0.06744599
68,15490.547,21354.87,3.0509768e+07,0.86284184,188162.58,0.06744599
69,29880.803,22207.463,3.400103e+07,0.86640626,359542.75,0.06744599
70,16268.172,21613.533,3.3775696e+07,0.85786134,192550.98,0.06866367
71,23100.65,21762.244,3.0597162e+07,0.8394531,270136.88,0.06866367
72,22854.15,21871.436,2.7644748e+07,0.82802737,348402.0,0.06866367
73,24952.645,22179.557,2.5734718e+07,0.81044924,361421.53,0.06866367
74,22222.266,22183.828,2.316141e+07,0.8390625,319401.2,0.06866367
75,29735.453,22938.99,2.5977702e+07,0.8383789,453249.1,0.06983527
76,14411.082,22086.2,2.99252e+07,0.85961914,163043.2,0.06983527
77,12568.8125,21134.46,3.5084936e+07,0.8526856,120109.54,0.06983527
78,25805.75,21601.59,3.3540328e+07,0.8484375,380163.0,0.06983527
79,19806.578,21422.088,3.0476282e+07,0.84726566,234963.48,0.06983527
80,29534.186,22233.297,3.3351206e+07,0.8482422,383176.88,0.0710619
81,18752.031,21885.17,3.1106814e+07,0.8366211,223687.36,0.0710619
82,28429.607,22539.613,3.1850802e+07,0.8474121,292511.75,0.0710619
83,21649.584,22450.61,2.8737016e+07,0.85117185,236284.64,0.0710619
84,12443.609,21449.91,3.4875916e+07,0.84672856,131538.27,0.0710619
85,13751.974,20680.117,3.6721564e+07,0.8490723,138563.8,0.072313085
86,16784.05,20290.51,3.4415544e+07,0.8510254,154326.73,0.072313085
87,14896.892,19751.148,3.3592188e+07,0.8512207,157443.16,0.072313085
88,27466.91,20522.725,3.559094e+07,0.85068357,325407.06,0.072313085
89,23819.408,20852.393,3.3009976e+07,0.85185546,312761.28,0.072313085
90,31920.795,21959.232,4.0734836e+07,0.8600586,585350.1,0.07362672
91,29150.133,22678.322,4.1315164e+07,0.87368166,338841.34,0.07362672
92,13452.763,21755.766,4.484363e+07,0.8628906,136628.38,0.07362672
93,29126.82,22492.871,4.5249188e+07,0.8659668,438265.38,0.07362672
94,26810.783,22924.662,4.240226e+07,0.8479004,399182.44,0.07362672
95,39473.727,24579.568,6.281047e+07,0.8489746,636231.94,0.07492269
96,31358.355,25257.447,6.0665096e+07,0.83354497,457073.34,0.07492269
97,17842.338,24515.936,5.9547132e+07,0.83647466,232295.33,0.07492269
98,16516.516,23715.994,5.9351584e+07,0.8391602,251259.48,0.07492269
99,23231.35,23667.53,5.3437564e+07,0.8245606,352661.97,0.07492269
100,24179.074,23718.684,4.8117356e+07,0.82944334,368142.72,0.07616703
101,36273.203,24974.135,5.7491056e+07,0.8385254,570885.6,0.07616703
102,16997.207,24176.441,5.7468772e+07,0.8625,192547.72,0.07616703
103,19783.88,23737.186,5.345841e+07,0.86508787,296928.1,0.07616703
104,12301.145,22593.582,5.988304e+07,0.8594727,150785.27,0.07616703
105,23169.168,22651.14,5.3924548e+07,0.8604492,333529.6,0.07755221
106,12930.195,21679.047,5.70368e+07,0.8563965,157446.45,0.07755221
107,17710.688,21282.21,5.2750428e+07,0.85200197,271388.4,0.07755221
108,15165.377,20670.527,5.084279e+07,0.8343262,161863.12,0.07755221
109,14009.37,20004.412,4.97519e+07,0.8316406,141571.38,0.07755221
110,16036.998,19607.67,4.619334e+07,0.8382324,245296.89,0.07887488
111,13264.316,18973.334,4.5195436e+07,0.83408207,141304.28,0.07887488
112,24157.75,19491.775,4.3094924e+07,0.8053223,337267.8,0.07887488
113,12038.751,18746.473,4.378471e+07,0.8076172,128484.38,0.07887488
114,19378.316,18809.656,3.9442172e+07,0.8213867,295244.5,0.07887488
115,19518.316,18880.521,3.554315e+07,0.8036621,362625.75,0.0800816
116,25585.156,19550.984,3.603453e+07,0.80571294,367682.5,0.0800816
117,13220.292,18917.916,3.6038064e+07,0.79052734,246636.25,0.0800816
118,30382.293,20064.354,4.426313e+07,0.7818359,505204.2,0.0800816
119,23085.37,20366.455,4.06582e+07,0.76049805,390849.75,0.0800816
120,15834.029,19913.213,3.844124e+07,0.77353513,354192.44,0.081184365
121,21689.348,20090.826,3.488103e+07,0.7803223,432985.9,0.081184365
122,18500.84,19931.828,3.1620452e+07,0.7592285,239008.52,0.081184365
123,16058.854,19544.531,2.98084e+07,0.7541992,216342.28,0.081184365
124,10458.468,18635.926,3.425765e+07,0.7595215,144520.0,0.081184365
125,27003.82,19472.715,3.713383e+07,0.76831055,385754.62,0.08228084
126,30074.156,20532.86,4.35356e+07,0.76157224,487063.84,0.08228084
127,12233.134,19702.887,4.538173e+07,0.76166993,207461.06,0.08228084
128,20003.496,19732.947,4.085169e+07,0.7561035,389497.47,0.08228084
129,28883.32,20647.984,4.4302156e+07,0.7663086,540691.0,0.08228084
130,15828.093,20165.996,4.196276e+07,0.75341797,274575.9,0.08333005
131,21328.906,20282.287,3.7888196e+07,0.75913084,338126.03,0.08333005
132,28064.2,21060.479,3.954961e+07,0.7633301,467941.75,0.08333005
133,16100.041,20564.436,3.780918e+07,0.7449219,287727.25,0.08333005
134,17512.385,20259.23,3.4866612e+07,0.7350586,255949.6,0.08333005
135,23581.775,20591.484,3.2373488e+07,0.73237306,350783.38,0.084303886
136,14595.473,19991.883,3.2371832e+07,0.71967775,262832.5,0.084303886
137,31662.023,21158.896,4.1391944e+07,0.738086,509162.2,0.084303886
138,23761.11,21419.117,3.7862184e+07,0.7536133,414692.16,0.084303886
139,15343.443,20811.55,3.739821e+07,0.74560547,148997.72,0.084303886
140,9749.17,19705.312,4.4672252e+07,0.7395996,89958.89,0.08531992
141,18562.78,19591.059,4.032251e+07,0.72617185,300542.16,0.08531992
142,25758.191,20207.771,3.9713276e+07,0.7388184,436062.1,0.08531992
143,37801.39,21967.133,6.3600132e+07,0.74848634,585190.2,0.08531992
144,26832.451,22453.664,5.9370536e+07,0.7495606,423068.2,0.08531992
145,27913.268,22999.625,5.6116136e+07,0.7439453,465776.16,0.08636697
146,22025.385,22902.201,5.0589944e+07,0.7290528,343276.53,0.08636697
147,24699.4,23081.922,4.582164e+07,0.72524416,391481.4,0.08636697
148,16004.813,22374.21,4.574717e+07,0.7212403,172596.47,0.08636697
149,10821.1045,21218.9,5.3185136e+07,0.7236817,122469.26,0.08636697
150,22640.727,21361.082,4.8048564e+07,0.71977544,358760.3,0.08732125
151,12133.531,20438.326,5.0906996e+07,0.7116699,116046.08,0.08732125
152,17517.701,20146.264,4.6584e+07,0.6985352,287973.9,0.08732125
153,6755.83,18807.22,5.806293e+07,0.6778809,52980.867,0.08732125
154,12541.69,18180.668,5.578975e+07,0.6648438,203426.42,0.08732125
155,9757.42,17338.344,5.6596376e+07,0.6709473,77523.7,0.08807081
156,13621.572,16966.666,5.218003e+07,0.69003904,228737.55,0.08807081
157,14948.554,16764.855,4.7328576e+07,0.6810547,289456.06,0.08807081
158,23989.69,17487.34,4.729356e+07,0.6622559,403869.16,0.08807081
159,13290.768,17067.684,4.4149212e+07,0.65297854,206654.53,0.08807081
160,25530.549,17913.97,4.6180096e+07,0.67036134,348340.4,0.088824205
161,13511.279,17473.701,4.3306616e+07,0.675586,185081.4,0.088824205
