step,energy,ewmean,ewvar,pmove,locstd,mcmc_width
0,70288.875,70288.875,0.0,0.99018556,522652.03,0.0512406
1,97969.6,73056.945,6.896003e+07,0.989209,788338.4,0.0512406
2,74207.2,73171.97,6.2183108e+07,0.9825195,649957.5,0.0512406
3,77345.64,73589.336,5.753255e+07,0.9851074,521729.44,0.0512406
4,102278.03,76458.2,1.25853e+08,0.9734863,702482.25,0.0512406
5,74747.06,76287.086,1.1353122e+08,0.9655762,545365.75,0.05244741
6,78789.31,76537.31,1.0274159e+08,0.9713379,581828.56,0.05244741
7,75003.94,76383.98,9.267904e+07,0.96240234,537320.25,0.05244741
8,79157.19,76661.3,8.41033e+07,0.9489258,570733.8,0.05244741
9,76398.89,76635.055,7.569916e+07,0.95273435,569461.94,0.05244741
10,65419.617,75513.51,7.944999e+07,0.9321778,467556.97,0.053593066
11,100941.72,78056.33,1.2969843e+08,0.93681645,824766.6,0.053593066
12,80383.72,78289.07,1.1721609e+08,0.95634764,591093.25,0.053593066
13,68996.62,77359.83,1.13265944e+08,0.9480469,556242.7,0.053593066
14,81621.56,77786.0,1.0357396e+08,0.9425293,576201.75,0.053593066
15,88851.484,78892.55,1.0423661e+08,0.92695314,830862.44,0.05474946
16,68214.44,77824.734,1.0407493e+08,0.90126956,489478.03,0.05474946
17,74841.516,77526.414,9.44684e+07,0.92333984,636900.06,0.05474946
18,75120.83,77285.86,8.5542376e+07,0.90175784,494501.84,0.05474946
19,88145.734,78371.84,8.7602456e+07,0.9105957,744005.3,0.05474946
20,107823.34,81316.99,1.5690738e+08,0.8921387,767670.5,0.055833515
21,87492.59,81934.555,1.4464906e+08,0.89819336,684955.2,0.055833515
22,101789.45,83920.05,1.6566368e+08,0.88486326,769822.6,0.055833515
23,90201.48,84548.19,1.5264838e+08,0.8864746,654015.0,0.055833515
24,87601.64,84853.53,1.3822266e+08,0.8665527,716148.2,0.055833515
25,88885.12,85256.69,1.25863224e+08,0.8599609,679323.56,0.0568475
26,99775.086,86708.53,1.3224745e+08,0.85302734,842860.6,0.0568475
27,76913.39,85729.016,1.2765773e+08,0.851709,545251.3,0.0568475
28,100897.266,87245.84,1.3559878e+08,0.82802737,910046.25,0.0568475
29,89979.36,87519.195,1.227114e+08,0.8688965,654293.75,0.0568475
30,78758.75,86643.15,1.1734734e+08,0.8884766,483505.2,0.057962485
31,100804.03,88059.234,1.2366036e+08,0.842041,717615.25,0.057962485
32,75043.29,86757.64,1.26541656e+08,0.8611816,542648.56,0.057962485
33,57913.734,83873.25,1.8876486e+08,0.85976565,287867.8,0.057962485
34,87491.164,84235.04,1.7106642e+08,0.84472656,566715.9,0.057962485
35,81270.32,83938.57,1.5475083e+08,0.84780276,601046.56,0.058979284
36,92631.18,84807.83,1.4607627e+08,0.84638673,590819.8,0.058979284
37,63549.97,82682.04,1.7213933e+08,0.840625,497048.94,0.058979284
38,55792.445,79993.08,2.199999e+08,0.8305176,312758.1,0.058979284
39,63600.61,78353.83,2.2218408e+08,0.8486816,452128.4,0.058979284
40,65228.676,77041.31,2.1546994e+08,0.81875,512081.25,0.0599268
41,66632.555,76000.44,2.0367374e+08,0.79448247,514595.44,0.0599268
42,85988.59,76999.25,1.9228506e+08,0.829541,561150.5,0.0599268
43,88415.7,78140.9,1.8478672e+08,0.82255864,731934.4,0.0599268
44,94161.414,79742.95,1.8940717e+08,0.77475584,769177.44,0.0599268
45,67073.76,78476.03,1.8491221e+08,0.7729981,542787.3,0.060750403
46,84372.64,79065.695,1.6955029e+08,0.7918457,602741.9,0.060750403
47,99464.59,81105.586,1.900456e+08,0.78881836,740823.3,0.060750403
48,57569.89,78752.016,2.2089464e+08,0.80512697,329555.4,0.060750403
49,85069.18,79383.734,2.0239677e+08,0.7896484,656628.25,0.060750403
50,86403.67,80085.73,1.8659224e+08,0.78227544,621660.0,0.061613895
51,95343.82,81611.54,1.8888586e+08,0.7858887,630898.5,0.061613895
52,81100.83,81560.47,1.7002074e+08,0.773584,683813.4,0.061613895
53,76892.05,81093.625,1.5498014e+08,0.7667969,690672.7,0.061613895
