r,top_top,bottom_bottom,top_bottom
2.713504704593503597e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.243397992905432403e+00
8.140514113780510791e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.578769723123331525e-01
1.356752352296751798e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.836659677207423291e-01
1.899453293215452518e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.049980527342365022e+00
2.442154234134153237e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.010068986829351312e+00
2.984855175052853957e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.620634975409710909e-01
3.527556115971554329e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.022349460833355206e+00
4.070257056890255742e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.005770820927949449e+00
4.612957997808955768e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.017473390272941813e+00
5.155658938727657181e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.028166527466831459e+00
5.698359879646357207e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.815607436057701696e-01
6.241060820565058620e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.005530550784393240e+00
6.783761761483758645e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.438772319477689576e-01
7.326462702402458671e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.009045613995682933e+00
7.869163643321161472e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.537481922592614403e-01
8.411864584239861498e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.991750179548321009e-01
8.954565525158561523e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.064214713119735478e+00
9.497266466077261549e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.662978687722199034e-01
1.003996740699596435e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.007413749206862885e+00
1.058266834791466438e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.777146610880337319e-01
1.112536928883336440e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.940444658729071792e-01
1.166807022975206443e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.953609772664157029e-01
1.221077117067076723e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.941043706241436961e-01
1.275347211158946725e-01,0.000000000000000000e+00,1.175790064213177652e-03,1.000009449613307622e+00
1.329617305250816728e-01,1.127798633020800877e-03,0.000000000000000000e+00,9.856960052601799749e-01
1.383887399342686730e-01,4.334284942589747454e-03,1.083571235647436863e-03,1.006637677916468743e+00
1.438157493434557010e-01,4.170727020227844514e-03,2.085363510113922257e-03,1.019221415568179578e+00
1.492427587526427013e-01,9.042894493857707439e-03,6.028596329238472204e-03,9.776373713915055275e-01
1.546697681618297016e-01,1.066462216137213474e-02,1.551217768926855915e-02,1.026712260808462673e+00
1.600967775710167018e-01,1.873292644678611896e-02,2.341615805848264870e-02,1.023754430316861308e+00
1.655237869802037298e-01,3.533152766725823624e-02,3.804933748781656050e-02,1.019178682709372286e+00
1.709507963893907301e-01,7.280566730945389753e-02,8.333178788431470918e-02,1.002174396398205714e+00
1.763778057985777303e-01,1.198763193160111845e-01,1.122246393596700448e-01,1.001519887618873561e+00
1.818048152077647306e-01,1.674360149650434559e-01,1.707352467870147383e-01,9.926563744356147190e-01
1.872318246169517586e-01,2.226503330291197125e-01,2.514827502559121575e-01,9.506688680056297747e-01
1.926588340261387589e-01,3.549229951579831455e-01,3.806082119128372243e-01,1.018846931275876999e+00
1.980858434353257591e-01,4.610224521640243212e-01,4.625364832056138575e-01,1.010615720261038408e+00
2.035128528445127594e-01,6.417775714492607309e-01,6.064098063177285614e-01,9.895605952426602681e-01
2.089398622536997874e-01,7.557276112723947392e-01,7.585983714291749669e-01,9.821588186384351271e-01
2.143668716628867876e-01,9.933193529821175982e-01,1.007309766404400841e+00,1.001713601035487677e+00
