step,energy,ewmean,ewvar,pmove,locstd,mcmc_width
0,258.23343,258.23343,0.0,0.45751953,223.18948,0.08771742
1,252.74352,257.68445,2.712524,0.45996094,26.647663,0.08771742
2,252.7192,257.18793,4.66011,0.46171877,29.86957,0.08771742
3,257.49945,257.2191,4.202833,0.4532715,219.58722,0.08771742
4,253.2103,256.8182,5.2288847,0.44692382,50.356117,0.08771742
5,252.54712,256.3911,6.347793,0.45966798,35.015644,0.087540716
6,251.85605,255.9376,7.564027,0.46000975,16.366983,0.087540716
7,252.62395,255.60625,7.7958546,0.45322266,53.052517,0.087540716
8,251.59428,255.20505,8.464895,0.45810547,19.600965,0.087540716
9,253.81662,255.06621,7.791901,0.45961916,95.70745,0.087540716
10,252.08871,254.76846,7.8106027,0.4633789,36.400513,0.087380566
11,251.35529,254.42714,8.078022,0.4552246,11.121846,0.087380566
12,252.0932,254.19374,7.760474,0.4637207,24.400059,0.087380566
13,254.99112,254.27348,7.04165,0.45957032,149.51608,0.087380566
14,251.43936,253.99007,7.0603867,0.46108398,11.526993,0.087380566
15,254.56616,254.04767,6.3842177,0.4603516,77.45195,0.08720751
16,252.91104,253.934,5.862069,0.45053712,32.348377,0.08720751
17,315.41608,260.0822,345.47992,0.45166016,2894.663,0.08720751
18,248.78809,258.9528,322.41208,0.43789065,32.38398,0.08720751
19,251.97057,258.25458,294.5585,0.4534668,27.220276,0.08720751
20,251.86029,257.61514,268.78247,0.45869142,18.655819,0.08702758
21,251.64119,257.01776,245.11615,0.4640137,14.744521,0.08702758
22,254.1274,256.72873,221.3564,0.4626953,96.76596,0.08702758
23,252.85768,256.3416,200.56941,0.46572268,59.677322,0.08702758
24,252.34637,255.9421,181.94904,0.46264648,41.706486,0.08702758
25,252.10919,255.5588,165.07634,0.45947266,50.96862,0.08685141
26,253.24557,255.32748,149.05031,0.46259767,63.66233,0.08685141
27,251.54376,254.94911,135.43376,0.46181643,18.33346,0.08685141
28,251.18665,254.57286,123.16444,0.464209,14.155929,0.08685141
29,252.84102,254.39967,111.11793,0.46791995,76.20828,0.08685141
30,251.78079,254.13779,100.6234,0.46445313,27.258974,0.086697176
31,251.28003,253.852,91.29607,0.46030274,16.163157,0.086697176
32,251.13126,253.57993,82.83268,0.45830077,14.571206,0.086697176
33,264.90155,254.71208,86.08553,0.46801758,563.00305,0.086697176
34,251.68932,254.4098,78.29932,0.46030274,30.150087,0.086697176
35,252.26102,254.19493,70.88494,0.46601564,25.04663,0.08654998
36,252.13985,253.98943,64.17655,0.4573242,33.76855,0.08654998
37,251.178,253.70828,58.47027,0.4658203,17.089432,0.08654998
38,250.77216,253.41467,53.399117,0.46689454,12.479037,0.08654998
39,251.68648,253.24185,48.328003,0.4703125,37.497784,0.08654998
40,250.73926,252.9916,44.05887,0.4708496,11.532773,0.08642394
41,250.29169,252.7216,40.309036,0.4682129,10.801633,0.08642394
42,250.94284,252.54373,36.56289,0.46918947,20.630436,0.08642394
43,640.33453,291.3228,13567.259,0.46972656,17504.562,0.08642394
