step,energy,ewmean,ewvar,pmove,locstd,mcmc_width
0,72172.33,72172.33,0.0,0.99350584,522217.34,0.051249117
1,105675.484,75522.64,1.0102154e+08,0.9911133,723657.75,0.051249117
2,66687.51,74639.125,9.7944744e+07,0.98237306,387309.7,0.051249117
3,81863.375,75361.55,9.284734e+07,0.97446287,655645.4,0.051249117
4,93074.44,77132.836,1.1179979e+08,0.96254885,603500.1,0.051249117
5,89930.25,78412.58,1.1535946e+08,0.9676269,739232.6,0.052461497
6,86106.805,79182.0,1.0915161e+08,0.97128904,670256.25,0.052461497
7,112136.33,82477.43,1.9597534e+08,0.95415044,771343.3,0.052461497
8,98127.89,84042.48,1.9842213e+08,0.94257814,831018.6,0.052461497
9,94980.89,85136.32,1.8934832e+08,0.9477539,654973.6,0.052461497
10,108670.28,87489.72,2.2025974e+08,0.9542969,789878.6,0.053666793
11,93391.66,88079.914,2.0136872e+08,0.94624025,770426.1,0.053666793
12,78261.53,87098.08,1.899079e+08,0.939209,465565.47,0.053666793
13,83686.055,86756.875,1.7196488e+08,0.9375,579769.2,0.053666793
14,97522.53,87833.44,1.6519933e+08,0.92524415,808353.44,0.053666793
15,99818.25,89031.92,1.6160661e+08,0.89228517,791095.9,0.05472982
16,95965.53,89725.28,1.4977269e+08,0.8917969,661307.8,0.05472982
17,72270.48,87979.8,1.6221574e+08,0.881543,586728.2,0.05472982
18,87301.945,87912.016,1.4603552e+08,0.8683594,719455.2,0.05472982
19,82146.71,87335.484,1.3442346e+08,0.8265625,671185.94,0.05472982
20,76844.086,86286.34,1.3088736e+08,0.83081055,612027.6,0.055642605
21,93417.05,86999.414,1.2237484e+08,0.85976565,781043.44,0.055642605
22,125531.22,90852.59,2.4376034e+08,0.8671387,914239.0,0.055642605
23,111680.95,92935.43,2.5842816e+08,0.8756348,954023.06,0.055642605
24,63569.938,89998.88,3.1019523e+08,0.8538574,357082.62,0.055642605
25,99741.45,90973.14,2.877183e+08,0.87226564,753193.25,0.056688
26,83746.47,90250.48,2.6364669e+08,0.88916016,668564.9,0.056688
27,105565.555,91781.984,2.5839166e+08,0.8590332,832628.56,0.056688
28,77131.914,90316.98,2.5186869e+08,0.856543,542189.0,0.056688
29,74948.41,88780.12,2.479392e+08,0.8575195,479920.03,0.056688
30,95075.055,89409.61,2.2671163e+08,0.84951174,673978.5,0.05768736
