step,energy,ewmean,ewvar,pmove,locstd,mcmc_width
1000,1344.1821,1344.1821,0.0,0.49882814,21.390799,0.0388157
1001,1343.8604,1344.1499,0.009318659,0.5004883,16.819248,0.0388157
1002,1344.2576,1344.1606,0.00943007,0.5005371,24.12306,0.0388157
1003,1343.5605,1344.1006,0.04089761,0.49868166,16.901152,0.0388157
1004,1344.8611,1344.1766,0.08886,0.49277344,22.006056,0.0388157
1005,1345.3713,1344.2961,0.20843218,0.4953125,27.228003,0.038806606
1006,1345.2654,1344.3931,0.27213702,0.49291992,28.241598,0.038806606
1007,1346.1633,1344.5701,0.52696836,0.49863282,51.99288,0.038806606
1008,1344.8441,1344.5974,0.48103073,0.4976074,21.907867,0.038806606
1009,1343.8726,1344.5249,0.4802148,0.4859375,25.63092,0.038806606
1010,1344.4248,1344.5149,0.43309507,0.49863282,54.297302,0.03880395
1011,1345.8999,1344.6534,0.56242824,0.494043,139.73505,0.03880395
1012,1344.2856,1344.6167,0.51836014,0.49726564,17.10159,0.03880395
1013,1343.8945,1344.5444,0.5134615,0.504248,15.159672,0.03880395
1014,1343.7085,1344.4608,0.5250066,0.49794924,15.108223,0.03880395
1015,1343.6915,1344.3839,0.52576816,0.5083984,15.284189,0.038820244
1016,1343.5461,1344.3002,0.53635836,0.5024903,17.790592,0.038820244
1017,1343.2478,1344.195,0.5823956,0.49995118,16.071236,0.038820244
1018,1343.4934,1344.1248,0.56845003,0.49501956,18.287258,0.038820244
1019,1343.7272,1344.085,0.5258315,0.49663085,17.229698,0.038820244
1020,1344.1587,1344.0923,0.4737376,0.4994629,27.545103,0.038819198
1021,1343.7407,1344.0571,0.43748748,0.5048828,21.695732,0.038819198
1022,1343.4832,1343.9998,0.42338893,0.49682617,16.11527,0.038819198
1023,1343.4318,1343.943,0.4100855,0.50581056,16.488344,0.038819198
1024,1344.1125,1343.96,0.37166435,0.49951172,16.640987,0.038819198
1025,1344.0977,1343.9738,0.3362043,0.50092775,17.329063,0.038821004
1026,1344.2505,1344.0015,0.30947617,0.50131834,17.93265,0.038821004
1027,1344.634,1344.0647,0.31454137,0.5114746,19.951431,0.038821004
1028,1344.7388,1344.1321,0.32398084,0.49628907,26.149916,0.038821004
1029,1344.3926,1344.1581,0.2976901,0.50566405,16.237597,0.038821004
1030,1344.3219,1344.1744,0.27033636,0.5041504,16.911434,0.03882906
1031,1344.5026,1344.2073,0.25299266,0.492334,17.6593,0.03882906
1032,1344.1727,1344.2039,0.22780079,0.50263673,19.320568,0.03882906
1033,1344.76,1344.2595,0.2328582,0.50053716,21.959051,0.03882906
1034,1343.9285,1344.2264,0.21943611,0.49204102,18.821917,0.03882906
1035,1343.6581,1344.1696,0.2265654,0.50166017,15.464265,0.038832277
1036,1343.187,1344.0713,0.2907942,0.50791013,17.090832,0.038832277
1037,1343.7217,1344.0364,0.27271518,0.50024414,16.48425,0.038832277
1038,1343.6122,1343.9939,0.2616383,0.49838865,17.132969,0.038832277
1039,1343.1956,1343.9141,0.29283565,0.5027832,20.429344,0.038832277
1040,1343.4324,1343.8658,0.28443432,0.5023438,16.944359,0.038836837
1041,1343.0906,1343.7883,0.3100846,0.5029297,17.83024,0.038836837
1042,1342.8267,1343.6921,0.36230895,0.5037598,16.366362,0.038836837
1043,1343.281,1343.651,0.34129074,0.5024902,15.319515,0.038836837
1044,1343.9055,1343.6765,0.31299174,0.5030762,15.32953,0.038836837
1045,1343.6312,1343.672,0.28187716,0.5006348,15.150204,0.038838066
1046,1343.1901,1343.6238,0.27459282,0.500586,18.039543,0.038838066
1047,1343.7903,1343.6404,0.24962865,0.5071777,16.533844,0.038838066
1048,1343.9165,1343.668,0.23152775,0.4993164,17.34863,0.038838066
1049,1344.0957,1343.7107,0.22484107,0.5047852,15.907725,0.038838066
1050,1344.1375,1343.7534,0.21874797,0.5004883,15.392745,0.038839012
1051,1344.1646,1343.7946,0.21208589,0.4977051,17.458775,0.038839012
1052,1344.2483,1343.84,0.20940611,0.5043457,15.520707,0.038839012
1053,1343.6123,1343.8171,0.19313015,0.50024414,16.651968,0.038839012
1054,1343.8945,1343.8248,0.1743562,0.50131834,18.822506,0.038839012
1055,1343.697,1343.812,0.15839072,0.49833983,17.530024,0.03883579
1056,1344.0635,1343.8372,0.14824276,0.5004883,15.541018,0.03883579
1057,1344.307,1343.8842,0.15328667,0.49785158,16.044554,0.03883579
1058,1343.5586,1343.8516,0.14749712,0.5031738,15.724284,0.03883579
1059,1344.4121,1343.9076,0.16102655,0.5000977,22.106071,0.03883579
1060,1343.9222,1343.909,0.14494321,0.50283206,15.549429,0.038841285
1061,1344.1985,1343.938,0.13798809,0.4966797,15.915568,0.038841285
1062,1344.0544,1343.9496,0.12540984,0.5040039,19.593523,0.038841285
1063,1343.3478,1343.8894,0.14546427,0.4958496,15.706282,0.038841285
1064,1343.9033,1343.8907,0.13093528,0.5046387,15.801481,0.038841285
1065,1343.7349,1343.8751,0.12002873,0.5043457,17.041567,0.038849726
1066,1343.6914,1343.8567,0.11106349,0.50507814,15.753982,0.038849726
1067,1343.7096,1343.842,0.10190445,0.50092775,15.710719,0.038849726
1068,1343.9243,1343.8502,0.092323236,0.50449216,19.62308,0.038849726
1069,1344.0463,1343.8699,0.08654993,0.49873048,17.72098,0.038849726
1070,1344.8097,1343.9639,0.15738837,0.49663085,19.62696,0.038843177
1071,1343.6409,1343.9315,0.15103903,0.49057618,16.799868,0.038843177
1072,1343.9514,1343.9335,0.13597076,0.5065918,19.474455,0.038843177
1073,1343.385,1343.8787,0.14944662,0.50200194,18.038912,0.038843177
1074,1344.4669,1343.9375,0.1656461,0.49975586,33.34543,0.038843177
1075,1344.6636,1344.0101,0.19652802,0.49853516,40.437935,0.038840335
1076,1344.4219,1344.0513,0.19213313,0.49365234,18.6067,0.038840335
1077,1343.7416,1344.0203,0.18155165,0.4973633,15.466489,0.038840335
1078,1343.6301,1343.9812,0.17709509,0.4996582,16.850296,0.038840335
1079,1343.2032,1343.9034,0.2138547,0.5006836,16.662672,0.038840335
1080,1343.4315,1343.8562,0.21251331,0.49472657,15.643894,0.038830094
1081,1343.3623,1343.8068,0.21321602,0.50561523,15.696364,0.038830094
1082,1343.5669,1343.7827,0.19707273,0.49858397,14.676264,0.038830094
1083,1343.4622,1343.7506,0.18661354,0.49907225,15.907647,0.038830094
