step,energy,ewmean,ewvar,pmove,locstd,mcmc_width
0,1349.1746,1349.1746,0.0,0.41455078,24.564943,0.047510527
1,1348.3313,1349.0902,0.063998125,0.4102539,25.42823,0.047510527
2,1348.0609,1348.9873,0.15294899,0.41430664,33.316013,0.047510527
3,1347.3401,1348.8226,0.38185316,0.40820312,21.912613,0.047510527
4,1346.8429,1348.6246,0.6964099,0.40698242,23.299215,0.047510527
5,1346.8848,1348.4507,0.89921165,0.4086426,22.719763,0.047294002
6,1347.2559,1348.3312,0.9377749,0.40971678,20.763258,0.047294002
7,1346.5109,1348.1492,1.1422157,0.40439454,20.509295,0.047294002
8,1346.8387,1348.0181,1.1825433,0.4099121,19.625347,0.047294002
9,1346.65,1347.8812,1.2327274,0.41372073,21.677877,0.047294002
10,1347.2205,1347.8152,1.1487497,0.40981448,27.800936,0.047081225
11,1346.9634,1347.73,1.0991764,0.40585938,21.511929,0.047081225
12,1346.4133,1347.5983,1.1452799,0.41552734,24.996794,0.047081225
13,1347.3184,1347.5703,1.0378032,0.41918945,37.563534,0.047081225
14,1347.082,1347.5215,0.9554805,0.4051758,32.589233,0.047081225
15,1346.8469,1347.454,0.90088534,0.40478516,44.108215,0.046857614
16,1347.5369,1347.4623,0.8114151,0.41147462,47.394108,0.046857614
17,1352.7697,1347.993,3.2654126,0.40346682,276.7499,0.046857614
18,1347.3566,1347.9294,2.97533,0.4095215,42.34362,0.046857614
19,1348.8792,1348.0244,2.758972,0.41254884,104.65606,0.046857614
20,1347.5178,1347.9738,2.506172,0.41020507,41.827656,0.046647713
21,1346.9343,1347.8699,2.3527918,0.41132814,22.864738,0.046647713
22,1346.2183,1347.7047,2.3630164,0.4164551,20.018919,0.046647713
23,1346.2275,1347.557,2.3230982,0.41552734,25.01313,0.046647713
24,1346.7871,1347.48,2.144135,0.42104492,20.372883,0.046647713
25,1346.493,1347.3813,2.0173857,0.4131836,21.133072,0.046445657
26,1347.958,1347.439,1.8455755,0.4197754,57.736908,0.046445657
27,1348.7529,1347.5703,1.8164033,0.41152346,52.67759,0.046445657
28,1349.2926,1347.7426,1.9017284,0.41313478,71.76791,0.046445657
29,1347.7954,1347.7478,1.711807,0.41655272,29.168568,0.046445657
30,1346.7708,1347.6501,1.6265428,0.41005862,21.115053,0.046237256
31,1347.1445,1347.5996,1.4868966,0.4161133,21.103113,0.046237256
32,1346.0853,1347.4482,1.5445814,0.41552734,19.674677,0.046237256
33,1346.4524,1347.3486,1.4793777,0.4147461,19.780714,0.046237256
34,1346.75,1347.2888,1.3636924,0.40947267,19.065653,0.046237256
35,1347.1907,1347.279,1.2281901,0.41020507,23.009207,0.046030134
36,1347.2596,1347.2771,1.105405,0.41816407,21.567486,0.046030134
37,1347.9409,1347.3435,1.0345234,0.42001954,23.190632,0.046030134
38,1347.4585,1347.355,0.93226105,0.41259766,24.13245,0.046030134
39,1352.3171,1347.8512,3.0551062,0.41757813,272.63855,0.046030134
40,1347.7607,1347.8422,2.7503319,0.42338866,40.31555,0.045854148
41,1347.3705,1347.795,2.495322,0.42412108,20.97013,0.045854148
42,1347.4365,1347.7592,2.257358,0.4159668,24.070858,0.045854148
43,1346.7325,1347.6565,2.126476,0.41782227,24.54764,0.045854148
44,1346.3472,1347.5255,2.0681186,0.41787112,20.06699,0.045854148
45,1346.7407,1347.447,1.9167372,0.41269532,18.472599,0.045654416
46,1346.6385,1347.3662,1.7838899,0.42319337,20.727339,0.045654416
47,1346.6005,1347.2897,1.658274,0.4254883,19.507284,0.045654416
48,1346.298,1347.1906,1.5809586,0.4291504,25.454552,0.045654416
49,1346.4314,1347.1146,1.4747312,0.4254883,21.550282,0.045654416
50,1345.5524,1346.9584,1.5469159,0.42172852,30.502241,0.04547609
51,1346.9573,1346.9583,1.3922243,0.42827147,47.79878,0.04547609
52,1346.469,1346.9093,1.2745454,0.4222168,27.489607,0.04547609
53,1346.7279,1346.8911,1.1500522,0.426709,23.820272,0.04547609
54,1346.5693,1346.8589,1.0443655,0.4284668,20.18548,0.04547609
55,1345.9325,1346.7662,1.0171671,0.42050782,22.560904,0.045295697
