r,top_top,bottom_bottom,top_bottom
5.427009409187007194e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.289319952702881578e-01
1.628102822756102158e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.578769723123331525e-01
2.713504704593503597e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.394562613063269785e-01
3.798906586430905036e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.010507575186636808e+00
4.884308468268306475e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.486666168093299545e-01
5.969710350105707913e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.060028187891096207e+00
7.055112231943108658e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.904674610152671699e-01
8.140514113780511485e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.339300480045245045e-01
9.225915995617911536e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.638366141083937189e-01
1.031131787745531436e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.725599950213561717e-01
1.139671975929271441e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.394562613063269785e-01
1.248212164113011724e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.052383228777931334e+00
1.356752352296751729e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.004665578267590176e+00
1.465292540480491734e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.026442952168022282e+00
1.573832728664232294e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.020443870039629441e+00
1.682372916847972300e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.973923685026379049e-01
1.790913105031712305e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.704365479982481890e-01
1.899453293215452310e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.020770542747124532e+00
2.007993481399192870e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.002933035718915233e+00
2.116533669582932875e-01,0.000000000000000000e+00,1.416977769692802586e-03,9.670873278153376829e-01
2.225073857766672880e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.076263736948496863e+00
2.333614045950412885e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.895777307877857698e-01
2.442154234134153445e-01,3.684142201201273583e-03,4.912189601601698111e-03,1.060418930245766500e+00
2.550694422317893451e-01,5.878950321065888260e-03,3.527370192639532956e-03,1.027052621090210671e+00
2.659234610501633456e-01,7.894590431145607004e-03,5.638993165104004383e-03,1.005996380654554434e+00
2.767774798685373461e-01,1.625356853471155230e-02,1.191928359212180398e-02,9.914676806174046453e-01
2.876314986869114021e-01,2.398168036631010552e-02,2.189631685619618240e-02,9.759501227333156059e-01
2.984855175052854026e-01,3.617157797543082975e-02,3.717634403030391221e-02,9.927088622146017505e-01
3.093395363236594031e-01,5.332311080686067545e-02,4.653653306780567572e-02,1.035437860758676276e+00
3.201935551420334036e-01,9.085469326691267278e-02,7.867829107650170517e-02,9.923767785184947066e-01
3.310475739604074596e-01,1.141480124634496884e-01,1.349845544210635240e-01,9.924535528072153667e-01
3.419015927787814602e-01,1.877158169183510139e-01,1.806984032017771580e-01,1.007876045042922053e+00
3.527556115971554607e-01,2.567563718683359975e-01,2.355017053229439550e-01,9.883419943607305580e-01
3.636096304155294612e-01,3.002300957993882524e-01,3.175510628647375544e-01,9.926563744356147190e-01
3.744636492339035172e-01,4.300835569663211677e-01,4.300835569663211677e-01,1.005530550784387689e+00
3.853176680522775177e-01,5.479512907702196456e-01,5.580697094918287693e-01,1.004058473144294528e+00
3.961716868706515182e-01,6.729867979865642447e-01,6.442202081963623872e-01,9.901763011995793340e-01
4.070257056890255187e-01,8.024061714216359498e-01,8.355634512324473517e-01,1.019402147072390630e+00
4.178797245073995748e-01,9.265378406008182299e-01,9.487862318158650776e-01,1.009789885147444943e+00
4.287337433257735753e-01,1.101045536333699282e+00,1.161903834720631856e+00,1.025497303853369235e+00
4.395877621441475758e-01,1.243056868627543832e+00,1.275804799304888659e+00,1.039064550449917412e+00
4.504417809625215763e-01,1.418838620016855900e+00,1.429491561321534210e+00,9.900577325035497811e-01
4.612957997808956323e-01,1.557091865625362503e+00,1.635759137333366420e+00,9.878918955397655299e-01
4.721498185992696328e-01,1.697881397208799603e+00,1.648971233503196299e+00,9.978943789805553299e-01
4.830038374176436333e-01,1.708158740815401533e+00,1.690772901214226964e+00,9.689500963440328407e-01
4.938578562360176338e-01,1.875268865490580250e+00,1.824257665781639615e+00,1.011418489467150739e+00
5.047118750543917454e-01,1.935957305082870894e+00,1.915753944624670302e+00,1.007494048731739644e+00
5.155658938727656349e-01,1.944063668907586306e+00,1.922540522363725968e+00,9.729043944488144913e-01
5.264199126911397464e-01,1.903410169208266112e+00,1.858972577709240515e+00,9.964275324589217941e-01
5.372739315095136359e-01,1.901240657165394143e+00,1.888401979797571517e+00,9.849498354575273451e-01
5.481279503278877474e-01,1.841159184214202105e+00,1.843894933373509959e+00,9.777567495366357164e-01
5.589819691462616369e-01,1.769461307703184660e+00,1.735660197216434941e+00,9.788908902075380558e-01
5.698359879646357484e-01,1.688389740207656420e+00,1.631022383074665516e+00,1.009718116143512701e+00
5.806900067830098600e-01,1.564383186089533861e+00,1.592788955397861361e+00,9.802572754037421898e-01
5.915440256013837494e-01,1.464700021000533869e+00,1.491063607394451429e+00,9.911694500020920007e-01
6.023980444197578610e-01,1.340729047004736607e+00,1.391012609480591911e+00,1.010649820059270398e+00
6.132520632381317505e-01,1.262715287190492530e+00,1.249511060717160449e+00,9.812696451385449770e-01
6.241060820565058620e-01,1.148010745913460529e+00,1.123022650983573678e+00,1.012258114803978648e+00
6.349601008748797515e-01,1.017862364562662547e+00,1.012666779407122242e+00,1.013375268291968556e+00
6.458141196932538630e-01,9.032340228575348462e-01,9.283109571682325312e-01,1.009810993677999758e+00
6.566681385116279746e-01,7.777802688403873121e-01,8.070098268003313979e-01,1.015955495029619238e+00
6.675221573300018640e-01,7.507562949033353972e-01,7.583941506863137727e-01,1.005950535181668437e+00
6.783761761483759756e-01,6.653560815369525816e-01,6.467880048428981121e-01,9.898553266187619659e-01
6.892301949667498651e-01,5.956996858399069561e-01,5.987456301794827906e-01,9.905846127206341389e-01
7.000842137851239766e-01,5.757543160947131700e-01,5.350573964302802743e-01,9.981455033487214301e-01
7.109382326034978661e-01,5.104364958152932674e-01,5.180297660009752780e-01,9.953511668398218326e-01
7.217922514218719776e-01,4.973591971621742491e-01,5.023452542765819429e-01,1.017363403718950288e+00
7.326462702402458671e-01,4.830319774908343189e-01,4.858974214251020052e-01,1.009045613995683599e+00
7.435002890586199786e-01,4.154744307194100372e-01,4.521813949868530580e-01,9.971386337265840671e-01
7.543543078769940902e-01,4.289772771686526376e-01,4.790710092569290257e-01,9.774241296748216179e-01
7.652083266953679797e-01,4.754111159635285855e-01,4.808981362631900569e-01,9.900152340674964746e-01
7.760623455137420912e-01,5.124306879852692509e-01,4.780367730299985296e-01,9.867962004301545909e-01
7.869163643321159807e-01,5.350898948779259090e-01,5.187018140518925291e-01,1.013964861340969970e+00
7.977703831504900922e-01,5.232985657216516762e-01,5.763051014736293443e-01,1.012763172452679328e+00
8.086244019688639817e-01,5.911935572531743510e-01,5.911935572531743510e-01,1.007143102083434716e+00
8.194784207872380932e-01,6.488725949731585230e-01,6.697331352514833691e-01,1.005880613245192290e+00
8.303324396056122048e-01,7.433298676541438832e-01,7.068496360540134082e-01,1.010249582035296578e+00
8.411864584239860942e-01,7.758090415949030483e-01,7.683219138956874916e-01,9.950749242147860496e-01
8.520404772423602058e-01,8.285800071618919516e-01,8.363237455465825088e-01,1.009149906768540328e+00
8.628944960607340953e-01,8.730721895677011624e-01,8.970538699340114830e-01,1.010532400942711462e+00
