layer,eigen_index,occupation,fraction
top,0,1.46638080179,0.122198400149
top,1,1.08425859658,0.0903548830485
top,2,0.939563535127,0.0782969612605
top,3,0.86844039852,0.07237003321
top,4,0.818231472636,0.068185956053
top,5,0.767222767864,0.0639352306553
top,6,0.707537113106,0.0589614260922
top,7,0.641573083528,0.0534644236273
top,8,0.625724246108,0.0521436871757
top,9,0.558202258296,0.046516854858
top,10,0.446128167729,0.0371773473107
top,11,0.379461672193,0.0316218060161
top,12,0.154649005204,0.0128874171004
top,13,0.140711451769,0.0117259543141
top,14,0.132131166056,0.0110109305046
top,15,0.125518463026,0.0104598719188
top,16,0.0989713124748,0.0082476093729
top,17,0.0949349737959,0.00791124781633
top,18,0.0849792072606,0.00708160060505
top,19,0.0637448463964,0.00531207053303
top,20,0.0600286287828,0.0050023857319
top,21,0.0589509963387,0.00491258302823
top,22,0.054711128267,0.00455926068891
top,23,0.0497891114382,0.00414909261985
top,24,0.0482927051135,0.00402439209279
top,25,0.0467971249209,0.00389976041007
top,26,0.0428475834964,0.00357063195804
top,27,0.0370818033884,0.00309015028237
top,28,0.0351992951145,0.00293327459287
top,29,0.0325847228978,0.00271539357482
top,30,0.0307741157055,0.00256450964213
top,31,0.0288479123833,0.00240399269861
top,32,0.0235588890095,0.00196324075079
top,33,0.0190922737607,0.00159102281339
top,34,0.0186840420021,0.00155700350018
top,35,0.0167236854188,0.00139364045156
top,36,0.0153008261337,0.00127506884448
top,37,0.0138080610901,0.00115067175751
top,38,0.0119770554822,0.000998087956847
top,39,0.0103257236925,0.000860476974378
top,40,0.00967431277781,0.000806192731484
top,41,0.00873960865097,0.000728300720914
top,42,0.00691948052945,0.000576623377454
top,43,0.00625163369832,0.00052096947486
top,44,0.00615691659206,0.000513076382672
top,45,0.00524107726315,0.000436756438596
top,46,0.00450010784978,0.000375008987481
top,47,0.00404356394195,0.00033696366183
top,48,0.00332585861817,0.000277154884848
top,49,0.00297347749629,0.000247789791357
top,50,0.00266299668209,0.000221916390174
top,51,0.00191930004503,0.000159941670419
top,52,0.00159385781204,0.000132821484337
top,53,0.00113524341816,9.46036181801e-05
top,54,0.00071203237807,5.93360315058e-05
top,55,-3.14834063185e-05,-2.62361719321e-06
top,56,-0.000254524532859,-2.12103777382e-05
top,57,-0.000497563682757,-4.14636402297e-05
top,58,-0.00118337991558,-9.86149929654e-05
top,59,-0.00173723128614,-0.000144769273845
top,60,-0.00232401842887,-0.000193668202406
top,61,-0.00295924674731,-0.000246603895609
top,62,-0.00381449464277,-0.000317874553564
top,63,-0.00444828264095,-0.000370690220079
top,64,-0.00579690812377,-0.000483075676981
