step,energy,ewmean,ewvar,pmove,locstd
0,42495.43,42495.43,0.0,0.99248046,348971.56
1,62968.67,44542.754,3.7723828e+07,0.9935791,719608.2
2,46756.617,44764.14,3.439255e+07,0.9926758,486191.34
3,54890.85,45776.812,4.018282e+07,0.99306643,607878.2
4,36868.48,44885.98,4.3306788e+07,0.99289554,369552.34
5,45402.617,44937.645,3.9000132e+07,0.99221194,431636.38
6,43560.684,44799.95,3.527076e+07,0.99174803,429763.06
7,47062.28,45026.184,3.2204318e+07,0.99135745,581030.3
8,29068.521,43430.418,5.190211e+07,0.99135745,204371.84
9,48881.973,43975.574,4.938665e+07,0.99089354,433099.0
10,35696.69,43147.688,5.0616576e+07,0.99018556,288544.28
11,41823.184,43015.24,4.5712804e+07,0.98999023,399961.22
12,41398.812,42853.594,4.137668e+07,0.9893799,298818.28
13,46401.633,43208.4,3.8371984e+07,0.9893066,448432.75
14,38411.4,42728.7,3.660579e+07,0.9900879,360147.78
15,41609.67,42616.797,3.3057914e+07,0.989209,360513.47
16,35294.984,41884.617,3.457693e+07,0.98964846,386075.25
17,37796.504,41475.805,3.2623376e+07,0.9900879,355563.97
18,48475.617,42175.785,3.37708e+07,0.9900879,413294.16
19,46770.39,42635.246,3.2293656e+07,0.99072266,546246.2
20,43956.82,42767.402,2.922148e+07,0.990918,467422.38
21,42097.195,42700.383,2.6339758e+07,0.99055177,492433.78
22,48492.79,43279.625,2.672546e+07,0.9915039,475811.62
23,49001.523,43851.816,2.6999524e+07,0.99211425,479099.0
24,39361.895,43402.824,2.6113916e+07,0.99194336,378776.47
25,42423.477,43304.89,2.3588844e+07,0.99333495,440381.9
26,38300.18,42804.418,2.3484202e+07,0.99411625,339525.12
27,56453.516,44169.33,3.790259e+07,0.99382323,567582.75
28,50278.97,44780.293,3.7471828e+07,0.9949951,581022.56
29,29840.457,43286.31,5.3812524e+07,0.9954346,274810.75
30,47327.53,43690.43,4.9901104e+07,0.995459,593496.2
31,42718.312,43593.22,4.4996044e+07,0.99641114,397448.34
32,41790.008,43412.9,4.078908e+07,0.99582523,399421.0
33,46437.1,43715.32,3.7533292e+07,0.9954834,390595.47
34,46037.875,43947.574,3.426545e+07,0.99470216,515348.75
35,31675.982,42720.414,4.439218e+07,0.9948975,393717.4
36,40854.05,42533.777,4.026646e+07,0.99482423,461406.84
37,52952.242,43575.625,4.6008812e+07,0.9942627,564935.1
38,43515.395,43569.6,4.1408256e+07,0.9946289,409436.78
39,33791.832,42591.824,4.587186e+07,0.9939453,366901.0
40,37348.082,42067.45,4.3759388e+07,0.9931885,319002.22
41,36547.477,41515.453,4.2125756e+07,0.99284667,382081.47
42,35840.754,40947.984,4.0811376e+07,0.9924561,336457.2
43,43103.633,41163.55,3.7148452e+07,0.9926514,325720.6
44,74762.16,44523.41,1.3503157e+08,0.9928711,870831.1
45,30251.16,43096.184,1.3986115e+08,0.99211425,243744.02
46,34297.4,42216.305,1.328427e+08,0.99240726,243990.05
47,36335.56,41628.23,1.2267092e+08,0.9903076,377153.97
48,57166.016,43182.008,1.3213188e+08,0.9911133,692698.25
49,33218.395,42185.65,1.27853304e+08,0.99155277,248893.8
50,38247.375,41791.82,1.1646387e+08,0.99118656,338574.4
51,38953.883,41508.027,1.0554234e+08,0.9910156,307519.72
52,35427.977,40900.023,9.831514e+07,0.990625,263444.72
53,48686.418,41678.664,9.3940136e+07,0.9914307,523307.22
54,44541.805,41964.977,8.52839e+07,0.9920166,561455.4
55,35045.473,41273.027,8.106467e+07,0.992334,258864.61
56,36999.45,40845.668,7.460191e+07,0.9927002,307380.88
57,33223.453,40083.445,7.237055e+07,0.9929199,185363.38
58,37895.535,39864.656,6.556432e+07,0.99279785,451763.44
59,48735.35,40751.727,6.6089916e+07,0.99316406,506145.62
60,42996.0,40976.152,5.993423e+07,0.9920654,408696.6
61,26568.953,39535.434,7.262188e+07,0.9916504,137883.47
62,64697.246,42051.613,1.2234021e+08,0.9933594,702123.4
63,29349.777,40781.43,1.2462648e+08,0.99221194,201826.39
64,43770.293,41080.316,1.1296782e+08,0.9922363,476355.72
65,47438.008,41716.086,1.0530886e+08,0.992334,468836.66
66,50222.125,42566.69,1.0128972e+08,0.9924561,506617.28
67,37382.64,42048.285,9.357944e+07,0.9912842,338341.25
68,33874.906,41230.945,9.023387e+07,0.99189454,263909.16
69,71833.72,44291.223,1.6549816e+08,0.9920654,796374.44
70,51157.773,44977.88,1.531918e+08,0.99174803,529957.4
71,64466.395,46926.73,1.7205483e+08,0.99174803,674863.75
72,70756.66,49309.723,2.0595723e+08,0.99189454,773903.25
73,62165.508,50595.3,2.002359e+08,0.99294436,660786.94
74,45137.082,50049.48,1.828936e+08,0.9926514,446881.6
75,53812.688,50425.8,1.658788e+08,0.9925537,527344.3
76,30987.508,48481.973,1.8329717e+08,0.99343264,222156.58
77,56113.93,49245.168,1.7020965e+08,0.9935547,677279.44
78,47957.9,49116.44,1.5333782e+08,0.99375004,440054.7
79,26915.533,46896.35,1.8236326e+08,0.9935059,181551.28
80,54341.848,47640.902,1.6911611e+08,0.9929199,575259.6
81,46418.168,47518.63,1.5233906e+08,0.993042,457406.9
82,47987.902,47565.555,1.3712496e+08,0.9926025,463477.75
83,55839.387,48392.938,1.2957353e+08,0.9926514,544309.06
84,45387.09,48092.35,1.17429336e+08,0.9925049,558336.5
85,37988.64,47081.98,1.1487405e+08,0.9926514,470589.78
86,56803.68,48054.15,1.1189267e+08,0.9913818,596905.8
87,39834.367,47232.17,1.0678423e+08,0.99099123,307919.44
88,54781.453,47987.1,1.0123506e+08,0.9906983,584063.2
89,51637.164,48352.11,9.2310616e+07,0.989917,499572.22
90,35912.562,47108.156,9.700636e+07,0.99003905,347889.3
91,56708.445,48068.184,9.5600616e+07,0.9895752,620092.9
92,34190.086,46680.375,1.03374696e+08,0.9884766,403570.3
93,40436.86,46056.023,9.654556e+07,0.9884766,389148.6
94,45476.047,45998.027,8.692128e+07,0.9889893,536406.0
95,70049.69,48403.195,1.3029257e+08,0.9878174,770566.06
96,54537.72,49016.65,1.2065022e+08,0.98774415,439079.62
97,64181.844,50533.168,1.2928369e+08,0.98791504,663498.56
98,36611.79,49141.03,1.3379774e+08,0.98842776,379458.72
99,48937.742,49120.703,1.2042169e+08,0.988501,470589.2
100,56042.062,49812.84,1.12690984e+08,0.99018556,652614.3
101,43257.6,49157.316,1.0528928e+08,0.9901123,420730.62
