layer,m1,m2,kx,ky,occupation
top,-4,-4,-3.61800627279,-3.61800627279,-0.00295678442848
top,-4,-3,-3.61800627279,-2.71350470459,0.00117050735804
top,-4,-2,-3.61800627279,-1.8090031364,0.0283313414016
top,-4,-1,-3.61800627279,-0.904501568198,-0.0177447863482
top,-4,0,-3.61800627279,0,0.0440454470199
top,-4,1,-3.61800627279,0.904501568198,0.0161623544104
top,-4,2,-3.61800627279,1.8090031364,0.000726797673991
top,-4,3,-3.61800627279,2.71350470459,-0.00398003893829
top,-4,4,-3.61800627279,3.61800627279,-0.00358981210392
top,-3,-4,-2.71350470459,-3.61800627279,0.0298060458733
top,-3,-3,-2.71350470459,-2.71350470459,0.000366898950537
top,-3,-2,-2.71350470459,-1.8090031364,0.0664637475604
top,-3,-1,-2.71350470459,-0.904501568198,0.0638579609162
top,-3,0,-2.71350470459,0,0.0889229637087
top,-3,1,-2.71350470459,0.904501568198,0.098600174576
top,-3,2,-2.71350470459,1.8090031364,0.0181370268127
top,-3,3,-2.71350470459,2.71350470459,0.036598565471
top,-3,4,-2.71350470459,3.61800627279,-0.00953150856957
top,-2,-4,-1.8090031364,-3.61800627279,0.028484409698
top,-2,-3,-1.8090031364,-2.71350470459,0.0352506937625
top,-2,-2,-1.8090031364,-1.8090031364,0.110251197677
top,-2,-1,-1.8090031364,-0.904501568198,0.26825546861
top,-2,0,-1.8090031364,0,0.306562518471
top,-2,1,-1.8090031364,0.904501568198,0.283717038782
top,-2,2,-1.8090031364,1.8090031364,0.108339617096
top,-2,3,-1.8090031364,2.71350470459,0.0419106258783
top,-2,4,-1.8090031364,3.61800627279,0.0170164291022
top,-1,-4,-0.904501568198,-3.61800627279,0.00532229614574
top,-1,-3,-0.904501568198,-2.71350470459,0.0937475678821
top,-1,-2,-0.904501568198,-1.8090031364,0.242325172093
top,-1,-1,-0.904501568198,-0.904501568198,0.478701906147
top,-1,0,-0.904501568198,0,0.65559500217
top,-1,1,-0.904501568198,0.904501568198,0.453951015008
top,-1,2,-0.904501568198,1.8090031364,0.277996306927
top,-1,3,-0.904501568198,2.71350470459,0.0624546977805
top,-1,4,-0.904501568198,3.61800627279,0.027255428996
top,0,-4,0,-3.61800627279,0.0147339750747
top,0,-3,0,-2.71350470459,0.0980818223047
top,0,-2,0,-1.8090031364,0.320640110027
top,0,-1,0,-0.904501568198,0.557856599897
top,0,0,0,0,1.80086871686
top,0,1,0,0.904501568198,0.557856599897
top,0,2,0,1.8090031364,0.320640110027
top,0,3,0,2.71350470459,0.0980818223047
top,0,4,0,3.61800627279,0.0147339750747
top,1,-4,0.904501568198,-3.61800627279,0.027255428996
top,1,-3,0.904501568198,-2.71350470459,0.0624546977805
top,1,-2,0.904501568198,-1.8090031364,0.277996306927
top,1,-1,0.904501568198,-0.904501568198,0.453951015008
top,1,0,0.904501568198,0,0.65559500217
top,1,1,0.904501568198,0.904501568198,0.478701906147
top,1,2,0.904501568198,1.8090031364,0.242325172093
top,1,3,0.904501568198,2.71350470459,0.0937475678821
top,1,4,0.904501568198,3.61800627279,0.00532229614574
top,2,-4,1.8090031364,-3.61800627279,0.0170164291022
top,2,-3,1.8090031364,-2.71350470459,0.0419106258783
top,2,-2,1.8090031364,-1.8090031364,0.108339617096
top,2,-1,1.8090031364,-0.904501568198,0.283717038782
top,2,0,1.8090031364,0,0.306562518471
top,2,1,1.8090031364,0.904501568198,0.26825546861
top,2,2,1.8090031364,1.8090031364,0.110251197677
top,2,3,1.8090031364,2.71350470459,0.0352506937625
top,2,4,1.8090031364,3.61800627279,0.028484409698
top,3,-4,2.71350470459,-3.61800627279,-0.00953150856957
top,3,-3,2.71350470459,-2.71350470459,0.036598565471
top,3,-2,2.71350470459,-1.8090031364,0.0181370268127
top,3,-1,2.71350470459,-0.904501568198,0.098600174576
top,3,0,2.71350470459,0,0.0889229637087
top,3,1,2.71350470459,0.904501568198,0.0638579609162
top,3,2,2.71350470459,1.8090031364,0.0664637475604
top,3,3,2.71350470459,2.71350470459,0.000366898950537
top,3,4,2.71350470459,3.61800627279,0.0298060458733
top,4,-4,3.61800627279,-3.61800627279,-0.00358981210392
top,4,-3,3.61800627279,-2.71350470459,-0.00398003893829
top,4,-2,3.61800627279,-1.8090031364,0.000726797673991
top,4,-1,3.61800627279,-0.904501568198,0.0161623544104
top,4,0,3.61800627279,0,0.0440454470199
top,4,1,3.61800627279,0.904501568198,-0.0177447863482
top,4,2,3.61800627279,1.8090031364,0.0283313414016
top,4,3,3.61800627279,2.71350470459,0.00117050735804
top,4,4,3.61800627279,3.61800627279,-0.00295678442848
bottom,-4,-4,-3.61800627279,-3.61800627279,-0.00443389619793
bottom,-4,-3,-3.61800627279,-2.71350470459,-0.0049403593588
bottom,-4,-2,-3.61800627279,-1.8090031364,0.00763342720613
bottom,-4,-1,-3.61800627279,-0.904501568198,0.011030444375
bottom,-4,0,-3.61800627279,0,0.0161041426293
bottom,-4,1,-3.61800627279,0.904501568198,0.0143278921342
bottom,-4,2,-3.61800627279,1.8090031364,0.0162677614414
bottom,-4,3,-3.61800627279,2.71350470459,0.00615064950254
bottom,-4,4,-3.61800627279,3.61800627279,0.0121356778685
bottom,-3,-4,-2.71350470459,-3.61800627279,0.00692541577418
bottom,-3,-3,-2.71350470459,-2.71350470459,0.00992145982389
bottom,-3,-2,-2.71350470459,-1.8090031364,0.0266194295818
bottom,-3,-1,-2.71350470459,-0.904501568198,0.0900182050708
bottom,-3,0,-2.71350470459,0,0.0915592104318
bottom,-3,1,-2.71350470459,0.904501568198,0.0734089183759
