layer,m1,m2,kx,ky,occupation
top,-4,-4,-4.13486431176,-4.13486431176,-0.00256309018245
top,-4,-3,-4.13486431176,-3.10114823382,0.00301718110315
top,-4,-2,-4.13486431176,-2.06743215588,0.0122333606128
top,-4,-1,-4.13486431176,-1.03371607794,0.0238074164312
top,-4,0,-4.13486431176,0,0.0101248665872
top,-4,1,-4.13486431176,1.03371607794,0.025898286987
top,-4,2,-4.13486431176,2.06743215588,0.0193252705118
top,-4,3,-4.13486431176,3.10114823382,0.00826249078044
top,-4,4,-4.13486431176,4.13486431176,0.00222264429526
top,-3,-4,-3.10114823382,-4.13486431176,-0.00486357109715
top,-3,-3,-3.10114823382,-3.10114823382,0.0193990630272
top,-3,-2,-3.10114823382,-2.06743215588,0.0477464015751
top,-3,-1,-3.10114823382,-1.03371607794,0.0888794445633
top,-3,0,-3.10114823382,0,0.106855833889
top,-3,1,-3.10114823382,1.03371607794,0.0952877196791
top,-3,2,-3.10114823382,2.06743215588,0.0476292687831
top,-3,3,-3.10114823382,3.10114823382,0.0144256119031
top,-3,4,-3.10114823382,4.13486431176,0.00721260228954
top,-2,-4,-2.06743215588,-4.13486431176,0.0202248927242
top,-2,-3,-2.06743215588,-3.10114823382,0.0527740566392
top,-2,-2,-2.06743215588,-2.06743215588,0.132958003215
top,-2,-1,-2.06743215588,-1.03371607794,0.269564933938
top,-2,0,-2.06743215588,0,0.3202889691
top,-2,1,-2.06743215588,1.03371607794,0.232147503458
top,-2,2,-2.06743215588,2.06743215588,0.132526821254
top,-2,3,-2.06743215588,3.10114823382,0.0516752965461
top,-2,4,-2.06743215588,4.13486431176,0.0164406808484
top,-1,-4,-1.03371607794,-4.13486431176,0.0336784410863
top,-1,-3,-1.03371607794,-3.10114823382,0.0783468331088
top,-1,-2,-1.03371607794,-2.06743215588,0.247083871244
top,-1,-1,-1.03371607794,-1.03371607794,0.468346565878
top,-1,0,-1.03371607794,0,0.621148304866
top,-1,1,-1.03371607794,1.03371607794,0.480305439701
top,-1,2,-1.03371607794,2.06743215588,0.258419456962
top,-1,3,-1.03371607794,3.10114823382,0.0839773342483
top,-1,4,-1.03371607794,4.13486431176,0.0385057803004
top,0,-4,0,-4.13486431176,0.0226383731961
top,0,-3,0,-3.10114823382,0.129997393095
top,0,-2,0,-2.06743215588,0.321875602504
top,0,-1,0,-1.03371607794,0.606599773334
top,0,0,0,0,1.36356776624
top,0,1,0,1.03371607794,0.606599773334
top,0,2,0,2.06743215588,0.321875602504
top,0,3,0,3.10114823382,0.129997393095
top,0,4,0,4.13486431176,0.0226383731961
top,1,-4,1.03371607794,-4.13486431176,0.0385057803004
top,1,-3,1.03371607794,-3.10114823382,0.0839773342483
top,1,-2,1.03371607794,-2.06743215588,0.258419456962
top,1,-1,1.03371607794,-1.03371607794,0.480305439701
top,1,0,1.03371607794,0,0.621148304866
top,1,1,1.03371607794,1.03371607794,0.468346565878
top,1,2,1.03371607794,2.06743215588,0.247083871244
top,1,3,1.03371607794,3.10114823382,0.0783468331088
top,1,4,1.03371607794,4.13486431176,0.0336784410863
top,2,-4,2.06743215588,-4.13486431176,0.0164406808484
top,2,-3,2.06743215588,-3.10114823382,0.0516752965461
top,2,-2,2.06743215588,-2.06743215588,0.132526821254
top,2,-1,2.06743215588,-1.03371607794,0.232147503458
top,2,0,2.06743215588,0,0.3202889691
top,2,1,2.06743215588,1.03371607794,0.269564933938
top,2,2,2.06743215588,2.06743215588,0.132958003215
top,2,3,2.06743215588,3.10114823382,0.0527740566392
top,2,4,2.06743215588,4.13486431176,0.0202248927242
top,3,-4,3.10114823382,-4.13486431176,0.00721260228954
top,3,-3,3.10114823382,-3.10114823382,0.0144256119031
top,3,-2,3.10114823382,-2.06743215588,0.0476292687831
top,3,-1,3.10114823382,-1.03371607794,0.0952877196791
top,3,0,3.10114823382,0,0.106855833889
top,3,1,3.10114823382,1.03371607794,0.0888794445633
top,3,2,3.10114823382,2.06743215588,0.0477464015751
top,3,3,3.10114823382,3.10114823382,0.0193990630272
top,3,4,3.10114823382,4.13486431176,-0.00486357109715
top,4,-4,4.13486431176,-4.13486431176,0.00222264429526
top,4,-3,4.13486431176,-3.10114823382,0.00826249078044
top,4,-2,4.13486431176,-2.06743215588,0.0193252705118
top,4,-1,4.13486431176,-1.03371607794,0.025898286987
top,4,0,4.13486431176,0,0.0101248665872
top,4,1,4.13486431176,1.03371607794,0.0238074164312
top,4,2,4.13486431176,2.06743215588,0.0122333606128
top,4,3,4.13486431176,3.10114823382,0.00301718110315
top,4,4,4.13486431176,4.13486431176,-0.00256309018245
bottom,-4,-4,-4.13486431176,-4.13486431176,-0.00905171426851
bottom,-4,-3,-4.13486431176,-3.10114823382,0.0179188518382
bottom,-4,-2,-4.13486431176,-2.06743215588,-0.0211227826102
bottom,-4,-1,-4.13486431176,-1.03371607794,0.038807363052
bottom,-4,0,-4.13486431176,0,0.016373550402
bottom,-4,1,-4.13486431176,1.03371607794,0.0496711910117
