step,energy,ewmean,ewvar,pmove,locstd
0,51090.64,51090.64,0.0,0.98511964,428397.53
1,30907.512,49072.33,3.666228e+07,0.98543704,226147.23
2,42492.703,48414.367,3.6892284e+07,0.98563236,494554.38
3,43520.355,47924.965,3.5358676e+07,0.9864502,414710.28
4,31721.42,46304.61,5.5452744e+07,0.9872681,254185.64
5,32298.072,44903.957,6.756395e+07,0.986792,216378.45
6,44070.918,44820.652,6.087001e+07,0.9873169,459103.72
7,41278.082,44466.395,5.591249e+07,0.98684084,473992.94
8,60192.375,46038.992,7.2578824e+07,0.98692626,563731.1
9,39506.312,45385.723,6.916178e+07,0.9878662,493782.3
10,47582.617,45605.414,6.2679964e+07,0.9888916,575291.06
11,50106.188,46055.492,5.8235092e+07,0.98883057,548743.06
12,36012.53,45051.195,6.148908e+07,0.9888672,256166.64
13,41693.11,44715.387,5.635508e+07,0.9888062,353454.06
14,51103.062,45354.156,5.4391788e+07,0.98946536,526097.3
15,62079.92,47026.734,7.4130216e+07,0.98986816,564079.3
16,44165.094,46740.57,6.74542e+07,0.99086916,420464.03
17,31878.082,45254.32,8.058919e+07,0.9909424,256812.05
18,34443.797,44173.27,8.3048344e+07,0.9907349,357845.62
19,52126.453,44968.586,8.043629e+07,0.9902588,602000.75
20,29752.137,43446.94,9.323129e+07,0.9903809,274399.03
21,28080.895,41910.336,1.0515854e+08,0.98945314,219692.55
22,35191.504,41238.453,9.870553e+07,0.9900269,338176.0
23,65272.418,43641.85,1.4082181e+08,0.9897949,735567.9
24,38704.84,43148.15,1.2893329e+08,0.98996586,349992.4
25,46847.434,43518.08,1.1727158e+08,0.9900269,553194.3
26,45935.164,43759.785,1.0607023e+08,0.99055177,426033.0
27,41726.723,43556.48,9.583521e+07,0.99100345,382565.25
28,50533.727,44254.203,9.0633064e+07,0.990918,426855.75
29,57841.04,45612.887,9.818395e+07,0.9907715,539244.4
30,42329.758,45284.574,8.933566e+07,0.9916504,348153.75
31,34462.637,44202.38,9.094238e+07,0.9911133,262530.56
32,30003.05,42782.445,9.999403e+07,0.9917969,234432.53
33,44392.5,42943.45,9.022793e+07,0.9921631,430510.72
34,37113.676,42360.473,8.4263896e+07,0.9927246,315999.88
35,50423.793,43166.805,8.168905e+07,0.9929566,547913.06
36,30338.99,41884.023,8.8329896e+07,0.9936035,248463.7
37,28200.12,40515.633,9.634933e+07,0.9929077,193881.28
38,33484.89,39812.56,9.116322e+07,0.99266356,361047.2
39,49947.6,40826.062,9.129162e+07,0.9929077,591696.3
40,39251.516,40668.61,8.238558e+07,0.9925537,432643.72
41,62068.47,42808.594,1.1536288e+08,0.9920532,671918.1
42,43734.57,42901.19,1.0390376e+08,0.9918457,482732.47
43,43504.633,42961.535,9.354615e+07,0.99185795,475276.38
44,37201.207,42385.504,8.717786e+07,0.9915649,270201.9
45,53630.418,43509.996,8.984039e+07,0.9903809,514472.5
46,23336.383,41492.633,1.1748406e+08,0.99053955,151980.38
47,42914.86,41634.855,1.059177e+08,0.9909424,447945.38
48,51796.938,42651.062,1.0462004e+08,0.99040526,642782.1
