layer,eigen_index,occupation,fraction
top,0,1.08193816072,0.0901615133931
top,1,0.934044509104,0.0778370424254
top,2,0.853370352319,0.0711141960266
top,3,0.826034622353,0.0688362185294
top,4,0.770496260047,0.0642080216706
top,5,0.747904086439,0.0623253405366
top,6,0.735061133701,0.0612550944751
top,7,0.688572269871,0.0573810224893
top,8,0.667576133851,0.0556313444876
top,9,0.642912163229,0.0535760136024
top,10,0.584248426667,0.0486873688889
top,11,0.434760229555,0.0362300191296
top,12,0.14611226692,0.0121760222433
top,13,0.124793317636,0.0103994431364
top,14,0.121286087115,0.0101071739262
top,15,0.100679682525,0.00838997354372
top,16,0.0935485323405,0.00779571102838
top,17,0.0923717762481,0.00769764802068
top,18,0.0851146025502,0.00709288354585
top,19,0.0809831607668,0.00674859673057
top,20,0.0790909668501,0.00659091390418
top,21,0.071333974321,0.00594449786008
top,22,0.0699549490874,0.00582957909062
top,23,0.0627570580728,0.0052297548394
top,24,0.0609593223469,0.00507994352891
top,25,0.056522000975,0.00471016674792
top,26,0.0523692079363,0.00436410066136
top,27,0.0462381377889,0.00385317814908
top,28,0.0446100579613,0.00371750483011
top,29,0.0388364089523,0.00323636741269
top,30,0.0366314882166,0.00305262401805
top,31,0.0322783212312,0.0026898601026
top,32,0.0307902039087,0.00256585032572
top,33,0.0284160286897,0.00236800239081
top,34,0.0217444907885,0.00181204089904
top,35,0.0198979328237,0.00165816106864
top,36,0.016761336675,0.00139677805625
top,37,0.0151471990993,0.00126226659161
top,38,0.0134220722522,0.00111850602102
top,39,0.0111025552277,0.000925212935638
top,40,0.0101060546449,0.000842171220412
top,41,0.00817664898086,0.000681387415072
top,42,0.00353167472367,0.000294306226973
top,43,-0.00050422860181,-4.20190501508e-05
top,44,-0.00165118811855,-0.000137599009879
top,45,-0.00749436884065,-0.000624530736721
top,46,-0.00871239366891,-0.000726032805743
top,47,-0.0159694448207,-0.00133078706839
top,48,-0.0519425796889,-0.00432854830741
bottom,0,1.63923897071,0.136603247559
bottom,1,1.01957239177,0.084964365981
bottom,2,0.958352343036,0.079862695253
bottom,3,0.919415212063,0.0766179343386
bottom,4,0.851967116064,0.070997259672
bottom,5,0.769972963001,0.0641644135834
bottom,6,0.716359711233,0.0596966426027
bottom,7,0.689039288524,0.0574199407104
bottom,8,0.665151022274,0.0554292518562
bottom,9,0.619839263963,0.0516532719969
bottom,10,0.486433021974,0.0405360851645
bottom,11,0.42620731724,0.0355172764366
bottom,12,0.173400064489,0.0144500053741
bottom,13,0.136661316051,0.0113884430042
bottom,14,0.109064348556,0.009088695713
bottom,15,0.102864906016,0.0085720755013
bottom,16,0.0963434675882,0.00802862229902
bottom,17,0.0932424850345,0.00777020708621
bottom,18,0.0849586923395,0.0070798910283
bottom,19,0.0804996605055,0.00670830504212
bottom,20,0.0790554235806,0.00658795196505
bottom,21,0.0707876358915,0.00589896965763
bottom,22,0.0686658939277,0.00572215782731
bottom,23,0.0595738246647,0.00496448538873
bottom,24,0.0527930711115,0.00439942259263
bottom,25,0.0517141358237,0.00430951131864
bottom,26,0.0477922066265,0.00398268388555
bottom,27,0.0417033965198,0.00347528304332
bottom,28,0.0380004262275,0.00316670218562
bottom,29,0.0353969664448,0.00294974720373
bottom,30,0.0303570348073,0.00252975290061
bottom,31,0.0287404471312,0.00239503726093
bottom,32,0.0272693464553,0.00227244553794
bottom,33,0.0265830151878,0.00221525126565
bottom,34,0.0252393596784,0.0021032799732
bottom,35,0.0187723020205,0.00156435850171
bottom,36,0.0154557185206,0.00128797654338
bottom,37,0.0106352547341,0.000886271227846
bottom,38,0.0104122057923,0.000867683816028
bottom,39,0.00900750519263,0.000750625432719
bottom,40,0.00640138917064,0.000533449097553
bottom,41,0.00277399012768,0.000231165843973
bottom,42,-0.00185685666427,-0.000154738055356
bottom,43,-0.00613248530312,-0.000511040441927
bottom,44,-0.0108217998297,-0.000901816652475
bottom,45,-0.022587466557,-0.00188228887975
bottom,46,-0.0297548330144,-0.00247956941786
bottom,47,-0.260838853122,-0.0217365710935
bottom,48,-0.507473643773,-0.0422894703144
