layer,m1,m2,kx,ky,occupation
top,-3,-3,-1.44720250912,-1.44720250912,-0.00152746579516
top,-3,-2,-1.44720250912,-0.964801672744,0.0287646107211
top,-3,-1,-1.44720250912,-0.482400836372,0.0483658318499
top,-3,0,-1.44720250912,0,0.0575811158339
top,-3,1,-1.44720250912,0.482400836372,0.0541031025935
top,-3,2,-1.44720250912,0.964801672744,0.057757817024
top,-3,3,-1.44720250912,1.44720250912,0.00736591267194
top,-2,-3,-0.964801672744,-1.44720250912,0.0493991449699
top,-2,-2,-0.964801672744,-0.964801672744,0.105698537581
top,-2,-1,-0.964801672744,-0.482400836372,0.226874254632
top,-2,0,-0.964801672744,0,0.264974682397
top,-2,1,-0.964801672744,0.482400836372,0.223481580685
top,-2,2,-0.964801672744,0.964801672744,0.101920530174
top,-2,3,-0.964801672744,1.44720250912,0.0119890366663
top,-1,-3,-0.482400836372,-1.44720250912,0.0628651240189
top,-1,-2,-0.482400836372,-0.964801672744,0.228709853169
top,-1,-1,-0.482400836372,-0.482400836372,0.510634919487
top,-1,0,-0.482400836372,0,0.664497017048
top,-1,1,-0.482400836372,0.482400836372,0.520016055804
top,-1,2,-0.482400836372,0.964801672744,0.199109542475
top,-1,3,-0.482400836372,1.44720250912,0.0508359768577
top,0,-3,0,-1.44720250912,0.0754172498957
top,0,-2,0,-0.964801672744,0.277452188283
top,0,-1,0,-0.482400836372,0.667441540886
top,0,0,0,0,2.8053519864
top,0,1,0,0.482400836372,0.667441540886
top,0,2,0,0.964801672744,0.277452188283
top,0,3,0,1.44720250912,0.0754172498957
top,1,-3,0.482400836372,-1.44720250912,0.0508359768577
top,1,-2,0.482400836372,-0.964801672744,0.199109542475
top,1,-1,0.482400836372,-0.482400836372,0.520016055804
top,1,0,0.482400836372,0,0.664497017048
top,1,1,0.482400836372,0.482400836372,0.510634919487
top,1,2,0.482400836372,0.964801672744,0.228709853169
top,1,3,0.482400836372,1.44720250912,0.0628651240189
top,2,-3,0.964801672744,-1.44720250912,0.0119890366663
top,2,-2,0.964801672744,-0.964801672744,0.101920530174
top,2,-1,0.964801672744,-0.482400836372,0.223481580685
top,2,0,0.964801672744,0,0.264974682397
top,2,1,0.964801672744,0.482400836372,0.226874254632
top,2,2,0.964801672744,0.964801672744,0.105698537581
top,2,3,0.964801672744,1.44720250912,0.0493991449699
top,3,-3,1.44720250912,-1.44720250912,0.00736591267194
top,3,-2,1.44720250912,-0.964801672744,0.057757817024
top,3,-1,1.44720250912,-0.482400836372,0.0541031025935
top,3,0,1.44720250912,0,0.0575811158339
top,3,1,1.44720250912,0.482400836372,0.0483658318499
top,3,2,1.44720250912,0.964801672744,0.0287646107211
top,3,3,1.44720250912,1.44720250912,-0.00152746579516
bottom,-3,-3,-1.44720250912,-1.44720250912,0.00748584476773
bottom,-3,-2,-1.44720250912,-0.964801672744,0.0289438035372
bottom,-3,-1,-1.44720250912,-0.482400836372,0.0545906969607
bottom,-3,0,-1.44720250912,0,0.0620604811351
bottom,-3,1,-1.44720250912,0.482400836372,0.0604366864628
bottom,-3,2,-1.44720250912,0.964801672744,0.0205205346069
bottom,-3,3,-1.44720250912,1.44720250912,-0.00182192197318
bottom,-2,-3,-0.964801672744,-1.44720250912,0.0481898632569
bottom,-2,-2,-0.964801672744,-0.964801672744,0.0960063197784
bottom,-2,-1,-0.964801672744,-0.482400836372,0.210743393229
bottom,-2,0,-0.964801672744,0,0.312537784546
bottom,-2,1,-0.964801672744,0.482400836372,0.216075611368
bottom,-2,2,-0.964801672744,0.964801672744,0.0906166831571
bottom,-2,3,-0.964801672744,1.44720250912,0.010864096273
bottom,-1,-3,-0.482400836372,-1.44720250912,0.0587235379572
bottom,-1,-2,-0.482400836372,-0.964801672744,0.190094096955
bottom,-1,-1,-0.482400836372,-0.482400836372,0.468509831634
bottom,-1,0,-0.482400836372,0,0.738313083301
bottom,-1,1,-0.482400836372,0.482400836372,0.480236351581
bottom,-1,2,-0.482400836372,0.964801672744,0.226211875549
bottom,-1,3,-0.482400836372,1.44720250912,0.0385917797132
bottom,0,-3,0,-1.44720250912,0.0853016470454
bottom,0,-2,0,-0.964801672744,0.278574262557
bottom,0,-1,0,-0.482400836372,0.665899331892
bottom,0,0,0,0,2.74884134149
bottom,0,1,0,0.482400836372,0.665899331892
bottom,0,2,0,0.964801672744,0.278574262557
bottom,0,3,0,1.44720250912,0.0853016470454
bottom,1,-3,0.482400836372,-1.44720250912,0.0385917797132
bottom,1,-2,0.482400836372,-0.964801672744,0.226211875549
bottom,1,-1,0.482400836372,-0.482400836372,0.480236351581
bottom,1,0,0.482400836372,0,0.738313083301
bottom,1,1,0.482400836372,0.482400836372,0.468509831634
bottom,1,2,0.482400836372,0.964801672744,0.190094096955
bottom,1,3,0.482400836372,1.44720250912,0.0587235379572
bottom,2,-3,0.964801672744,-1.44720250912,0.010864096273
bottom,2,-2,0.964801672744,-0.964801672744,0.0906166831571
bottom,2,-1,0.964801672744,-0.482400836372,0.216075611368
bottom,2,0,0.964801672744,0,0.312537784546
bottom,2,1,0.964801672744,0.482400836372,0.210743393229
bottom,2,2,0.964801672744,0.964801672744,0.0960063197784
bottom,2,3,0.964801672744,1.44720250912,0.0481898632569
bottom,3,-3,1.44720250912,-1.44720250912,-0.00182192197318
bottom,3,-2,1.44720250912,-0.964801672744,0.0205205346069
bottom,3,-1,1.44720250912,-0.482400836372,0.0604366864628
bottom,3,0,1.44720250912,0,0.0620604811351
bottom,3,1,1.44720250912,0.482400836372,0.0545906969607
bottom,3,2,1.44720250912,0.964801672744,0.0289438035372
bottom,3,3,1.44720250912,1.44720250912,0.00748584476773
