step,energy,ewmean,ewvar,pmove,locstd
0,12266.818,12266.818,0.0,0.9973389,276338.03
1,8778.322,11917.969,1.0952644e+06,0.9977051,235590.36
2,3234.6807,11049.64,7.7716915e+06,0.9976074,57245.895
3,1882.4165,10132.917,1.4557939e+07,0.99768066,19258.074
4,7866.7876,9906.304,1.3564325e+07,0.9980225,209699.7
5,15930.029,10508.676,1.5473566e+07,0.997168,393997.62
6,2708.1282,9728.621,1.9402578e+07,0.9971191,35344.957
7,13812.014,10136.96,1.8962988e+07,0.9975342,439748.0
8,3029.3108,9426.195,2.161337e+07,0.996875,63118.906
9,5172.4414,9000.82,2.108053e+07,0.9968994,117078.65
10,1784.4116,8279.18,2.3659366e+07,0.99624026,21139.645
11,5911.476,8042.409,2.179797e+07,0.99704593,163737.4
12,2796.5276,7517.821,2.2094908e+07,0.9964356,70979.81
13,6960.4824,7462.087,1.9913372e+07,0.99658203,159596.19
14,4996.9907,7215.577,1.8468938e+07,0.9964356,67722.43
15,8922.963,7386.316,1.6884408e+07,0.9966553,287899.22
16,1716.7874,6819.3633,1.8088888e+07,0.99658203,15728.295
17,3218.3584,6459.2627,1.744705e+07,0.99626464,83779.0
18,2339.1887,6047.2554,1.7230096e+07,0.9968018,28165.416
19,3248.1067,5767.3403,1.6212258e+07,0.99658203,55269.27
20,6328.226,5823.4287,1.4619345e+07,0.9968994,188102.48
21,3250.7036,5566.1562,1.3753112e+07,0.9964356,56400.47
22,8716.096,5881.1504,1.3270791e+07,0.99741215,186310.95
23,1968.9214,5489.9277,1.332121e+07,0.99663085,18449.898
24,22316.28,7172.563,3.7470436e+07,0.9967529,591085.0
25,4398.441,6895.151,3.441601e+07,0.9968506,77417.13
26,9483.465,7153.9824,3.1577348e+07,0.99699706,177655.25
27,16614.125,8099.9966,3.6474096e+07,0.9968018,438547.5
28,5554.337,7845.4307,3.3409922e+07,0.9972168,105640.86
29,3386.0051,7399.4883,3.185871e+07,0.99748534,48416.168
30,3609.9617,7020.5356,2.9965286e+07,0.9968994,52072.95
31,3551.5317,6673.6353,2.8051814e+07,0.99763185,49162.484
32,5644.329,6570.7046,2.5341986e+07,0.99677736,150034.31
33,2396.9258,6153.3267,2.4375624e+07,0.9971191,32438.197
34,2920.7856,5830.0728,2.28785e+07,0.9967041,30583.865
35,6919.928,5939.058,2.069755e+07,0.99663085,193120.17
36,10705.685,6415.7207,2.067266e+07,0.9962891,338524.6
37,1666.2834,5940.777,2.0635538e+07,0.99672854,17581.896
38,7711.3037,6117.8296,1.8854112e+07,0.9973877,199533.25
39,4946.4766,6000.6943,1.7092186e+07,0.99704593,94001.664
40,2856.7341,5686.2983,1.627257e+07,0.99746096,29572.912
41,7028.6396,5820.532,1.4807482e+07,0.9968506,157281.75
42,2105.6892,5449.048,1.4568739e+07,0.9968994,20428.992
43,8488.404,5752.9834,1.3943257e+07,0.99709475,196903.89
44,11463.173,6324.0024,1.5483495e+07,0.9968262,263043.38
45,7731.84,6464.786,1.4113526e+07,0.9968506,138031.28
46,3155.0103,6133.8086,1.3688089e+07,0.99663085,47685.867
47,3733.0378,5893.7314,1.2838013e+07,0.9959717,76406.36
48,2932.5068,5597.609,1.2343408e+07,0.9960205,47200.375
49,4409.802,5478.828,1.1236047e+07,0.99677736,86182.45
50,6385.0293,5569.448,1.018635e+07,0.99609375,149276.45
51,10431.536,6055.657,1.1295306e+07,0.9963135,231047.61
52,2824.0767,5732.499,1.1105655e+07,0.9958008,50337.305
53,3048.4722,5464.096,1.0643449e+07,0.9958496,33224.496
54,2247.5056,5142.437,1.0510284e+07,0.9954346,37529.938
55,6055.072,5233.7007,9.534216e+06,0.99626464,88921.54
56,8136.2666,5523.957,9.339034e+06,0.9955322,160631.52
57,4947.1475,5466.276,8.435074e+06,0.9955811,106912.28
58,4141.978,5333.846,7.749405e+06,0.99587405,83459.02
59,3467.8652,5147.248,7.287834e+06,0.9955322,61562.508
60,11430.94,5775.617,1.0112681e+07,0.9953613,418243.9
61,4153.1494,5613.3706,9.338329e+06,0.99550784,55438.055
62,4417.2544,5493.759,8.533258e+06,0.99504393,113848.47
63,6470.045,5591.387,7.7657135e+06,0.99416506,208909.45
64,7126.0186,5744.8506,7.2011005e+06,0.9945801,170490.12
65,9497.8125,6120.147,7.7486155e+06,0.99411625,177330.81
66,5265.293,6034.6616,7.0395235e+06,0.9942627,149332.03
67,6228.1367,6054.0093,6.33894e+06,0.99401855,150844.94
68,1591.6244,5607.771,7.497205e+06,0.99411625,16104.136
69,2022.2834,5249.222,7.904499e+06,0.9944336,18867.918
70,1794.0437,4903.704,8.1884925e+06,0.9942139,34959.254
71,3124.857,4725.8193,7.6544295e+06,0.9943604,40456.184
72,4345.8965,4687.827,6.901977e+06,0.9930176,92304.28
73,6285.948,4847.639,6.441638e+06,0.9933594,117381.44
74,8252.41,5188.116,6.840796e+06,0.9936035,196606.67
75,10250.547,5694.3594,8.463254e+06,0.9927002,323610.0
76,10157.126,6140.636,9.409394e+06,0.9927002,216631.69
77,1601.3328,5686.706,1.032293e+07,0.9929932,14445.794
78,2870.7659,5405.112,1.0004294e+07,0.99279785,52427.68
79,2573.786,5121.979,9.725341e+06,0.9917969,33771.715
80,2381.105,4847.8916,9.428922e+06,0.9926025,29326.85
81,4863.272,4849.4297,8.486051e+06,0.99252933,99631.26
82,7078.1143,5072.2983,8.0844785e+06,0.99157715,200239.42
83,3134.1416,4878.4824,7.6141115e+06,0.9910645,63112.582
84,4334.625,4824.0967,6.8793205e+06,0.99172366,90145.8
