step,energy,ewmean,ewvar,pmove,locstd
0,53055.465,53055.465,0.0,0.9914795,485439.22
1,61457.195,53895.637,6.3530165e+06,0.9911377,536170.5
2,68540.59,55360.133,2.5020444e+07,0.990918,627059.1
3,55753.18,55399.438,2.2532302e+07,0.9904785,530501.75
4,48349.48,54694.44,2.4752242e+07,0.9901245,356880.38
5,58392.93,55064.29,2.350811e+07,0.9900757,496162.03
6,63575.68,55915.43,2.7677238e+07,0.99050295,505815.0
7,59697.914,56293.68,2.619716e+07,0.9908081,592107.4
8,74693.3,58133.64,5.4046576e+07,0.9918701,649222.4
9,76556.37,59975.914,7.918763e+07,0.9914673,702233.56
10,55136.01,59491.92,7.337709e+07,0.99174803,499911.12
11,82715.22,61814.25,1.1457832e+08,0.99193114,745427.6
12,68383.734,62471.2,1.0700472e+08,0.9912354,602488.1
13,53378.97,61561.977,1.03744424e+08,0.991687,517839.3
14,51799.426,60585.723,1.0194765e+08,0.9909546,443412.88
15,68052.664,61332.418,9.677085e+07,0.9914795,633501.06
16,73734.16,62572.594,1.0093604e+08,0.9908081,602717.3
17,46889.65,61004.3,1.1297837e+08,0.99082035,321352.16
18,77755.125,62679.383,1.2693363e+08,0.9904297,738869.5
19,46292.62,61040.707,1.384076e+08,0.9901001,394368.28
20,41138.594,59050.496,1.602153e+08,0.99003905,323013.62
21,31398.346,56285.28,2.1301149e+08,0.98913574,155432.75
22,57219.68,56378.723,1.9178891e+08,0.98946536,506370.3
23,50756.773,55816.527,1.7545458e+08,0.9890259,353102.34
24,41387.258,54373.6,1.7664746e+08,0.9895386,273414.22
25,52589.59,54195.2,1.5926915e+08,0.98819584,455093.38
26,62494.6,55025.14,1.4954144e+08,0.98819584,575249.7
27,56233.48,55145.977,1.347187e+08,0.98842776,512664.47
28,55951.234,55226.504,1.2130519e+08,0.9889771,574847.6
29,78969.164,57600.77,1.5990891e+08,0.9888794,707887.7
30,61879.95,58028.688,1.4556603e+08,0.9889893,509285.25
31,50009.812,57226.8,1.3679664e+08,0.988855,394119.38
32,48161.266,56320.246,1.3051354e+08,0.989563,358469.53
33,53321.35,56020.355,1.1827158e+08,0.9895142,396516.5
34,50526.97,55471.016,1.09160376e+08,0.98963624,422840.1
35,49008.97,54824.812,1.0200256e+08,0.989624,386232.44
36,65604.17,55902.75,1.0225981e+08,0.9888672,638458.0
37,62068.2,56519.297,9.545498e+07,0.9890625,608273.7
38,68196.72,57687.04,9.818207e+07,0.98874515,593810.2
39,72087.8,59127.113,1.0702822e+08,0.98923343,671283.3
40,46316.63,57846.066,1.1109516e+08,0.9894287,452709.72
41,57965.03,57857.96,9.998691e+07,0.9897461,556629.1
42,60538.53,58126.02,9.0634904e+07,0.9897583,527213.5
