step,energy,ewmean,ewvar,pmove,locstd
0,41213.03,41213.03,0.0,0.9921509,284587.2
1,53517.035,42443.43,1.3624966e+07,0.9924927,565396.44
2,53034.91,43502.58,2.235862e+07,0.9932251,552548.2
3,44615.223,43613.844,2.0234176e+07,0.9937378,311388.78
4,48477.17,44100.176,2.0339434e+07,0.99344486,438598.28
5,52344.79,44924.637,2.442312e+07,0.99311525,503903.38
6,32282.016,43660.375,3.6366036e+07,0.99284667,287507.53
7,39135.27,43207.863,3.4572324e+07,0.9928345,405912.72
8,50285.65,43915.64,3.5623644e+07,0.9920166,405321.06
9,49744.754,44498.55,3.5119348e+07,0.9918457,435287.03
10,53121.78,45360.875,3.8299824e+07,0.9919922,603245.4
11,58210.336,46645.82,4.9329616e+07,0.9907959,493044.28
12,62053.082,48186.547,6.5761184e+07,0.9907349,517869.84
13,49599.277,48327.82,5.936469e+07,0.9912354,489097.06
14,51679.72,48663.01,5.4439388e+07,0.99172366,528106.06
15,37683.14,47565.023,5.9845628e+07,0.99118656,281714.06
16,46765.58,47485.08,5.3918584e+07,0.99149173,465550.2
17,75818.9,50318.46,1.2077921e+08,0.990979,753583.94
18,52461.918,50532.805,1.0911478e+08,0.9918335,465534.16
19,31796.04,48659.13,1.2979928e+08,0.9915039,205739.3
20,55901.094,49383.324,1.21539496e+08,0.9921021,621493.44
21,40988.633,48543.855,1.1572792e+08,0.99167484,301229.66
22,48463.17,48535.79,1.0415571e+08,0.9923828,358170.75
23,50276.65,48709.875,9.401289e+07,0.99222416,587194.3
24,48570.086,48695.895,8.461335e+07,0.99274904,393700.88
25,41520.023,47978.31,8.078639e+07,0.9917847,400763.62
26,55039.758,48684.453,7.719552e+07,0.99284667,534795.44
27,48909.27,48706.934,6.948052e+07,0.992334,397146.4
28,49363.29,48772.57,6.257124e+07,0.9920532,447933.94
29,39310.68,47826.383,6.4371576e+07,0.9928345,355643.53
30,39478.65,46991.61,6.4206036e+07,0.9922852,282467.9
31,54388.92,47731.34,6.271025e+07,0.9924194,601785.25
32,80598.516,51018.06,1.5366182e+08,0.99266356,752075.44
33,54170.844,51333.336,1.3919024e+08,0.99271244,569593.2
34,69609.96,53161.0,1.5533437e+08,0.9921509,631404.06
35,42683.22,52113.223,1.4968147e+08,0.9923584,443760.2
36,56886.93,52590.594,1.3676427e+08,0.990979,555877.6
37,37988.86,51130.42,1.422768e+08,0.9906128,454846.94
38,61970.434,52214.42,1.3862466e+08,0.99082035,539093.56
39,65119.76,53504.957,1.3975149e+08,0.98986816,477040.72
40,39413.125,52095.773,1.4364851e+08,0.989917,426515.25
41,45196.703,51405.867,1.335674e+08,0.98948973,397019.03
42,52560.17,51521.297,1.2033058e+08,0.9884888,467346.44
43,66826.3,53051.797,1.2937939e+08,0.98878175,567686.06
44,45184.08,52265.023,1.22012536e+08,0.9874024,430734.1
45,58164.973,52855.02,1.1294413e+08,0.98724365,518990.34
46,46821.547,52251.67,1.0492597e+08,0.98674315,388915.1
47,63163.84,53342.89,1.0515016e+08,0.9869507,592774.8
48,52610.965,53269.7,9.468335e+07,0.98566896,606849.75
49,50882.062,53030.938,8.572809e+07,0.9862793,441405.94
50,73143.09,55042.152,1.1356017e+08,0.98601073,663828.4
51,51419.43,54679.88,1.0338531e+08,0.985376,380518.9
52,47196.61,53931.55,9.808672e+07,0.98431396,396968.3
53,49050.523,53443.45,9.042224e+07,0.9841431,443625.53
54,41928.305,52291.934,9.331388e+07,0.98475343,319406.4
55,58091.562,52871.9,8.7009704e+07,0.98399657,550887.94
56,35797.008,51164.41,1.045484e+08,0.9848267,229981.64
57,58960.953,51944.062,9.95643e+07,0.9856445,656169.06
58,46692.32,51418.887,9.209014e+07,0.9870972,510224.25
59,47953.203,51072.32,8.396211e+07,0.98702395,323060.6
60,61173.93,52082.48,8.474972e+07,0.9879395,464747.53
61,59770.05,52851.24,8.159363e+07,0.9895264,535679.44
62,41058.83,51671.996,8.594975e+07,0.9906616,361410.9
63,47425.734,51247.37,7.897754e+07,0.99189454,380180.62
64,32506.812,49373.316,1.0268855e+08,0.9922363,289156.47
65,55528.754,49988.86,9.582974e+07,0.99252933,532613.3
66,45548.383,49544.812,8.802138e+07,0.99259037,321336.06
67,54435.29,50033.86,8.137175e+07,0.9926392,480572.12
68,44380.734,49468.547,7.611078e+07,0.9925049,530504.94
69,43871.31,48908.824,7.131932e+07,0.99257815,441394.28
70,87245.2,52742.46,1.9645838e+08,0.99259037,805601.8
71,55865.902,53054.805,1.7769056e+08,0.9921387,489404.38
72,36539.117,51403.234,1.8447062e+08,0.9913208,364655.6
73,35867.285,49849.64,1.8774648e+08,0.99082035,335693.53
74,55300.867,50394.76,1.7164626e+08,0.9910645,466978.4
75,59467.695,51302.055,1.6189026e+08,0.9904663,626903.9
76,56425.15,51814.363,1.4806338e+08,0.99122316,592492.25
77,63988.96,53031.824,1.4659691e+08,0.99071044,610140.0
78,47309.35,52459.58,1.3488442e+08,0.9909546,347074.38
79,30408.496,50254.47,1.651585e+08,0.9907471,271128.38
80,55565.645,50785.586,1.5118142e+08,0.9909668,494773.53
81,42268.008,49933.83,1.425927e+08,0.98936766,401902.28
82,57646.547,50705.1,1.33687176e+08,0.98981935,556293.7
83,67369.125,52371.504,1.4531053e+08,0.98933107,602358.94
84,69833.58,54117.71,1.5822262e+08,0.9882202,770545.94
85,63178.05,55023.746,1.4978843e+08,0.9892578,505030.44
86,51317.477,54653.117,1.3604587e+08,0.98828125,450583.5
87,53057.78,54493.582,1.22670344e+08,0.9890503,548634.44
88,38390.26,52883.25,1.3374182e+08,0.98801273,361882.84
89,45395.64,52134.49,1.2541342e+08,0.9879761,456742.28
90,48047.758,51725.816,1.143752e+08,0.98876953,507946.84
91,57508.406,52304.074,1.0594713e+08,0.9875366,612361.6
92,50725.133,52146.18,9.557678e+07,0.98819584,499110.5
93,41398.21,51071.383,9.641579e+07,0.9873047,462898.84
94,32149.574,49179.203,1.1899735e+08,0.9880005,253308.42
95,43872.395,48648.523,1.09632216e+08,0.9870972,465862.1
96,62597.402,50043.41,1.161804e+08,0.9874634,636942.1
97,47977.85,49836.855,1.04946344e+08,0.9878052,499449.75
98,72053.96,52058.566,1.3887568e+08,0.98752445,868029.94
99,55643.926,52417.1,1.2614505e+08,0.9873657,480802.72
100,65467.906,53722.184,1.2885965e+08,0.9871338,650488.1
101,51025.01,53452.465,1.1662841e+08,0.9864258,460629.84
102,38284.93,51935.71,1.2567044e+08,0.98666996,262167.16
103,50426.93,51784.832,1.1330827e+08,0.987146,472205.88
104,54023.5,52008.7,1.0242849e+08,0.98684084,547945.3
105,67782.7,53586.1,1.1457937e+08,0.9859619,593238.44
106,49272.03,53154.695,1.0479644e+08,0.98724365,529863.0
107,43573.117,52196.54,1.0257939e+08,0.98770756,361730.84
108,41070.22,51083.906,1.03463e+08,0.9877686,319189.4
109,32812.016,49256.72,1.2316428e+08,0.9878296,219569.92
110,46995.254,49030.57,1.1130813e+08,0.9890747,446507.2
111,68526.72,50980.184,1.343863e+08,0.98863524,685446.2
112,47637.363,50645.902,1.2195337e+08,0.9898926,476448.78
113,57725.363,51353.848,1.1426872e+08,0.989917,503386.53
114,66477.42,52866.203,1.2342687e+08,0.99031985,606475.44
115,57066.67,53286.25,1.12672136e+08,0.99117434,530023.3
116,67823.36,54739.96,1.204244e+08,0.9918823,556697.8
117,59098.805,55175.844,1.1009191e+08,0.9921631,621623.94
118,45931.312,54251.39,1.0677424e+08,0.9921631,512180.7
119,53141.938,54140.445,9.620759e+07,0.99176025,622630.8
120,64452.25,55171.625,9.615683e+07,0.9915161,624144.9
121,37984.664,53452.93,1.131264e+08,0.99152833,307194.66
122,40715.547,52179.19,1.1641544e+08,0.9918701,416356.2
123,43690.906,51330.363,1.1125848e+08,0.9912842,412058.3
124,73356.805,53533.008,1.437974e+08,0.99105227,774146.4
125,39718.25,52151.53,1.4659394e+08,0.9900635,434606.7
126,46303.145,51566.69,1.3501286e+08,0.99031985,441252.75
127,40653.547,50475.375,1.3223027e+08,0.9895874,340491.78
128,45747.336,50002.57,1.2101914e+08,0.98977053,447373.56
129,39810.207,48983.336,1.182668e+08,0.98929447,336298.8
130,62004.18,50285.42,1.21698936e+08,0.9895264,539034.7
131,58306.23,51087.504,1.1531904e+08,0.98929447,674600.6
132,50897.984,51068.55,1.0379037e+08,0.9883057,552501.9
133,45956.473,50557.344,9.576333e+07,0.9880249,413240.62
134,54607.82,50962.39,8.766357e+07,0.9880249,438563.66
135,59979.727,51864.125,8.621532e+07,0.98844,575701.06
136,54491.73,52126.887,7.8215176e+07,0.9888672,496418.66
137,59844.83,52898.68,7.575466e+07,0.98801273,677850.7
138,71797.08,54788.52,1.0032264e+08,0.9870972,586329.56
139,44157.395,53725.406,1.0046225e+08,0.9875855,352342.56
140,45086.777,52861.543,9.713235e+07,0.98703617,510165.88
141,53196.23,52895.01,8.742919e+07,0.98769534,598828.2
142,53320.09,52937.52,7.8702536e+07,0.9871826,578725.2
143,47960.57,52439.824,7.306158e+07,0.9872193,559963.0
144,42501.44,51445.984,7.4644856e+07,0.9878662,328278.22
145,49162.86,51217.67,6.76495e+07,0.9871216,405863.34
146,44164.965,50512.402,6.536121e+07,0.98792726,430709.78
147,51991.32,50660.293,5.9021932e+07,0.9868286,525250.25
148,47922.96,50386.56,5.3794108e+07,0.98666996,477960.16
149,44615.633,49809.465,5.141202e+07,0.9868042,437488.94
150,34005.297,48229.047,6.875027e+07,0.98637694,225765.98
151,41877.883,47593.93,6.55056e+07,0.9859497,446177.34
152,37961.195,46630.656,6.7306104e+07,0.9862915,450554.53
153,40639.02,46031.492,6.3806464e+07,0.9852051,330050.78
154,58267.25,47255.066,7.0900056e+07,0.98552245,624592.94
155,42067.746,46736.336,6.6231796e+07,0.9857788,480011.0
156,45119.16,46574.617,5.9843988e+07,0.985376,325179.34
157,31828.754,45100.03,7.3429224e+07,0.9851807,199299.05
158,71343.1,47724.34,1.2806919e+08,0.9850952,690604.25
159,59338.477,48885.754,1.2740221e+08,0.9847412,685902.7
160,52990.86,49296.266,1.1617866e+08,0.9851441,456254.3
161,51879.703,49554.61,1.05161464e+08,0.9854614,526174.8
162,51338.742,49733.023,9.493179e+07,0.9857178,479362.56
163,42275.15,48987.234,9.04444e+07,0.98475343,423207.6
164,61053.805,50193.89,9.450415e+07,0.98508304,612352.94
165,50735.617,50248.062,8.508014e+07,0.9838501,473535.53
166,53153.53,50538.61,7.733189e+07,0.98476565,511303.38
167,59594.36,51444.184,7.69793e+07,0.9850464,571971.56
168,44728.125,50772.58,7.3340856e+07,0.9851807,323580.2
169,53218.195,51017.14,6.6545064e+07,0.98593754,576519.2
170,60249.598,51940.387,6.7562e+07,0.98530275,585550.1
171,71967.89,53943.137,9.690488e+07,0.9854981,646118.06
172,49272.547,53476.08,8.917769e+07,0.985791,414821.28
173,77407.64,55869.234,1.31804696e+08,0.98630375,739480.75
174,64605.445,56742.855,1.25493144e+08,0.98652345,613797.94
175,70967.16,58165.285,1.3115358e+08,0.9855591,784886.4
176,50383.215,57387.08,1.2348868e+08,0.98619384,436775.6
177,76933.79,59341.75,1.4552645e+08,0.9857422,684839.94
178,59164.797,59324.055,1.3097662e+08,0.98603517,562868.7
179,57969.297,59188.58,1.1804414e+08,0.98697513,440883.84
180,50464.984,58316.22,1.13088824e+08,0.9862427,546207.2
181,41330.273,56617.625,1.2774694e+08,0.98597413,386248.0
182,49436.508,55899.51,1.1961341e+08,0.9852905,469193.34
183,59300.562,56239.617,1.086931e+08,0.9863281,437892.4
184,52966.0,55912.254,9.878828e+07,0.9866455,505475.88
185,39863.754,54307.402,1.12089336e+08,0.9848633,314280.16
186,50478.48,53924.51,1.0219986e+08,0.9868652,429668.16
187,45079.023,53039.96,9.9021704e+07,0.9867798,331558.22
188,39659.883,51701.953,1.0523191e+08,0.9854248,360435.62
189,64949.812,53026.74,1.1050424e+08,0.9863281,712360.44
190,59292.703,53653.336,1.0298742e+08,0.9866821,641218.75
191,57547.266,54042.73,9.405332e+07,0.9859497,571164.5
192,68841.49,55522.605,1.0435829e+08,0.9854004,691430.8
193,73155.82,57285.926,1.2190618e+08,0.9852417,712908.44
194,58363.82,57393.715,1.0982012e+08,0.9851074,596511.6
195,39120.12,55566.355,1.2889129e+08,0.98573,340574.66
196,59370.492,55946.77,1.17304584e+08,0.9850464,485203.53
197,66444.64,56996.555,1.154926e+08,0.98544925,545927.9
198,52939.906,56590.89,1.0542442e+08,0.9852783,593496.8
199,52567.375,56188.54,9.633895e+07,0.9858643,462857.0
200,43957.61,54965.445,1.00168664e+08,0.98461914,522647.72
201,69535.2,56422.42,1.092568e+08,0.984021,655224.44
202,65319.05,57312.086,1.05454616e+08,0.984961,685587.56
203,51496.32,56730.508,9.795323e+07,0.98427737,619103.3
204,51358.92,56193.348,9.075476e+07,0.9846436,497671.7
205,75141.22,58088.133,1.1399125e+08,0.9843262,691405.4
206,41180.848,56397.406,1.2831919e+08,0.98485106,320780.47
207,61922.03,56949.867,1.1823421e+08,0.9848267,531291.6
208,38303.547,55085.234,1.3770246e+08,0.9853882,387834.9
209,38066.938,53383.406,1.4999822e+08,0.9838501,250384.42
210,46828.656,52727.93,1.3886523e+08,0.9841675,390880.44
211,66036.945,54058.832,1.409204e+08,0.98354495,682560.0
212,58794.34,54532.383,1.288466e+08,0.982251,518699.22
213,50408.062,54119.95,1.1749284e+08,0.9824219,420814.47
214,39735.97,52681.55,1.24364456e+08,0.98160404,368016.56
215,51270.18,52540.414,1.1210729e+08,0.98092043,415068.7
216,49540.477,52240.42,1.0170652e+08,0.9815674,433577.75
217,59689.0,52985.28,9.652918e+07,0.9809082,496285.7
218,42307.656,51917.52,9.713731e+07,0.97957766,473101.66
219,44435.047,51169.273,9.246244e+07,0.9784546,350860.2
220,59629.523,52015.297,8.965802e+07,0.97789305,565297.2
221,47033.633,51517.13,8.2925736e+07,0.97623295,495027.3
222,48930.29,51258.445,7.5235416e+07,0.9760376,504069.75
223,53767.57,51509.36,6.827848e+07,0.9758911,526789.4
224,27162.51,49074.676,1.1479985e+08,0.97420657,160109.08
225,50226.008,49189.81,1.0343917e+08,0.9741699,491883.88
226,74133.42,51684.17,1.4909179e+08,0.9754761,646896.25
227,59418.785,52457.633,1.395668e+08,0.97559816,549292.9
228,52680.82,52479.953,1.2561459e+08,0.97473145,564081.94
229,47806.383,52012.598,1.1501893e+08,0.9756592,384128.7
230,63960.33,53207.37,1.16364376e+08,0.97492677,564254.06
231,49119.492,52798.582,1.062319e+08,0.97545165,379895.03
232,41122.125,51630.938,1.0787928e+08,0.97469485,324892.16
233,79620.516,54429.895,1.6759883e+08,0.97434086,882098.9
234,41323.695,53119.273,1.6629846e+08,0.9732422,369894.38
235,42050.11,52012.355,1.6069598e+08,0.97382814,434826.72
236,47847.17,51595.836,1.4618778e+08,0.9733643,357885.38
237,28437.191,49279.973,1.7983805e+08,0.97366947,146118.69
238,68476.58,51199.633,1.950201e+08,0.97297364,687285.7
239,58996.934,51979.363,1.8098989e+08,0.9740357,656596.56
240,59759.086,52757.336,1.6833806e+08,0.9734497,537985.75
241,65122.1,53993.812,1.6526411e+08,0.9739502,592293.3
242,67900.43,55384.473,1.6614317e+08,0.9758789,584844.75
243,71184.42,56964.47,1.719963e+08,0.9768311,644529.25
244,46987.17,55966.74,1.6375584e+08,0.97907716,406782.38
245,53093.125,55679.375,1.4812344e+08,0.9807129,464647.03
246,47308.727,54842.31,1.3961718e+08,0.98205566,589329.6
247,29521.375,52310.215,1.8335894e+08,0.98304445,270461.94
248,50411.332,52120.33,1.6534757e+08,0.98463136,489053.75
249,63849.57,53293.254,1.6119458e+08,0.9842896,677084.5
250,51175.87,53081.516,1.4547862e+08,0.98581547,491360.78
251,68521.16,54625.48,1.5238518e+08,0.9855713,573864.94
252,42406.93,53403.625,1.5058302e+08,0.9857788,381080.4
253,51102.086,53173.473,1.3600146e+08,0.9854981,503862.7
254,41120.84,51968.21,1.3547523e+08,0.98503417,304634.88
255,32121.39,49983.527,1.5737837e+08,0.986145,261296.53
256,47986.3,49783.805,1.4199954e+08,0.9851929,525331.7
257,32200.66,48025.492,1.556246e+08,0.98535156,211267.3
258,43747.383,47597.68,1.4170934e+08,0.9845215,332901.4
259,46497.88,47487.7,1.2764727e+08,0.9848633,380008.78
260,62635.707,49002.5,1.3553413e+08,0.98459476,741892.3
261,49261.035,49028.35,1.2198673e+08,0.9835693,444086.7
262,58011.797,49926.695,1.1705126e+08,0.9838501,567399.9
263,49680.812,49902.105,1.05351576e+08,0.9834595,366714.06
264,62183.523,51130.246,1.083914e+08,0.9823486,601559.1
265,53779.137,51395.137,9.818375e+07,0.98233646,549580.56
266,75233.01,53778.92,1.3950734e+08,0.9822022,693531.56
267,75256.336,55926.664,1.6707174e+08,0.98259276,711340.9
268,41600.36,54494.035,1.6883643e+08,0.98160404,344971.3
269,48690.664,53913.7,1.549839e+08,0.98020023,527599.06
270,53348.805,53857.21,1.3951422e+08,0.98007816,514231.3
271,58912.22,54362.71,1.2786258e+08,0.9795044,561777.75
272,61955.15,55121.953,1.20264376e+08,0.9786865,575266.2
273,68565.27,56466.285,1.24502984e+08,0.9779663,608625.2
274,49372.14,55756.87,1.16582104e+08,0.97680664,402798.1
275,52559.715,55437.156,1.0584386e+08,0.97659916,521944.38
276,42717.598,54165.2,1.0982031e+08,0.9755005,376161.16
277,58949.27,54643.605,1.0089814e+08,0.9731812,520212.47
278,43008.715,53480.117,1.0299169e+08,0.9706665,422403.3
279,66463.37,54778.44,1.0786335e+08,0.97038573,685739.25
280,51499.18,54450.516,9.804483e+07,0.9690796,459812.03
281,61796.75,55185.14,9.309739e+07,0.96881104,571036.06
282,45879.977,54254.625,9.15804e+07,0.9675171,433337.88
283,50734.68,53902.63,8.353746e+07,0.9672241,520118.56
284,57421.293,54254.496,7.629799e+07,0.9667725,606828.94
285,60279.383,54856.984,7.193513e+07,0.9678589,667329.1
286,30545.744,52425.86,1.1793489e+08,0.9672241,195744.03
287,34862.453,50669.52,1.3390398e+08,0.967981,255691.0
288,56521.38,51254.707,1.2359557e+08,0.96815187,602023.06
289,80864.41,54215.676,1.9014208e+08,0.9671875,703870.2
290,39893.76,52783.484,1.8958842e+08,0.9658203,251857.69
291,35180.023,51023.137,1.9851894e+08,0.9659912,250628.28
292,62375.715,52158.395,1.9026634e+08,0.96363527,726235.3
293,56265.133,52569.07,1.7275757e+08,0.9642212,587700.6
294,66324.38,53944.6,1.725106e+08,0.96489257,634749.2
295,51710.47,53721.188,1.5570875e+08,0.9641968,523695.5
296,53599.68,53709.035,1.401392e+08,0.9646118,494705.34
297,37511.906,52089.32,1.4973651e+08,0.96585697,295312.0
298,57871.312,52667.52,1.3777168e+08,0.96434325,609360.1
299,61505.703,53551.336,1.3102472e+08,0.96499026,663705.9
300,60885.67,54284.77,1.2276357e+08,0.96567386,677208.0
301,32734.652,52129.758,1.5228389e+08,0.9643311,378129.75
302,39144.566,50831.24,1.5223086e+08,0.9643189,290185.56
303,53794.58,51127.57,1.377981e+08,0.9645142,522785.2
304,34452.535,49460.066,1.490434e+08,0.963916,226219.12
305,49981.12,49512.17,1.3416349e+08,0.9626099,470234.5
306,64087.086,50969.664,1.3986566e+08,0.9628052,566156.4
307,50751.703,50947.867,1.2588337e+08,0.96268314,568610.8
308,56212.727,51474.35,1.1578971e+08,0.961023,530354.0
