step,energy,ewmean,ewvar,pmove,locstd
0,107997.64,107997.64,0.0,0.9895752,774607.5
1,68947.72,104092.65,1.3724067e+08,0.9890869,502748.9
2,75125.95,101195.98,1.9903285e+08,0.9883545,654598.25
3,121159.45,103192.33,2.1499819e+08,0.9884766,868290.94
4,77495.484,100622.64,2.5292787e+08,0.98833007,498902.56
5,84868.47,99047.23,2.4997253e+08,0.98859864,538274.0
6,71762.03,96318.7,2.9197866e+08,0.9880859,555347.44
7,75519.44,94238.77,3.0171565e+08,0.9885742,517872.88
8,101218.74,94936.77,2.7592886e+08,0.98774415,752957.56
9,89808.984,94423.99,2.5070243e+08,0.98796386,715266.06
10,114019.33,96383.52,2.6019014e+08,0.9872803,805204.44
11,72388.31,93984.0,2.8599043e+08,0.986499,388798.0
12,99858.55,94571.45,2.6049731e+08,0.9868164,665686.44
13,95543.76,94668.69,2.3453267e+08,0.9854004,677328.25
14,91425.26,94344.34,2.1202619e+08,0.98759764,791302.0
15,74931.28,92403.04,2.247416e+08,0.9890625,557200.25
16,89397.66,92102.5,2.0308034e+08,0.98811036,719964.75
17,113337.55,94226.01,2.2335574e+08,0.98845214,826695.5
18,88343.42,93637.75,2.041346e+08,0.9885254,713014.2
19,135065.0,97780.48,3.3818064e+08,0.9883545,936412.7
20,98978.69,97900.3,3.044918e+08,0.9891602,654863.06
21,120207.25,100130.99,3.1882666e+08,0.9889893,895572.56
22,97312.61,99849.16,2.8765888e+08,0.9885742,633983.06
23,65958.125,96460.055,3.622672e+08,0.9894776,444565.0
24,116544.31,98468.484,3.6234442e+08,0.9890137,778541.75
25,86153.55,97236.99,3.3975914e+08,0.98874515,603170.94
26,97910.41,97304.336,3.0582403e+08,0.99072266,650487.1
27,85974.52,96171.35,2.8679446e+08,0.9881592,674765.3
28,77268.44,94281.06,2.9027382e+08,0.9890625,538891.7
29,100772.03,94930.16,2.6503838e+08,0.98928225,739661.8
30,83568.61,93794.0,2.5015216e+08,0.98911136,706646.5
31,77836.77,92198.28,2.480539e+08,0.9894043,658192.0
32,76190.51,90597.5,2.463109e+08,0.98959965,535873.2
