step,energy,ewmean,ewvar,pmove,locstd
4436,3954.0781,3954.0781,0.0,0.8553711,44.84198
4437,3950.3064,3953.701,1.2803342,0.8469727,49.976574
4438,3955.7175,3953.9026,1.5183021,0.8543457,46.9582
4439,3951.3691,3953.6492,1.9441239,0.84956056,45.512463
4440,3953.5688,3953.641,1.7502921,0.8558838,42.092827
4441,3951.108,3953.3877,2.1528034,0.85424805,43.244396
4442,3952.42,3953.291,2.0218155,0.8560059,44.118416
4443,3949.8132,3952.9434,2.908182,0.85202634,44.066166
4444,3949.8816,3952.6372,3.4610615,0.85632324,43.18035
4445,3950.5295,3952.4265,3.5147583,0.8503418,43.69631
4446,3951.3267,3952.3164,3.2721536,0.8562256,42.966045
4447,3953.1252,3952.3972,3.0038178,0.8529053,47.34484
4448,3950.674,3952.2249,2.9706664,0.8535156,50.69823
4449,3952.3213,3952.2344,2.6744368,0.8543213,51.95287
4450,3951.6045,3952.1714,2.4427009,0.856665,52.964954
4451,3951.1953,3952.0737,2.2841756,0.8537842,46.360184
4452,3954.1309,3952.2795,2.436618,0.8575684,45.345123
4453,3952.4648,3952.298,2.1960466,0.84973145,43.992382
4454,3951.7136,3952.2397,2.0071867,0.8563965,44.143917
4455,3951.31,3952.1467,1.8842567,0.85446775,42.927574
4456,3950.9773,3952.0298,1.8189127,0.85375977,42.30617
4457,3951.544,3951.9812,1.6582651,0.85402834,43.270576
4458,3951.269,3951.91,1.5380838,0.8588135,44.887966
4459,3949.9136,3951.7102,1.7429582,0.85854495,43.63863
4460,3952.6172,3951.8008,1.6426978,0.85407716,45.311096
4461,3950.722,3951.6929,1.583182,0.8547119,42.576237
4462,3950.6548,3951.589,1.5218498,0.85483396,42.96825
4463,3952.7085,3951.7012,1.4824367,0.8548584,48.106426
4464,3949.84,3951.5151,1.6459199,0.8538574,57.2499
4465,3952.8276,3951.6465,1.636367,0.8612793,58.029095
4466,3951.5483,3951.6367,1.4735972,0.85524905,52.272816
4467,3952.704,3951.7434,1.428775,0.8592529,43.3182
4468,3951.1572,3951.6848,1.3168222,0.85488284,44.34855
4469,3950.5312,3951.5693,1.3049039,0.855542,42.91457
4470,3950.09,3951.4214,1.3713492,0.8530029,45.0307
4471,3950.2512,3951.3044,1.3574502,0.8555908,43.53928
4472,3949.1492,3951.0889,1.6397735,0.8537354,44.302128
4473,3949.212,3950.9011,1.7928618,0.8563477,46.09056
4474,3952.0059,3951.0117,1.7234154,0.853833,48.022038
4475,3951.7603,3951.0867,1.6015012,0.85683596,44.937057
4476,3950.2341,3951.0015,1.5067651,0.85588384,47.136192
4477,3951.2644,3951.0278,1.3623109,0.85651857,43.454987
4478,3951.7134,3951.0964,1.2683774,0.857251,42.53044
4479,3949.669,3950.9536,1.3249353,0.85583496,43.60637
4480,3951.5098,3951.0093,1.2202792,0.8576416,43.54803
4481,3946.774,3950.5857,2.7126896,0.85131836,48.591988
4482,3951.2617,3950.6533,2.4825516,0.86035156,46.230522
4483,3946.715,3950.2595,3.6301668,0.8542236,49.09324
4484,3950.052,3950.2388,3.271026,0.8573487,44.53834
4485,3949.6643,3950.1814,2.9736238,0.85366213,43.158478
4486,3949.195,3950.0828,2.763817,0.8527832,47.83884
4487,3949.9932,3950.0737,2.4881577,0.85737306,48.92783
4488,3949.8135,3950.0476,2.2454379,0.85886234,52.57045
4489,3950.4578,3950.0886,2.0360346,0.8560059,58.150078
4490,3949.5408,3950.034,1.8594437,0.8550537,53.46402
4491,3948.5354,3949.884,1.8756039,0.8571045,47.5823
4492,3949.0913,3949.8047,1.7446005,0.85578614,46.68539
4493,3948.98,3949.7222,1.6313531,0.8590332,45.527824
4494,3948.8496,3949.635,1.5367401,0.855127,41.891964
4495,3948.5662,3949.528,1.4858851,0.8563965,41.409847
4496,3948.9102,3949.4663,1.3716608,0.8554443,42.362
4497,3947.086,3949.2283,1.7444497,0.85822755,40.87271
4498,3947.5293,3949.0583,1.8297912,0.85495603,42.582573
4499,3947.0352,3948.856,2.0152102,0.85935056,41.957973
4500,3946.8843,3948.6587,2.1635659,0.854126,43.798424
4501,3947.4814,3948.541,2.071941,0.8544922,44.955452
4502,3948.4988,3948.5369,1.8649073,0.85625,42.792564
4503,3948.855,3948.5686,1.6875242,0.8533203,44.23827
4504,3946.9695,3948.4087,1.7489187,0.8584717,42.223454
4505,3948.6965,3948.4375,1.5814835,0.85510254,43.264374
4506,3946.7368,3948.2673,1.6836443,0.85510254,43.897766
4507,3948.3726,3948.2778,1.5162764,0.85576177,42.445225
4508,3946.4941,3948.0994,1.6509887,0.8544434,44.758286
4509,3948.2551,3948.115,1.4880733,0.85629886,46.783165
4510,3947.1372,3948.017,1.4253113,0.85217285,45.58968
4511,3949.116,3948.127,1.3914579,0.8580811,51.43898
4512,3942.2173,3947.536,4.395488,0.85253906,276.0471
4513,3950.8274,3947.865,4.930999,0.8581543,45.83339
4514,3944.3848,3947.517,5.5279756,0.8513428,52.796394
4515,3948.2034,3947.5857,5.017566,0.85275877,46.126106
4516,3947.8828,3947.6155,4.5237546,0.8508545,44.62487
4517,3947.546,3947.6084,4.0718145,0.8548096,41.771084
4518,3947.2979,3947.5774,3.6733127,0.8530762,48.82241
4519,3945.8975,3947.4094,3.5599766,0.85280764,47.33299
4520,3947.0786,3947.3765,3.213828,0.85231936,42.44528
4521,3948.0774,3947.4465,2.9366622,0.8552246,41.125446
4522,3944.625,3947.1643,3.3594904,0.85324705,43.50129
4523,3947.635,3947.2114,3.0434818,0.8562744,42.975876
4524,3946.1255,3947.1028,2.845267,0.8562256,44.675697
4525,3946.3608,3947.0286,2.6102834,0.8535889,41.600956
4526,3942.8008,3946.6057,3.9579284,0.85200197,45.50898
4527,3944.8608,3946.4312,3.836148,0.8584229,45.49891
4528,3943.411,3946.1292,4.2735124,0.85288084,44.525925
4529,3944.9863,3946.015,3.9637048,0.8552735,54.339794
4530,3945.3433,3945.9478,3.6079323,0.8555176,55.293053
4531,3926.486,3944.0015,37.33523,0.85239255,894.3963
4532,3949.9766,3944.5989,36.81487,0.8567139,116.539375
4533,3944.2278,3944.5618,33.145775,0.8530518,82.54019
4534,3947.19,3944.8247,30.452854,0.8578857,85.35532
4535,3943.4766,3944.69,27.571142,0.85266113,118.57414
4536,3948.8223,3945.1033,26.350878,0.85625005,156.63583
4537,3944.6548,3945.0583,23.733892,0.85397947,159.01622
4538,3948.3848,3945.391,22.356356,0.85935056,158.99307
4539,3945.442,3945.3962,20.12095,0.8521973,137.69078
4540,3945.8022,3945.4368,18.12369,0.85739744,116.95557
4541,3942.9258,3945.1855,16.878775,0.8522705,67.05204
4542,3947.0793,3945.375,15.51368,0.8605225,89.18786
4543,3944.0005,3945.2375,14.132348,0.85117185,115.742775
4544,3944.8093,3945.1948,12.735617,0.8560791,59.075134
4545,3944.1636,3945.0918,11.557768,0.85695803,49.019863
4546,3945.7795,3945.1606,10.44456,0.85908204,63.68713
4547,3943.644,3945.009,9.607111,0.8568115,45.449642
4548,3945.4805,3945.0562,8.666403,0.85871583,45.285378
4549,3944.0837,3944.959,7.8848653,0.8546387,48.790382
4550,3943.6616,3944.8293,7.2478623,0.85529786,43.258057
4551,3942.916,3944.638,6.852551,0.8556397,40.493324
4552,3940.6807,3944.2422,7.576699,0.8545166,80.11598
4553,3945.2876,3944.3467,6.917388,0.8596436,43.482334
4554,3943.9126,3944.3032,6.2426076,0.8601074,41.405117
4555,3944.3623,3944.309,5.618661,0.8560303,40.949696
4556,3943.869,3944.2651,5.0742335,0.85898435,41.072784
4557,3945.025,3944.341,4.618762,0.85610354,41.369694
4558,3942.8257,3944.1895,4.36356,0.8559082,41.912834
4559,3944.9297,3944.2634,3.9765193,0.85861814,39.566307
4560,3941.9717,3944.0342,4.051557,0.85227054,41.336674
4561,3945.5425,3944.185,3.8511486,0.8595947,42.556847
4562,3941.3848,3943.905,4.171781,0.853125,41.0246
4563,3944.2793,3943.9424,3.7672098,0.861084,39.83321
4564,3941.7568,3943.7239,3.820384,0.85617673,43.411743
4565,3945.0693,3943.8584,3.601269,0.8585694,40.92372
4566,3942.0215,3943.6748,3.5448248,0.85705566,41.47473
4567,3944.695,3943.7769,3.2840266,0.8560547,41.14231
4568,3942.1396,3943.613,3.1968641,0.85454106,44.211296
4569,3943.873,3943.6392,2.8832622,0.85769045,49.867947
4570,3944.4124,3943.7166,2.6487403,0.85546875,49.629726
4571,3942.4204,3943.587,2.535065,0.8562988,47.265255
4572,3943.3076,3943.559,2.288579,0.85695803,48.634407
4573,3939.504,3943.1536,3.5397215,0.85253906,59.00345
4574,3944.3958,3943.2778,3.324622,0.8607666,60.110725
4575,3939.9856,3942.9487,3.9676535,0.853833,52.744854
4576,3943.7212,3943.026,3.6245909,0.8565674,53.820274
4577,3941.4229,3942.8655,3.4934044,0.85454106,55.79112
4578,3944.9622,3943.0752,3.5397098,0.86040044,75.57929
4579,3944.8794,3943.2556,3.4787009,0.8590332,88.626656
4580,3938.9004,3942.82,4.837949,0.8529053,59.71632
4581,3944.9253,3943.0305,4.7530313,0.8560547,63.348515
4582,3941.4287,3942.8704,4.5086484,0.8563721,45.005436
4583,3943.6152,3942.9448,4.107719,0.85876465,47.586964
4584,3942.8486,3942.9353,3.6977794,0.8556641,49.503727
4585,3945.652,3943.207,3.99229,0.85646975,55.53682
4586,3942.1104,3943.0974,3.7013047,0.85454106,45.8967
4587,3944.2268,3943.2104,3.445972,0.8562012,42.993504
4588,3941.9917,3943.0886,3.2350564,0.85493165,45.399326
4589,3942.3042,3943.0103,2.9669294,0.85695803,42.385933
4590,3941.2322,3942.8325,2.9547763,0.8578125,42.710075
4591,3940.8892,3942.6382,2.9991968,0.85732424,42.772987
4592,3940.2737,3942.4019,3.2024553,0.85263675,52.35666
4593,3940.5425,3942.2158,3.1933646,0.857959,48.441643
4594,3938.7092,3941.8652,3.9806848,0.8536377,50.025562
4595,3940.0464,3941.6833,3.8803546,0.8579346,51.08243
4596,3939.4255,3941.4575,3.9511135,0.8549073,63.75121
4597,3940.9805,3941.41,3.576484,0.8580322,71.75216
4598,3942.1792,3941.4868,3.2720978,0.85700685,123.59718
4599,3940.6572,3941.4038,3.0068276,0.8553467,100.70223
4600,3943.108,3941.5742,2.9675014,0.85561526,145.75856
4601,3927.0132,3940.1182,21.752888,0.8542725,515.7486
4602,3945.6875,3940.675,22.369173,0.86013186,132.61455
4603,3942.625,3940.87,20.474464,0.8542725,154.48195
4604,3941.7803,3940.9612,18.501572,0.86215824,71.52642
4605,3937.853,3940.6504,17.52087,0.8564209,99.75038
4606,3944.2915,3941.0144,16.961977,0.85539556,169.766
4607,3940.4011,3940.9531,15.299629,0.8548096,72.853745
4608,3941.038,3940.9617,13.770316,0.8571289,91.310196
4609,3942.081,3941.0737,12.506056,0.86025393,94.71911
4610,3939.5283,3940.9192,11.470397,0.8538574,91.430145
4611,3940.4756,3940.8748,10.341067,0.8609619,40.310722
4612,3930.6365,3939.8508,18.740976,0.851709,166.1109
4613,3939.4873,3939.8145,16.878773,0.85705566,48.16709
4614,3936.8542,3939.5186,15.979548,0.85410154,48.233192
4615,3939.4932,3939.516,14.381652,0.859375,48.63855
4616,3936.8318,3939.2476,13.591991,0.854419,45.778923
4617,3940.2905,3939.3518,12.330692,0.8597901,46.686405
4618,3936.8608,3939.1028,11.656066,0.85212404,49.47539
4619,3939.204,3939.1128,10.491383,0.86020505,40.89514
4620,3934.5605,3938.6575,11.307309,0.85141605,44.960957
4621,3939.3547,3938.7273,10.220334,0.86093754,42.67801
4622,3935.6887,3938.4233,10.029264,0.8573487,40.377213
4623,3939.861,3938.5671,9.212378,0.8576172,39.872982
4624,3938.4338,3938.5537,8.292739,0.8555664,41.67141
4625,3939.2703,3938.6255,7.509675,0.8595947,41.437794
4626,3938.795,3938.6423,6.761291,0.85446775,40.079285
4627,3938.4338,3938.6216,6.089074,0.8595703,41.134045
4628,3939.6455,3938.7239,5.5745244,0.85568845,56.31994
4629,3935.8965,3938.4412,5.7365456,0.8540039,43.82172
4630,3939.625,3938.5596,5.2890234,0.8562744,67.12878
4631,3935.8013,3938.2837,5.444861,0.85710454,52.12416
4632,3938.819,3938.3372,4.9261737,0.85944825,44.709885
4633,3935.9355,3938.097,4.9526525,0.8593262,42.42996
4634,3935.835,3937.8706,4.91787,0.85993654,40.643856
4635,3936.2485,3937.7085,4.662883,0.8564942,39.88837
4636,3937.4739,3937.685,4.2015486,0.86147463,38.00423
4637,3938.1133,3937.7278,3.797897,0.8621582,38.855293
4638,3939.4463,3937.8997,3.683901,0.85710454,39.504482
4639,3940.1187,3938.1216,3.7586653,0.85700685,39.807133
4640,3940.9795,3938.4075,4.117887,0.8529785,40.020554
4641,3938.46,3938.4126,3.7063463,0.85456544,41.62056
4642,3940.228,3938.5942,3.6323323,0.8564453,39.465897
4643,3941.7092,3938.9058,4.1423836,0.8545898,39.83783
4644,3939.9272,3939.0078,3.8220537,0.85407716,41.915752
4645,3941.2314,3939.2302,3.884857,0.8543701,41.771786
4646,3941.438,3939.451,3.9350512,0.85817873,42.450466
4647,3940.4365,3939.5496,3.628972,0.8569336,44.298203
4648,3942.7444,3939.8691,4.1846957,0.8595947,50.827427
4649,3936.8196,3939.5642,4.6032095,0.8527832,44.787743
4650,3942.279,3939.8357,4.8062224,0.85812986,48.120842
4651,3936.5813,3939.5103,5.2787976,0.85153806,47.83723
4652,3939.9893,3939.558,4.771568,0.8592529,39.519936
4653,3938.6882,3939.4712,4.362512,0.8558105,40.103283
4654,3939.0188,3939.426,3.94468,0.8590332,39.90936
4655,3938.4668,3939.33,3.6330228,0.85832524,43.55815
4656,3939.4387,3939.3408,3.2707827,0.8565674,39.33231
4657,3939.8535,3939.392,2.9673615,0.853418,43.144794
4658,3937.4763,3939.2004,3.0009415,0.8560059,48.77339
4659,3940.0476,3939.2852,2.7654397,0.85874027,48.902157
4660,3939.2905,3939.2856,2.4888983,0.85275877,51.02085
4661,3939.5378,3939.3108,2.2457325,0.8552246,57.270355
4662,3939.6008,3939.3398,2.0287304,0.8537353,73.613174
4663,3938.168,3939.2227,1.9494535,0.8540039,59.423645
4664,3938.854,3939.1858,1.7667395,0.85510254,64.565186
4665,3940.2773,3939.295,1.6972994,0.85944825,67.620255
4666,3937.6963,3939.135,1.7575758,0.8560791,45.935917
4667,3941.1006,3939.3315,1.9295322,0.8592285,63.023228
4668,3939.772,3939.3755,1.754037,0.85546875,98.2263
4669,3940.3408,3939.472,1.6625012,0.8591553,42.529076
4670,3938.265,3939.3513,1.6273743,0.8527832,48.154568
4671,3941.421,3939.5583,1.8501214,0.8591553,42.083794
4672,3937.4717,3939.3496,2.0569866,0.85388184,46.131565
4673,3941.437,3939.5583,2.2434404,0.86066896,39.644398
4674,3938.67,3939.4695,2.0901337,0.85495603,39.6693
4675,3940.225,3939.545,1.9325062,0.8539063,38.315872
4676,3939.3213,3939.5225,1.7437567,0.85678715,40.728874
4677,3940.0168,3939.5718,1.5913783,0.85524905,47.832073
4678,3938.4565,3939.4602,1.5441778,0.8545898,45.07411
4679,3938.9941,3939.4136,1.4093094,0.8595215,50.404545
4680,3938.377,3939.3098,1.365091,0.8587891,66.07758
4681,3939.525,3939.3313,1.2327455,0.85695803,62.117832
4682,3935.4033,3938.9385,2.4980824,0.85126954,68.0015
4683,3940.3525,3939.0798,2.4282358,0.8578369,71.56985
4684,3937.2324,3938.895,2.492576,0.85354006,85.23909
4685,3938.97,3938.9026,2.2438238,0.86113286,53.782135
4686,3936.0823,3938.6206,2.735316,0.8555176,40.370316
4687,3938.1685,3938.5754,2.4801838,0.8589844,47.46685
4688,3936.0276,3938.3206,2.8164046,0.856128,42.00646
4689,3937.9543,3938.284,2.546834,0.85854495,37.68592
4690,3936.853,3938.1409,2.4764254,0.85605466,39.45532
4691,3937.02,3938.0288,2.34185,0.85839844,37.870644
4692,3936.373,3937.8633,2.3544042,0.85456544,37.391285
4693,3936.0532,3937.6824,2.413832,0.85576177,38.82466
4694,3935.0825,3937.4224,2.78078,0.85402834,38.47107
4695,3936.8,3937.36,2.537557,0.8540039,37.76587
4696,3936.5044,3937.2744,2.3497033,0.8562012,38.56609
4697,3936.3845,3937.1855,2.1860049,0.8579346,39.745808
4698,3936.1504,3937.082,2.0638437,0.8571289,39.697136
4699,3935.6567,3936.9395,2.0402906,0.8564941,39.507526
4700,3933.3896,3936.5845,2.9703617,0.8588623,41.211082
4701,3934.7434,3936.4004,2.978382,0.8601074,40.433353
4702,3932.232,3935.9836,4.2443867,0.85698247,37.882603
4703,3934.816,3935.867,3.9426703,0.8587402,38.089733
4704,3933.4294,3935.6233,4.08313,0.8563477,39.407127
4705,3935.6926,3935.6301,3.6752493,0.8612793,38.277096
