step,energy,ewmean,ewvar,pmove,locstd
0,105606.44,105606.44,0.0,0.98972166,695384.75
1,95771.875,104622.984,8.704676e+06,0.98850095,692428.94
2,67593.89,100920.08,1.3123804e+08,0.98896486,595399.9
3,100091.84,100837.26,1.18175976e+08,0.98842776,674988.2
4,99026.14,100656.15,1.0665359e+08,0.9891602,729065.75
5,70867.66,97677.3,1.7585011e+08,0.9878662,398737.44
6,72004.45,95110.016,2.1758363e+08,0.9891602,522931.25
7,73252.0,92924.21,2.3882482e+08,0.989209,540659.3
8,101553.91,93787.18,2.2164478e+08,0.98942876,755799.5
9,94947.83,93903.24,1.9960154e+08,0.98999023,732832.9
10,96660.42,94178.96,1.8032557e+08,0.9900147,822742.94
11,111698.63,95930.93,1.899175e+08,0.99121094,907827.44
12,89637.766,95301.61,1.744901e+08,0.99143064,685440.8
13,104715.266,96242.98,1.650166e+08,0.990918,768735.6
14,105979.93,97216.67,1.570477e+08,0.99226075,852226.1
15,103992.734,97894.28,1.4547528e+08,0.993042,781242.44
16,81372.414,96242.09,1.5549525e+08,0.9919678,529295.56
17,106331.57,97251.04,1.491075e+08,0.9918213,842950.25
18,65018.74,94027.81,2.2769966e+08,0.9915527,451238.38
19,94368.2,94061.85,2.0494011e+08,0.99189454,653337.2
20,93222.69,93977.94,1.8450947e+08,0.9919189,623146.06
21,110721.16,95652.26,1.912887e+08,0.9914795,879052.0
22,84246.82,94511.71,1.838674e+08,0.9911865,634679.94
23,82265.36,93287.08,1.7897822e+08,0.99172366,596068.44
24,89253.2,92883.69,1.625449e+08,0.9917725,624312.5
25,90519.516,92647.27,1.4679344e+08,0.9918457,634965.44
26,94791.016,92861.65,1.32527704e+08,0.9913819,732485.94
27,74717.75,91047.26,1.4890302e+08,0.9904297,484072.2
28,95048.62,91447.39,1.354537e+08,0.9911621,636066.3
29,105374.44,92840.09,1.3936496e+08,0.9903809,796790.3
30,86238.06,92179.89,1.2935128e+08,0.98981935,770891.4
31,82088.88,91170.79,1.2558071e+08,0.9900635,547411.9
32,87530.33,90806.74,1.1421541e+08,0.99064946,782221.75
33,78822.266,89608.3,1.1572035e+08,0.9893067,597895.44
34,93179.0,89965.37,1.0529581e+08,0.98913574,585902.75
35,92785.86,90247.414,9.548219e+07,0.9904053,663945.0
36,83748.72,89597.55,8.973494e+07,0.98784184,623019.06
37,91261.81,89763.98,8.101073e+07,0.98857427,678740.75
38,93028.484,90090.43,7.386878e+07,0.98981935,763280.25
39,84962.81,89577.67,6.884822e+07,0.9898437,596561.4
40,72272.89,87847.195,8.891439e+07,0.9894775,508486.1
41,102077.42,89270.22,9.8247896e+07,0.98942876,798207.75
42,116606.43,92003.84,1.5567726e+08,0.9903809,905728.6
43,71496.016,89953.06,1.7796093e+08,0.99018556,570591.1
44,102804.46,91238.2,1.7502909e+08,0.9910644,849983.8
45,102506.42,92365.02,1.6895373e+08,0.9910156,763948.3
46,81041.234,91232.64,1.6359888e+08,0.990625,629393.1
47,86194.77,90728.85,1.495232e+08,0.9907715,622462.3
48,69794.69,88635.44,1.740124e+08,0.9911621,383842.62
49,108840.055,90655.9,1.9335155e+08,0.99094236,872648.44
50,74591.18,89049.43,1.9724315e+08,0.9914795,503277.66
51,77240.0,87868.484,1.9007046e+08,0.990918,520883.38
52,112066.766,90288.31,2.2376352e+08,0.9898926,821246.6
53,90703.4,90329.82,2.0140267e+08,0.99035645,649037.75
54,87896.03,90086.44,1.817955e+08,0.9900147,608477.8
55,92710.17,90348.81,1.642355e+08,0.9887207,870947.3
56,69364.66,88250.4,1.8744208e+08,0.9880371,461049.47
57,116926.3,91117.984,2.4270552e+08,0.9884766,857309.8
58,104730.68,92479.25,2.3511245e+08,0.9880127,859786.25
59,77365.95,90967.92,2.3215826e+08,0.987085,615252.4
60,89244.95,90795.625,2.092096e+08,0.9879395,622373.5
61,95743.98,91290.46,1.904924e+08,0.9873047,758157.1
62,77749.89,89936.41,1.8794438e+08,0.98869634,621364.75
63,84701.97,89412.96,1.7161589e+08,0.9884522,573196.4
64,98229.69,90294.63,1.6145042e+08,0.9864991,695588.6
65,74484.305,88713.6,1.6780237e+08,0.9879883,446168.72
66,79068.97,87749.14,1.5939382e+08,0.98898923,670567.44
67,86194.75,87593.7,1.4367189e+08,0.9888428,570855.94
68,105808.39,89415.17,1.5916443e+08,0.9895752,750219.75
69,62686.65,86742.32,2.0754523e+08,0.9900147,328633.7
70,100272.22,88095.31,2.0326594e+08,0.9902588,731999.7
71,84520.2,87737.805,1.8408966e+08,0.9891846,686660.8
72,91514.24,88115.445,1.6696422e+08,0.98945314,701975.3
73,75707.58,86874.66,1.6412376e+08,0.99064946,422785.94
74,106953.445,88882.53,1.8399558e+08,0.98977053,723222.75
75,79368.81,87931.16,1.73742e+08,0.9894043,595504.4
76,96942.19,88832.26,1.6367568e+08,0.98981935,682040.8
77,82134.28,88162.46,1.5134576e+08,0.98842776,569314.3
78,85177.58,87863.97,1.3701304e+08,0.98845214,603942.06
79,86705.305,87748.1,1.2343256e+08,0.988623,654684.3
80,85718.45,87545.14,1.1146005e+08,0.98857427,668537.06
81,98760.76,88666.7,1.11635144e+08,0.9878418,691363.7
82,109912.42,90791.27,1.4109587e+08,0.98615724,784411.7
83,82312.9,89943.44,1.3345574e+08,0.98652345,554809.44
84,97390.06,90688.1,1.2510086e+08,0.98444825,824884.56
85,94775.92,91096.88,1.14094696e+08,0.9857422,721543.1
86,104390.45,92426.24,1.1858994e+08,0.9844971,650461.3
87,84636.34,91647.25,1.1219237e+08,0.9838623,753168.06
88,89173.37,91399.86,1.0152394e+08,0.9829346,596170.7
89,78180.34,90077.91,1.07099544e+08,0.98110354,590373.56
90,77576.09,88827.73,1.1045616e+08,0.98247075,692489.6
91,62480.31,86192.984,1.6188733e+08,0.98083496,387330.66
92,71241.78,84697.87,1.6581706e+08,0.97998047,462796.1
93,64876.523,82715.734,1.8459506e+08,0.98117673,413403.44
94,78435.32,82287.695,1.6778451e+08,0.98183596,512279.53
95,76361.28,81695.055,1.5416707e+08,0.9806397,458850.97
96,84821.26,82007.67,1.3962994e+08,0.9797852,634639.94
97,83691.94,82176.1,1.2592225e+08,0.98068845,595196.0
98,73095.516,81268.05,1.2075115e+08,0.98210454,459658.62
99,80898.2,81231.06,1.08688344e+08,0.9805908,553486.3
100,99730.72,83081.03,1.28620856e+08,0.98161626,714930.8
101,64488.47,81221.77,1.4687026e+08,0.9803467,361292.25
102,82409.36,81340.53,1.3231016e+08,0.9807129,594077.06
103,114783.266,84684.805,2.1973662e+08,0.98237306,903724.06
104,92433.76,85459.7,2.0316712e+08,0.98178715,678527.2
105,99993.66,86913.1,2.0186163e+08,0.98154294,740470.1
