step,energy,ewmean,ewvar,pmove,locstd
0,1327.5515,1327.5515,0.0,0.9988281,27715.643
1,527.429,1247.5393,57617.645,0.9986084,7394.6147
2,2427.9968,1365.5851,177269.08,0.99848634,48343.16
3,1124.7415,1341.5007,164762.67,0.9987793,27711.014
4,321.18655,1239.4694,241980.1,0.99870604,4334.6357
5,573.479,1172.8704,257700.95,0.99868166,6978.345
6,1311.0691,1186.6902,233649.75,0.9986084,23728.205
7,3109.9856,1379.0198,543200.6,0.9987305,118268.766
8,2329.676,1474.0854,570217.8,0.9987305,69492.23
9,560.36255,1382.7131,588336.06,0.99831545,7558.313
10,5534.6685,1797.9087,2.0809882e+06,0.9983887,226015.8
11,1084.5425,1726.572,1.9186898e+06,0.9986084,18173.107
12,3512.8213,1905.1969,2.0139826e+06,0.99853516,134741.08
13,284.669,1743.1442,2.0489344e+06,0.9979736,3189.8394
14,494.68707,1618.2985,1.984319e+06,0.99814457,7847.837
15,1617.213,1618.19,1.7858871e+06,0.99814457,48285.617
16,1186.8376,1575.0547,1.6240442e+06,0.997876,21748.791
17,1100.0657,1527.5558,1.4819451e+06,0.997876,28558.059
18,774.68805,1452.269,1.3847635e+06,0.99816895,18079.725
19,320.8242,1339.1245,1.3615022e+06,0.997876,3055.7314
20,1102.0214,1315.4142,1.2304116e+06,0.9980225,20639.537
21,455.42645,1229.4154,1.1739325e+06,0.99799806,4099.488
22,948.64856,1201.3387,1.0636339e+06,0.9976074,26877.256
23,3540.7688,1435.2817,1.4498345e+06,0.9971924,94799.08
24,775.40796,1369.2943,1.34404e+06,0.9973877,12092.34
25,1811.0503,1413.47,1.2271994e+06,0.99736327,44912.527
26,418.0697,1313.9299,1.1936534e+06,0.9972412,4990.4604
27,1637.6514,1346.3021,1.0837195e+06,0.99731445,50436.367
28,3302.8508,1541.957,1.319875e+06,0.99692386,75631.93
29,1306.9062,1518.4519,1.1928599e+06,0.99694824,19292.9
30,2698.6694,1636.4736,1.1989361e+06,0.99677736,54163.168
31,1686.8141,1641.5077,1.0792705e+06,0.9971191,59153.8
32,899.586,1567.3156,1.0208837e+06,0.9967529,18889.59
33,585.77185,1469.1611,1.0055038e+06,0.99587405,7539.896
34,542.99524,1376.5446,982153.9,0.9958984,8741.789
35,451.7927,1284.0693,960903.44,0.9963867,7694.4634
36,1646.0063,1320.2631,876602.9,0.9956299,37626.617
37,1756.5328,1363.89,806072.4,0.9952637,44760.47
38,5080.4746,1735.5485,1.9686352e+06,0.99614257,136563.19
39,2398.5342,1801.847,1.8113311e+06,0.995459,80927.38
40,896.14453,1711.2769,1.7040248e+06,0.995459,13497.301
41,2782.6326,1818.4125,1.6369245e+06,0.99487305,52541.652
42,904.4136,1727.0126,1.5484175e+06,0.99448246,24757.791
43,1431.3337,1697.4447,1.4014441e+06,0.9946777,34143.887
44,1063.0983,1634.01,1.2975152e+06,0.99492186,19034.033
45,2570.1006,1727.619,1.2466275e+06,0.99533695,65148.875
46,3607.9604,1915.6532,1.4401762e+06,0.995166,99332.37
47,588.9513,1782.983,1.454571e+06,0.9939453,5374.9116
48,650.01825,1669.6865,1.4246388e+06,0.9946777,7877.2056
49,1414.4822,1644.1661,1.2880364e+06,0.99450684,26531.662
50,3233.4666,1803.0962,1.3865616e+06,0.9940674,93977.766
51,1017.18634,1724.5052,1.3034942e+06,0.99401855,22001.055
52,6321.31,2184.1858,3.0749e+06,0.993457,268687.2
53,1575.1182,2123.279,2.8007965e+06,0.9935059,32853.246
54,1018.8248,2012.8336,2.6305005e+06,0.99311525,26006.355
55,750.47754,1886.598,2.5108692e+06,0.99284667,10794.043
56,1205.4034,1818.4785,2.3015445e+06,0.9936768,25999.299
57,3001.706,1936.8013,2.1973925e+06,0.9931397,103013.266
58,4262.8174,2169.4028,2.4645848e+06,0.9926025,124648.55
59,596.50195,2012.1128,2.4407878e+06,0.99243164,8614.061
60,735.95825,1884.4973,2.3432802e+06,0.991919,10855.619
61,668.5725,1762.9048,2.2420148e+06,0.99189454,11759.305
62,2555.2603,1842.1404,2.0743178e+06,0.99243164,87702.72
63,4513.4927,2109.2756,2.509137e+06,0.9919922,187119.27
64,1494.5671,2047.8048,2.2922312e+06,0.9905762,36952.383
65,354.98724,1878.5231,2.320915e+06,0.99125975,3838.9612
66,2223.4795,1913.0187,2.099533e+06,0.98999023,85379.61
67,354.91864,1757.2086,2.1080705e+06,0.99050295,2993.912
68,267.14282,1608.202,2.09709e+06,0.9908447,2719.73
69,3782.1453,1825.5963,2.3127238e+06,0.99067384,148039.89
70,542.8983,1697.3265,2.2295298e+06,0.98996586,8737.413
71,4143.8765,1941.9816,2.5452815e+06,0.9902344,103322.0
72,4704.8027,2218.2637,2.9777398e+06,0.98964846,177296.64
73,4375.2583,2433.9631,3.098702e+06,0.99052733,115986.11
74,1132.063,2303.7732,2.9413768e+06,0.9894776,17373.611
75,4758.337,2549.2295,3.1894785e+06,0.99013674,153236.89
76,603.1928,2354.6257,3.211366e+06,0.98999023,10119.876
77,1541.0565,2273.2688,2.9497998e+06,0.9888672,34995.586
78,777.4101,2123.6829,2.856203e+06,0.98945314,13580.365
79,622.9992,1973.6145,2.7732672e+06,0.98986816,9512.807
80,5640.865,2340.3396,3.706326e+06,0.99013674,148878.7
81,1919.8177,2298.2874,3.3516088e+06,0.98959965,56986.58
82,1932.3855,2261.6973,3.0284975e+06,0.9900147,41143.14
83,757.61304,2111.2888,2.929252e+06,0.99018556,13778.897
84,1106.7402,2010.834,2.7271472e+06,0.98996586,26901.807
85,344.86395,1844.2369,2.7042235e+06,0.9908447,3015.8926
86,1224.3094,1782.2441,2.468389e+06,0.9907959,30765.332
87,748.5231,1678.8721,2.3177222e+06,0.99035645,12760.449
88,1245.3164,1635.5165,2.1028672e+06,0.99055177,23297.021
89,1308.0746,1602.7723,1.90223e+06,0.99072266,28736.469
90,843.121,1526.8073,1.7639432e+06,0.9905762,10667.476
91,539.68414,1428.095,1.675246e+06,0.9894776,8638.085
92,976.40875,1382.9264,1.5260831e+06,0.9886963,24628.488
93,987.23456,1343.3572,1.3875662e+06,0.98859864,20441.273
94,1142.6959,1323.291,1.2524335e+06,0.98874515,21388.455
95,2115.2622,1402.4882,1.1836398e+06,0.98752445,52213.055
96,649.5308,1327.1924,1.1163008e+06,0.9875488,7945.069
97,1253.5505,1319.8282,1.0051587e+06,0.9881592,26456.578
98,2355.539,1423.3993,1.0011855e+06,0.9875488,49567.703
99,487.281,1329.7875,979935.5,0.9876221,8461.524
100,1033.9148,1300.2002,889820.56,0.98833007,20589.049
101,7207.9927,1890.9795,3.9420198e+06,0.98647463,274884.97
102,1059.586,1807.8401,3.610027e+06,0.9872559,19496.32
103,1486.063,1775.6624,3.2583428e+06,0.98669434,54624.94
104,1244.4983,1722.5459,2.9579005e+06,0.98688966,19825.367
105,1841.5466,1734.4459,2.6633848e+06,0.9863281,45058.48
106,375.3607,1598.5374,2.5632862e+06,0.98657227,3565.9841
107,385.0313,1477.1868,2.4394912e+06,0.98544925,4878.237
108,493.65216,1378.8333,2.2826028e+06,0.9854248,7556.152
109,3975.395,1638.4895,2.6611342e+06,0.98547363,147271.9
110,6068.3223,2081.473,4.1611288e+06,0.9849121,219193.22
111,1295.139,2002.8395,3.8006648e+06,0.9852295,37001.742
112,1698.4724,1972.4028,3.4289358e+06,0.98513186,45254.31
113,4896.013,2264.764,3.8553168e+06,0.9840576,172506.38
114,390.1265,2077.3003,3.786069e+06,0.98471683,4942.1455
115,984.9667,1968.0669,3.5148492e+06,0.98322755,18982.635
116,761.2542,1847.3856,3.29444e+06,0.98322755,9692.258
117,4009.4692,2063.594,3.3857102e+06,0.98391116,143156.03
118,1175.9043,1974.8251,3.1180585e+06,0.9836914,16703.25
119,1599.5538,1937.298,2.818927e+06,0.984375,47051.902
120,908.98016,1834.4662,2.6322035e+06,0.98515624,14133.262
121,798.8373,1730.9033,2.4655105e+06,0.9845703,11693.43
122,907.05884,1648.5189,2.2800442e+06,0.98337406,25037.4
123,629.73645,1546.6406,2.1454522e+06,0.9838867,10625.497
124,1603.475,1552.3241,1.9311976e+06,0.9844971,55690.3
125,596.65765,1456.7574,1.8202748e+06,0.9844971,10356.098
126,416.00427,1352.6821,1.7357322e+06,0.98525393,3902.4907
