step, energy     , ewmean    , ewvar         , pmove      , locstd
   0,  63385.516 , 63385.516 , 0.0           , 0.9789063  , 422432.66
   1,  85656.86  , 65612.65  , 4.464115e+07  , 0.98210454 , 636085.06
   2,  88819.875 , 67933.375 , 8.864882e+07  , 0.983667   , 778215.4
   3,  95272.09  , 70667.25  , 1.4705043e+08 , 0.98359376 , 835567.2
   4,  74332.24  , 71033.75  , 1.3355428e+08 , 0.98525393 , 566138.25
   5,  82815.37  , 72211.914 , 1.3269143e+08 , 0.9842529  , 595526.56
   6,  91539.23  , 74144.65  , 1.5304134e+08 , 0.9851074  , 574010.2
   7,  76951.984 , 74425.38  , 1.3844651e+08 , 0.986377   , 561244.9
   8,  75133.734 , 74496.22  , 1.24647016e+08, 0.9855225  , 596343.25
   9,  87082.05  , 75754.805 , 1.2643859e+08 , 0.98613286 , 710037.75
  10, 134856.4   , 81664.97  , 4.2816467e+08 , 0.9870361  , 1.0477136e+06
  11,  73790.14  , 80877.484 , 3.9092934e+08 , 0.98876953 , 531909.2
  12,  92231.37  , 82012.875 , 3.6343837e+08 , 0.98828125 , 776539.94
  13,  75693.17  , 81380.91  , 3.30689e+08   , 0.98813474 , 560277.0
  14,  83908.8   , 81633.695 , 2.981952e+08  , 0.9875977  , 643924.06
  15,  75137.875 , 80984.11  , 2.721733e+08  , 0.987085   , 500627.25
  16,  92197.56  , 82105.45  , 2.562727e+08  , 0.98603517 , 777261.6
  17,  88667.9   , 82761.695 , 2.3452134e+08 , 0.9861816  , 647097.1
  18,  72409.81  , 81726.51  , 2.2071373e+08 , 0.9836426  , 496131.7
  19,  77636.69  , 81317.52  , 2.0014774e+08 , 0.9835694  , 517384.06
  20,  84230.984 , 81608.87  , 1.8089691e+08 , 0.9830322  , 679260.3
  21,  81938.69  , 81641.85  , 1.6281701e+08 , 0.9818604  , 637149.44
  22,  82800.055 , 81757.67  , 1.4665603e+08 , 0.98098147 , 620542.6
  23,  82985.84  , 81880.49  , 1.3212619e+08 , 0.9804932  , 730742.1
  24,  66244.8   , 80316.92  , 1.4091632e+08 , 0.9819092  , 466773.72
  25, 111613.75  , 83446.6   , 2.1497891e+08 , 0.98305666 , 768309.9
  26,  85775.51  , 83679.49  , 1.9396917e+08 , 0.98408204 , 759098.1
  27,  91807.49  , 84492.29  , 1.8051803e+08 , 0.9838867  , 675966.5
  28,  71605.35  , 83203.59  , 1.774128e+08  , 0.98513186 , 491684.56
  29,  75598.08  , 82443.04  , 1.6487746e+08 , 0.98361814 , 570249.9
  30,  85200.7   , 82718.805 , 1.4907413e+08 , 0.9842041  , 652343.8
  31,  64335.543 , 80880.48  , 1.645817e+08  , 0.98349607 , 500605.62
  32,  99702.83  , 82762.71  , 1.8000882e+08 , 0.982666   , 891647.94
  33,  97478.34  , 84234.27  , 1.8149742e+08 , 0.98164064 , 710351.25
  34,  89775.52  , 84788.4   , 1.6611117e+08 , 0.98227537 , 647874.94
  35, 107039.47  , 87013.51  , 1.9405995e+08 , 0.9818115  , 831139.3
  36,  96795.34  , 87991.69  , 1.8326554e+08 , 0.9814942  , 727662.94
  37,  78087.93  , 87001.31  , 1.7376658e+08 , 0.97983396 , 631497.06
  38,  95308.47  , 87832.03  , 1.626007e+08  , 0.98020023 , 636810.4
  39,  79304.26  , 86979.25  , 1.528857e+08  , 0.9794922  , 661060.3
  40,  60247.465 , 84306.07  , 2.0191006e+08 , 0.9794922  , 345216.72
  41,  76417.3   , 83517.195 , 1.8732e+08    , 0.97753906 , 535744.7
  42,  91805.78  , 84346.055 , 1.7477106e+08 , 0.9779053  , 626339.7
  43, 108834.38  , 86794.89  , 2.11265e+08   , 0.97819823 , 776277.7
  44,  92298.86  , 87345.29  , 1.9286491e+08 , 0.97753906 , 714328.25
  45, 109066.516 , 89517.414 , 2.1604147e+08 , 0.9780518  , 1.0052833e+06
  46,  71434.04  , 87709.08  , 2.2386808e+08 , 0.9769043  , 564821.9
  47,  74383.17  , 86376.484 , 2.1746346e+08 , 0.9768799  , 484112.6
  48,  97937.914 , 87532.625 , 2.077471e+08  , 0.9770752  , 824663.1
  49,  79162.65  , 86695.625 , 1.9327747e+08 , 0.9765381  , 613462.4
  50,  91185.516 , 87144.62  , 1.7576403e+08 , 0.97609866 , 759976.25
  51,  76849.45  , 86115.1   , 1.6772677e+08 , 0.97573245 , 565938.75
  52,  76195.5   , 85123.14  , 1.5980995e+08 , 0.9747559  , 699681.06
  53,  76181.53  , 84228.98  , 1.5102466e+08 , 0.9739258  , 518453.6
  54, 100879.875 , 85894.06  , 1.6087491e+08 , 0.9734619  , 799991.5
  55,  97336.58  , 87038.31  , 1.5657123e+08 , 0.9746826  , 685765.9
  56,  78475.266 , 86182.01  , 1.4751342e+08 , 0.9730469  , 569344.0
  57,  76553.33  , 85219.14  , 1.4110611e+08 , 0.972461   , 606958.06
  58,  57972.03  , 82494.43  , 1.9381194e+08 , 0.9722412  , 359308.1
  59, 100481.91  , 84293.18  , 2.0355018e+08 , 0.9732666  , 743960.5
  60,  67795.52  , 82643.414 , 2.0769069e+08 , 0.9734863  , 534519.2
  61, 101573.06  , 84536.375 , 2.1917146e+08 , 0.97089845 , 723933.3
  62,  70105.195 , 83093.26  , 2.159976e+08  , 0.9710205  , 536532.3
  63,  64337.27  , 81217.66  , 2.2605869e+08 , 0.9706543  , 493409.78
  64,  94650.02  , 82560.89  , 2.1969138e+08 , 0.96855474 , 673745.0
  65,  99676.41  , 84272.445 , 2.2408691e+08 , 0.9692627  , 761597.56
  66,  79636.44  , 83808.84  , 2.0361256e+08 , 0.9691162  , 596053.25
  67,  72446.84  , 82672.64  , 1.9486986e+08 , 0.9687988  , 545125.3
  68,  60412.973 , 80446.67  , 2.1997722e+08 , 0.9674072  , 365455.72
  69,  98545.3   , 82256.53  , 2.2745992e+08 , 0.9650147  , 848818.1
  70,  85096.98  , 82540.58  , 2.0544006e+08 , 0.96591794 , 737167.7
  71,  48409.906 , 79127.51  , 2.8973728e+08 , 0.963208   , 241874.98
  72, 103396.06  , 81554.36  , 3.137702e+08  , 0.96262205 , 789039.7
  73, 107323.84  , 84131.305 , 3.4215914e+08 , 0.9637451  , 729673.5
  74,  71037.125 , 82821.89  , 3.233744e+08  , 0.9634278  , 477288.0
  75, 105427.81  , 85082.484 , 3.3702947e+08 , 0.9616699  , 820317.5
  76, 104446.86  , 87018.92  , 3.3707462e+08 , 0.96054685 , 813115.2
  77,  86998.78  , 87016.91  , 3.0336717e+08 , 0.95861816 , 700332.3
  78, 117434.46  , 90058.664 , 3.5630093e+08 , 0.95854497 , 866841.4
  79,  66738.62  , 87726.66  , 3.6961504e+08 , 0.96042484 , 504602.2
  80, 103700.7   , 89324.06  , 3.5561885e+08 , 0.9608887  , 814524.2
  81,  69854.59  , 87377.12  , 3.5417238e+08 , 0.9565186  , 453768.47
  82,  86869.08  , 87326.31  , 3.1877837e+08 , 0.9552979  , 635025.06
  83,  84128.016 , 87006.484 , 2.8782115e+08 , 0.953833   , 793137.94
  84,  96892.43  , 87995.08  , 2.678349e+08  , 0.9552002  , 789172.94
  85,  91162.02  , 88311.77  , 2.4195406e+08 , 0.9548096  , 740596.44
  86,  90719.39  , 88552.53  , 2.1828035e+08 , 0.9543457  , 752204.6
  87,  80742.81  , 87771.56  , 2.0194157e+08 , 0.9537109  , 641969.8
  88,  69552.984 , 85949.7   , 2.116199e+08  , 0.9560791  , 485205.16
  89,  89789.234 , 86333.66  , 1.9178469e+08 , 0.95373535 , 592634.3
  90, 103369.875 , 88037.28  , 1.9872717e+08 , 0.9542725  , 782988.94
  91,  79494.05  , 87182.96  , 1.8542326e+08 , 0.95488286 , 542480.2
  92,  94818.42  , 87946.51  , 1.7212797e+08 , 0.9535401  , 706878.0
  93,  64298.39  , 85581.695 , 2.0524618e+08 , 0.9551514  , 447950.06
  94,  74918.44  , 84515.37  , 1.94955e+08   , 0.9556885  , 593638.25
  95,  84568.375 , 84520.67  , 1.7545976e+08 , 0.9549317  , 723705.06
  96,  70714.28  , 83140.03  , 1.7506926e+08 , 0.9549805  , 532206.6
  97,  67408.71  , 81566.9   , 1.7983502e+08 , 0.9536377  , 444616.9
  98,  84126.29  , 81822.836 , 1.6244107e+08 , 0.9557861  , 673983.7
  99,  75570.64  , 81197.62  , 1.4971506e+08 , 0.9543457  , 547822.06
 100,  89257.69  , 82003.625 , 1.4059038e+08 , 0.9547608  , 711167.6
 101,  72440.5   , 81047.31  , 1.3476214e+08 , 0.9527588  , 584528.8
 102,  75339.375 , 80476.516 , 1.2421817e+08 , 0.9512695  , 615953.25
 103,  79718.836 , 80400.75  , 1.1184802e+08 , 0.95207524 , 682785.9
 104,  81768.19  , 80537.49  , 1.008315e+08  , 0.9511963  , 583896.9
 105,  75412.33  , 80024.98  , 9.311241e+07  , 0.952124   , 555663.56
 106,  88856.42  , 80908.125 , 9.0820664e+07 , 0.9493164  , 672628.9
 107,  72326.28  , 80049.94  , 8.836692e+07  , 0.94670415 , 571235.9
 108,  72251.336 , 79270.08  , 8.5003864e+07 , 0.9438721  , 458809.38
 109,  75222.414 , 78865.31  , 7.7978e+07    , 0.9443115  , 461953.9
 110,  75325.266 , 78511.305 , 7.130807e+07  , 0.94218755 , 699837.2
 111,  87497.63  , 79409.94  , 7.144513e+07  , 0.94069827 , 690968.3
 112,  68200.66  , 78289.01  , 7.5608936e+07 , 0.9398926  , 624759.75
 113, 100373.45  , 80497.45  , 1.1194309e+08 , 0.938208   , 792137.7
 114,  77168.74  , 80164.58  , 1.0174601e+08 , 0.93796384 , 634122.3
 115,  96991.17  , 81847.234 , 1.1705349e+08 , 0.9381348  , 751954.44
 116,  77724.3   , 81434.94  , 1.0687802e+08 , 0.93806154 , 507858.94
 117,  63126.71  , 79604.12  , 1.26357416e+08, 0.9361328  , 445574.6
 118,  90248.66  , 80668.57  , 1.23919224e+08, 0.9377686  , 706672.0
 119,  83971.91  , 80998.91  , 1.1250938e+08 , 0.93581545 , 710501.5
 120,  79211.375 , 80820.16  , 1.0154601e+08 , 0.9354004  , 639743.4
 121,  92277.03  , 81965.84  , 1.0320481e+08 , 0.93459475 , 695178.5
 122,  70103.1   , 80779.57  , 1.05549544e+08, 0.9354737  , 573786.7
 123,  70207.5   , 79722.36  , 1.0505377e+08 , 0.9339355  , 526552.94
 124,  68586.84  , 78608.805 , 1.0570837e+08 , 0.9351562  , 504231.6
 125,  62998.297 , 77047.75  , 1.1706945e+08 , 0.9338379  , 484021.16
 126,  70498.31  , 76392.805 , 1.09223064e+08, 0.93344724 , 457195.84
 127,  67957.47  , 75549.27  , 1.04704696e+08, 0.9298584  , 488701.12
 128,  77282.8   , 75722.625 , 9.450469e+07  , 0.93061525 , 589480.7
 129,  63610.832 , 74511.445 , 9.825682e+07  , 0.9299072  , 362846.12
 130,  72355.16  , 74295.81  , 8.88496e+07   , 0.9299072  , 477624.75
