layer,eigen_index,occupation,fraction
top,0,2.22753994569,0.185628328807
top,1,1.38618759797,0.115515633164
top,2,1.29703319323,0.108086099436
top,3,1.25888092848,0.10490674404
top,4,1.18090076465,0.0984083970544
top,5,1.13471888458,0.0945599070481
top,6,1.02541156026,0.0854509633548
top,7,0.873586326134,0.0727988605112
top,8,0.809118180274,0.0674265150229
top,9,0.685009422491,0.0570841185409
top,10,0.528413761643,0.0440344801369
top,11,0.475468043187,0.0396223369322
top,12,0.311266044928,0.0259388370773
top,13,0.224428816809,0.0187024014008
top,14,0.186114889751,0.0155095741459
top,15,0.174853622057,0.0145711351714
top,16,0.168931329053,0.0140776107544
top,17,0.164150101323,0.0136791751103
top,18,0.126742052919,0.0105618377432
top,19,0.115106551119,0.00959221259323
top,20,0.107964549406,0.00899704578383
top,21,0.0995550173992,0.00829625144993
top,22,0.0900060468178,0.00750050390149
top,23,0.0801911071234,0.00668259226028
top,24,0.073232004582,0.0061026670485
top,25,0.0683276217233,0.00569396847694
top,26,0.0591747487228,0.00493122906024
top,27,0.0557409367072,0.00464507805894
top,28,0.0530860791534,0.00442383992945
top,29,0.045635757117,0.00380297975975
top,30,0.0437554627129,0.00364628855941
top,31,0.0418483869694,0.00348736558079
top,32,0.0384451105727,0.00320375921439
top,33,0.0359687588802,0.00299739657335
top,34,0.0342304723095,0.00285253935912
top,35,0.0279452386194,0.00232876988495
top,36,0.0222447741797,0.00185373118164
top,37,0.0193592472463,0.00161327060386
top,38,0.0172122675292,0.00143435562743
top,39,0.0135253842815,0.00112711535679
top,40,0.0108734091936,0.000906117432799
top,41,0.0101854358589,0.000848786321579
top,42,0.0088106883993,0.000734224033275
top,43,0.00795144850263,0.000662620708552
top,44,0.0067565683063,0.000563047358858
top,45,0.004271917788,0.000355993149
top,46,0.00303727122228,0.00025310593519
top,47,0.00244053987766,0.000203378323138
top,48,0.00136693822559,0.000113911518799
top,49,0.000721372964263,6.01144136886e-05
top,50,-0.000653834325112,-5.44861937593e-05
top,51,-0.00211066360478,-0.000175888633731
top,52,-0.00283346482195,-0.000236122068496
top,53,-0.00422362524335,-0.000351968770279
top,54,-0.00522336893389,-0.000435280744491
top,55,-0.00688270845408,-0.00057355903784
top,56,-0.0083270468836,-0.000693920573634
top,57,-0.0115498916006,-0.000962490966715
top,58,-0.0137099598812,-0.00114249665677
top,59,-0.015917913873,-0.00132649282275
top,60,-0.0164469906305,-0.00137058255254
top,61,-0.0198798967645,-0.00165665806371
top,62,-0.0212711065255,-0.00177259221046
top,63,-0.0238630265568,-0.0019885855464
top,64,-0.0247823091476,-0.00206519242896
top,65,-0.029339868686,-0.00244498905717
top,66,-0.037704133109,-0.00314201109242
top,67,-0.0445981129315,-0.00371650941096
top,68,-0.0495632064639,-0.00413026720533
top,69,-0.0588641494653,-0.00490534578878
top,70,-0.0619445092705,-0.0051620424392
top,71,-0.0726494947887,-0.00605412456572
top,72,-0.0843421696365,-0.00702851413637
top,73,-0.0968838146733,-0.00807365122278
top,74,-0.106373700021,-0.00886447500171
top,75,-0.136965474083,-0.0114137895069
top,76,-0.164033964043,-0.0136694970036
top,77,-0.21684429762,-0.018070358135
top,78,-0.321247988012,-0.0267706656677
top,79,-0.428819559892,-0.0357349633243
top,80,-0.98293601015,-0.0819113341792
bottom,0,2.46353615978,0.205294679981
bottom,1,0.994280051136,0.082856670928
bottom,2,0.966557891251,0.0805464909376
bottom,3,0.860084767743,0.0716737306452
bottom,4,0.809044064041,0.0674203386701
bottom,5,0.733112841337,0.0610927367781
bottom,6,0.677659228599,0.0564716023833
bottom,7,0.548162070105,0.0456801725087
bottom,8,0.531241917033,0.0442701597527
bottom,9,0.498275025728,0.0415229188107
bottom,10,0.393233733194,0.0327694777662
bottom,11,0.364036064367,0.0303363386973
bottom,12,0.353272636434,0.0294393863695
