layer,m1,m2,kx,ky,occupation
top,-4,-4,-2.89440501823,-2.89440501823,-0.00459097094634
top,-4,-3,-2.89440501823,-2.17080376367,0.0104867177488
top,-4,-2,-2.89440501823,-1.44720250912,0.00168525331471
top,-4,-1,-2.89440501823,-0.723601254558,0.016610248403
top,-4,0,-2.89440501823,0,0.0211740271004
top,-4,1,-2.89440501823,0.723601254558,0.0262264615457
top,-4,2,-2.89440501823,1.44720250912,0.00715997704025
top,-4,3,-2.89440501823,2.17080376367,0.00517729994096
top,-4,4,-2.89440501823,2.89440501823,-0.000187101288393
top,-3,-4,-2.17080376367,-2.89440501823,-6.20591395388e-05
top,-3,-3,-2.17080376367,-2.17080376367,0.0106829852315
top,-3,-2,-2.17080376367,-1.44720250912,0.0318640520026
top,-3,-1,-2.17080376367,-0.723601254558,0.0642708503973
top,-3,0,-2.17080376367,0,0.0949399969807
top,-3,1,-2.17080376367,0.723601254558,0.0782938878861
top,-3,2,-2.17080376367,1.44720250912,0.0447708034754
top,-3,3,-2.17080376367,2.17080376367,0.0056697249401
top,-3,4,-2.17080376367,2.89440501823,0.002690978245
top,-2,-4,-1.44720250912,-2.89440501823,0.0062379851037
top,-2,-3,-1.44720250912,-2.17080376367,0.0308869119144
top,-2,-2,-1.44720250912,-1.44720250912,0.10507771546
top,-2,-1,-1.44720250912,-0.723601254558,0.24294554055
top,-2,0,-1.44720250912,0,0.288918090766
top,-2,1,-1.44720250912,0.723601254558,0.246474674604
top,-2,2,-1.44720250912,1.44720250912,0.107627916084
top,-2,3,-1.44720250912,2.17080376367,0.0239205825281
top,-2,4,-1.44720250912,2.89440501823,0.0126575656304
top,-1,-4,-0.723601254558,-2.89440501823,0.0184545552685
top,-1,-3,-0.723601254558,-2.17080376367,0.0583973326021
top,-1,-2,-0.723601254558,-1.44720250912,0.238625249304
top,-1,-1,-0.723601254558,-0.723601254558,0.506171478221
top,-1,0,-0.723601254558,0,0.683469821361
top,-1,1,-0.723601254558,0.723601254558,0.470408130952
top,-1,2,-0.723601254558,1.44720250912,0.230050224272
top,-1,3,-0.723601254558,2.17080376367,0.0624463185326
top,-1,4,-0.723601254558,2.89440501823,0.022292081246
top,0,-4,0,-2.89440501823,0.0197183954823
top,0,-3,0,-2.17080376367,0.0858406163413
top,0,-2,0,-1.44720250912,0.296252978439
top,0,-1,0,-0.723601254558,0.647281881687
top,0,0,0,0,1.97658893717
top,0,1,0,0.723601254558,0.647281881687
top,0,2,0,1.44720250912,0.296252978439
top,0,3,0,2.17080376367,0.0858406163413
top,0,4,0,2.89440501823,0.0197183954823
top,1,-4,0.723601254558,-2.89440501823,0.022292081246
top,1,-3,0.723601254558,-2.17080376367,0.0624463185326
top,1,-2,0.723601254558,-1.44720250912,0.230050224272
top,1,-1,0.723601254558,-0.723601254558,0.470408130952
top,1,0,0.723601254558,0,0.683469821361
top,1,1,0.723601254558,0.723601254558,0.506171478221
top,1,2,0.723601254558,1.44720250912,0.238625249304
top,1,3,0.723601254558,2.17080376367,0.0583973326021
top,1,4,0.723601254558,2.89440501823,0.0184545552685
top,2,-4,1.44720250912,-2.89440501823,0.0126575656304
top,2,-3,1.44720250912,-2.17080376367,0.0239205825281
top,2,-2,1.44720250912,-1.44720250912,0.107627916084
top,2,-1,1.44720250912,-0.723601254558,0.246474674604
top,2,0,1.44720250912,0,0.288918090766
top,2,1,1.44720250912,0.723601254558,0.24294554055
top,2,2,1.44720250912,1.44720250912,0.10507771546
top,2,3,1.44720250912,2.17080376367,0.0308869119144
top,2,4,1.44720250912,2.89440501823,0.0062379851037
top,3,-4,2.17080376367,-2.89440501823,0.002690978245
top,3,-3,2.17080376367,-2.17080376367,0.0056697249401
top,3,-2,2.17080376367,-1.44720250912,0.0447708034754
top,3,-1,2.17080376367,-0.723601254558,0.0782938878861
top,3,0,2.17080376367,0,0.0949399969807
top,3,1,2.17080376367,0.723601254558,0.0642708503973
top,3,2,2.17080376367,1.44720250912,0.0318640520026
top,3,3,2.17080376367,2.17080376367,0.0106829852315
top,3,4,2.17080376367,2.89440501823,-6.20591395388e-05
top,4,-4,2.89440501823,-2.89440501823,-0.000187101288393
top,4,-3,2.89440501823,-2.17080376367,0.00517729994096
top,4,-2,2.89440501823,-1.44720250912,0.00715997704025
top,4,-1,2.89440501823,-0.723601254558,0.0262264615457
top,4,0,2.89440501823,0,0.0211740271004
top,4,1,2.89440501823,0.723601254558,0.016610248403
top,4,2,2.89440501823,1.44720250912,0.00168525331471
top,4,3,2.89440501823,2.17080376367,0.0104867177488
top,4,4,2.89440501823,2.89440501823,-0.00459097094634
bottom,-4,-4,-2.89440501823,-2.89440501823,0.00251190354883
bottom,-4,-3,-2.89440501823,-2.17080376367,0.00616856358423
bottom,-4,-2,-2.89440501823,-1.44720250912,0.00499593923393
bottom,-4,-1,-2.89440501823,-0.723601254558,0.0100061788524
bottom,-4,0,-2.89440501823,0,0.015872286108
bottom,-4,1,-2.89440501823,0.723601254558,0.0105854158591
bottom,-4,2,-2.89440501823,1.44720250912,0.00829281712376
bottom,-4,3,-2.89440501823,2.17080376367,-0.000370518570016
bottom,-4,4,-2.89440501823,2.89440501823,0.00187760623183
bottom,-3,-4,-2.17080376367,-2.89440501823,0.0135080585701
bottom,-3,-3,-2.17080376367,-2.17080376367,0.00722513827566
bottom,-3,-2,-2.17080376367,-1.44720250912,0.0270908880962
