step,energy,ewmean,ewvar,pmove,locstd
0,25748.367,25748.367,0.0,0.99465334,444156.62
1,16955.979,24869.129,6.957549e+06,0.99482423,236472.44
2,23753.674,24757.584,6.3737755e+06,0.9947998,428555.34
3,18482.14,24130.04,9.280705e+06,0.995166,180033.28
4,20566.672,23773.703,9.495417e+06,0.995166,252700.17
5,31314.133,24527.746,1.3663102e+07,0.9954834,445059.84
6,44752.258,26550.197,4.9109572e+07,0.99497074,650863.5
7,27383.07,26633.484,4.4261044e+07,0.994043,360611.94
8,17487.508,25718.887,4.7363336e+07,0.9950684,265966.62
9,9163.706,24063.37,6.729366e+07,0.99428713,65393.836
10,26675.832,24324.615,6.1178544e+07,0.99448246,399774.38
11,11619.967,23054.15,6.9587416e+07,0.9946045,93732.54
12,10303.096,21779.045,7.726171e+07,0.9949951,72811.8
13,17557.174,21356.857,7.113971e+07,0.9941406,186133.61
14,12410.187,20462.19,7.12296e+07,0.9946045,102769.67
15,22350.602,20651.031,6.4427584e+07,0.9942383,379441.2
16,33975.613,21983.49,7.396382e+07,0.99396974,594962.56
17,21205.436,21905.686,6.6621924e+07,0.99448246,297748.7
18,25010.68,22216.186,6.082742e+07,0.9935059,347098.3
19,20375.121,22032.078,5.5049732e+07,0.9946045,291495.94
20,16158.227,21444.693,5.2649948e+07,0.99438477,164686.62
21,13701.055,20670.33,5.2781708e+07,0.9935303,124948.5
22,13748.474,19978.145,5.1815628e+07,0.9935791,146245.69
23,18709.12,19851.242,4.6779004e+07,0.9935303,217306.83
24,13476.564,19213.773,4.5758388e+07,0.9933106,149991.53
25,16155.444,18907.941,4.202435e+07,0.993042,211874.06
26,28650.902,19882.238,4.636519e+07,0.9935059,389063.66
27,31258.062,21019.82,5.337551e+07,0.99294436,544106.56
28,18706.055,20788.443,4.8519776e+07,0.9929932,285834.9
29,16688.445,20378.443,4.5180696e+07,0.99262697,169361.55
30,24734.562,20814.055,4.2370444e+07,0.9919678,389851.22
31,31542.395,21886.889,4.849215e+07,0.99208987,399694.72
32,36501.32,23348.332,6.286528e+07,0.9912354,610564.2
33,24104.125,23423.912,5.6630164e+07,0.9901611,376769.3
34,18180.996,22899.621,5.344108e+07,0.99021,202041.75
35,26940.096,23303.668,4.956626e+07,0.98945314,458981.72
36,30762.186,24049.52,4.9616284e+07,0.9891602,334517.78
37,27816.777,24426.246,4.5931956e+07,0.98823243,293755.44
38,14570.391,23440.66,5.008117e+07,0.98823243,150629.3
39,14401.859,22536.78,5.2426044e+07,0.98876953,148767.25
40,21606.965,22443.797,4.726125e+07,0.986792,252361.78
41,36215.04,23820.922,5.9603364e+07,0.98544925,521534.84
42,20819.277,23520.758,5.4453916e+07,0.9841065,220980.17
43,30838.305,24252.512,5.3827708e+07,0.98581547,527457.7
44,15203.87,23347.648,5.5813948e+07,0.9857178,148907.38
45,11250.69,22137.953,6.3402824e+07,0.9854981,95204.24
46,28970.271,22821.186,6.126379e+07,0.98620605,335180.7
