layer,m1,m2,kx,ky,occupation
top,-4,-4,-4.13486431176,-4.13486431176,0.0124143181252
top,-4,-3,-4.13486431176,-3.10114823382,0.0100060133172
top,-4,-2,-4.13486431176,-2.06743215588,0.022307803735
top,-4,-1,-4.13486431176,-1.03371607794,0.0329715777234
top,-4,0,-4.13486431176,0,0.0397712013667
top,-4,1,-4.13486431176,1.03371607794,0.0415555522058
top,-4,2,-4.13486431176,2.06743215588,0.00815564563734
top,-4,3,-4.13486431176,3.10114823382,0.0152431316324
top,-4,4,-4.13486431176,4.13486431176,0.00469420879253
top,-3,-4,-3.10114823382,-4.13486431176,0.00564260541267
top,-3,-3,-3.10114823382,-3.10114823382,0.021279326776
top,-3,-2,-3.10114823382,-2.06743215588,0.0554162894351
top,-3,-1,-3.10114823382,-1.03371607794,0.0930913442893
top,-3,0,-3.10114823382,0,0.136219318454
top,-3,1,-3.10114823382,1.03371607794,0.0982418677051
top,-3,2,-3.10114823382,2.06743215588,0.0642169782295
top,-3,3,-3.10114823382,3.10114823382,0.0257756067187
top,-3,4,-3.10114823382,4.13486431176,0.00935531200871
top,-2,-4,-2.06743215588,-4.13486431176,0.0213821232925
top,-2,-3,-2.06743215588,-3.10114823382,0.0464918610515
top,-2,-2,-2.06743215588,-2.06743215588,0.139548043645
top,-2,-1,-2.06743215588,-1.03371607794,0.259019057916
top,-2,0,-2.06743215588,0,0.323059094736
top,-2,1,-2.06743215588,1.03371607794,0.257385530886
top,-2,2,-2.06743215588,2.06743215588,0.150049269868
top,-2,3,-2.06743215588,3.10114823382,0.05816615046
top,-2,4,-2.06743215588,4.13486431176,0.0133497798614
top,-1,-4,-1.03371607794,-4.13486431176,0.0237325668112
top,-1,-3,-1.03371607794,-3.10114823382,0.0911527617772
top,-1,-2,-1.03371607794,-2.06743215588,0.26172823263
top,-1,-1,-1.03371607794,-1.03371607794,0.458151590425
top,-1,0,-1.03371607794,0,0.595259778126
top,-1,1,-1.03371607794,1.03371607794,0.463359906228
top,-1,2,-1.03371607794,2.06743215588,0.249788477019
top,-1,3,-1.03371607794,3.10114823382,0.0867305337876
top,-1,4,-1.03371607794,4.13486431176,0.0283577907803
top,0,-4,0,-4.13486431176,0.0324805693809
top,0,-3,0,-3.10114823382,0.114493648521
top,0,-2,0,-2.06743215588,0.285376189604
top,0,-1,0,-1.03371607794,0.566414702911
top,0,0,0,0,1.0833777301
top,0,1,0,1.03371607794,0.566414702911
top,0,2,0,2.06743215588,0.285376189604
top,0,3,0,3.10114823382,0.114493648521
top,0,4,0,4.13486431176,0.0324805693809
top,1,-4,1.03371607794,-4.13486431176,0.0283577907803
top,1,-3,1.03371607794,-3.10114823382,0.0867305337876
top,1,-2,1.03371607794,-2.06743215588,0.249788477019
top,1,-1,1.03371607794,-1.03371607794,0.463359906228
top,1,0,1.03371607794,0,0.595259778126
top,1,1,1.03371607794,1.03371607794,0.458151590425
top,1,2,1.03371607794,2.06743215588,0.26172823263
top,1,3,1.03371607794,3.10114823382,0.0911527617772
top,1,4,1.03371607794,4.13486431176,0.0237325668112
top,2,-4,2.06743215588,-4.13486431176,0.0133497798614
top,2,-3,2.06743215588,-3.10114823382,0.05816615046
top,2,-2,2.06743215588,-2.06743215588,0.150049269868
top,2,-1,2.06743215588,-1.03371607794,0.257385530886
top,2,0,2.06743215588,0,0.323059094736
top,2,1,2.06743215588,1.03371607794,0.259019057916
top,2,2,2.06743215588,2.06743215588,0.139548043645
top,2,3,2.06743215588,3.10114823382,0.0464918610515
top,2,4,2.06743215588,4.13486431176,0.0213821232925
top,3,-4,3.10114823382,-4.13486431176,0.00935531200871
top,3,-3,3.10114823382,-3.10114823382,0.0257756067187
top,3,-2,3.10114823382,-2.06743215588,0.0642169782295
top,3,-1,3.10114823382,-1.03371607794,0.0982418677051
top,3,0,3.10114823382,0,0.136219318454
top,3,1,3.10114823382,1.03371607794,0.0930913442893
top,3,2,3.10114823382,2.06743215588,0.0554162894351
top,3,3,3.10114823382,3.10114823382,0.021279326776
top,3,4,3.10114823382,4.13486431176,0.00564260541267
top,4,-4,4.13486431176,-4.13486431176,0.00469420879253
top,4,-3,4.13486431176,-3.10114823382,0.0152431316324
top,4,-2,4.13486431176,-2.06743215588,0.00815564563734
top,4,-1,4.13486431176,-1.03371607794,0.0415555522058
