step,energy,ewmean,ewvar,pmove,locstd
0,53320.43,53320.43,0.0,0.99333495,620291.56
1,51785.992,53166.984,211904.88,0.99152833,526005.2
2,45794.79,52429.766,5.082148e+06,0.9914551,455357.72
3,29975.896,50184.38,4.994979e+07,0.99248046,441385.25
4,39910.598,49157.0,5.4454364e+07,0.9932129,316756.6
5,31707.92,47412.094,7.641126e+07,0.992334,270091.2
6,46867.945,47357.68,6.879678e+07,0.9929932,561584.6
7,46686.875,47290.598,6.1957604e+07,0.9928223,589468.3
8,37678.582,46329.395,6.4077016e+07,0.9927735,347230.97
9,47481.297,46444.586,5.7788732e+07,0.99284667,483739.66
10,41105.1,45910.637,5.4575764e+07,0.9926025,397815.72
11,41694.125,45488.984,5.0718292e+07,0.9933106,434067.53
12,53394.91,46279.58,5.127179e+07,0.99252933,491434.56
13,29160.332,44567.652,7.252079e+07,0.9918457,264788.6
14,45850.047,44695.89,6.541672e+07,0.9926758,517557.4
15,33315.22,43557.824,7.0531816e+07,0.9925049,259688.45
16,60014.633,45203.504,8.785302e+07,0.9932373,575947.56
17,49100.406,45593.195,8.043445e+07,0.9926514,610956.8
18,47147.312,45748.605,7.2608376e+07,0.9924561,459338.94
19,50654.61,46239.207,6.7513736e+07,0.99208987,506300.06
20,45452.92,46160.58,6.0818004e+07,0.9926025,496808.66
21,51315.047,46676.023,5.7127372e+07,0.9921387,571779.5
22,58774.188,47885.84,6.4587532e+07,0.99226075,654498.4
23,43826.074,47479.863,5.961213e+07,0.992334,479325.47
24,28554.848,45587.363,8.588498e+07,0.99248046,228929.11
25,33572.17,44385.844,9.028931e+07,0.9920654,314844.6
26,34604.625,43407.723,8.987088e+07,0.99257815,262709.06
27,44989.492,43565.9,8.110897e+07,0.992334,403432.22
28,38871.35,43096.445,7.498156e+07,0.9927246,378880.0
29,50803.426,43867.145,7.2829176e+07,0.9931885,556375.6
30,64157.99,45896.23,1.02600904e+08,0.9929932,709517.7
31,34270.918,44733.7,1.0450412e+08,0.9913086,308156.2
32,36780.79,43938.406,9.97461e+07,0.9922852,369270.84
33,23471.55,41891.72,1.2747178e+08,0.9925537,206716.95
34,44491.043,42151.652,1.1533268e+08,0.993457,454621.44
35,58240.07,43760.492,1.2709476e+08,0.9924561,624700.44
36,32217.414,42606.184,1.2637712e+08,0.9920654,384516.72
37,35811.3,41926.695,1.17894744e+08,0.9926758,234789.83
38,50487.453,42782.77,1.1270106e+08,0.9927735,544193.3
39,48448.945,43349.387,1.0432045e+08,0.9930908,531496.3
40,51712.92,44185.742,1.00183784e+08,0.99316406,572359.44
41,30528.447,42820.01,1.0695235e+08,0.99226075,211394.86
42,39551.953,42493.207,9.721834e+07,0.99211425,386426.22
43,56906.656,43934.55,1.0619378e+08,0.9933594,542166.3
44,52591.74,44800.27,1.0231962e+08,0.9918457,579709.94
45,44111.188,44731.36,9.213038e+07,0.9911377,508365.53
46,57683.53,46026.58,9.8015624e+07,0.99172366,675523.6
47,44685.72,45892.492,8.837587e+07,0.9904785,561910.0
48,59876.41,47290.883,9.713778e+07,0.98964846,666589.75
49,57442.113,48306.008,9.669827e+07,0.9890137,609798.9
50,55763.117,49051.72,9.203321e+07,0.9894287,678295.56
51,54500.492,49596.598,8.55019e+07,0.9901123,612951.94
52,68533.9,51490.33,1.0922763e+08,0.9903809,687395.2
53,38954.26,50236.723,1.1244863e+08,0.9904297,285502.28
54,56466.15,50859.664,1.0469629e+08,0.99052733,589608.1
55,47150.645,50488.76,9.546477e+07,0.9910156,531204.94
56,32999.844,48739.87,1.1344589e+08,0.99013674,389465.38
57,55084.953,49374.38,1.057247e+08,0.9910156,570285.3
58,38479.75,48284.914,1.058346e+08,0.9914795,330663.8
59,59182.863,49374.71,1.0594002e+08,0.99118656,497720.47
60,38377.62,48275.0,1.0623025e+08,0.99104005,278434.12
61,22515.643,45699.062,1.5532622e+08,0.990918,165190.39
62,43937.586,45522.914,1.4007285e+08,0.990625,412528.34
63,57325.555,46703.18,1.3860277e+08,0.9911133,679896.25
64,53557.348,47388.598,1.2897066e+08,0.990625,594614.06
