layer,eigen_index,occupation,fraction
top,0,1.74214173664,0.145178478053
top,1,1.22541441799,0.102117868166
top,2,1.04694387248,0.0872453227066
top,3,0.99518548804,0.0829321240033
top,4,0.919203973938,0.0766003311615
top,5,0.747742437667,0.0623118698056
top,6,0.698162409083,0.0581802007569
top,7,0.638634982129,0.0532195818441
top,8,0.547773934751,0.0456478278959
top,9,0.491647913121,0.0409706594267
top,10,0.383786034829,0.0319821695691
top,11,0.347279853339,0.0289399877782
top,12,0.320349798741,0.0266958165617
top,13,0.236869274488,0.0197391062074
top,14,0.226001259457,0.018833438288
top,15,0.209762466347,0.0174802055289
top,16,0.203629755635,0.0169691463029
top,17,0.177153207843,0.0147627673203
top,18,0.169303657751,0.0141086381459
top,19,0.138342383898,0.0115285319915
top,20,0.135012692029,0.0112510576691
top,21,0.131097823048,0.0109248185873
top,22,0.112391370643,0.00936594755355
top,23,0.104735026184,0.0087279188487
top,24,0.101170604526,0.00843088371052
top,25,0.0873036922595,0.00727530768829
top,26,0.0845220464533,0.00704350387111
top,27,0.0741355664798,0.00617796387331
top,28,0.0641482961972,0.00534569134977
top,29,0.061626497298,0.0051355414415
top,30,0.0596992152315,0.00497493460262
top,31,0.0554751616576,0.00462293013814
top,32,0.047231951144,0.00393599592867
top,33,0.0424306754768,0.00353588962307
top,34,0.037793933402,0.00314949445017
top,35,0.0307999017915,0.00256665848263
top,36,0.0301434147302,0.00251195122752
top,37,0.0278473322228,0.00232061101857
top,38,0.0256756101889,0.00213963418241
top,39,0.0235563502658,0.00196302918882
top,40,0.0215078227173,0.00179231855977
top,41,0.0168409764484,0.00140341470404
top,42,0.0151620830949,0.00126350692458
top,43,0.0133249900089,0.00111041583408
top,44,0.0123146846237,0.00102622371864
top,45,0.0105133193945,0.00087610994954
top,46,0.00971698948004,0.000809749123336
top,47,0.00756931447518,0.000630776206265
top,48,0.00597657341512,0.000498047784593
top,49,0.00550236230084,0.000458530191737
top,50,0.0038697834297,0.000322481952475
top,51,0.00298101190295,0.000248417658579
top,52,0.00252920075539,0.000210766729616
top,53,0.00118858251894,9.90485432451e-05
top,54,-0.000842264556018,-7.01887130015e-05
top,55,-0.00104131898727,-8.67765822723e-05
top,56,-0.00168486895437,-0.000140405746197
top,57,-0.00338237103692,-0.000281864253076
top,58,-0.00581431260591,-0.000484526050493
top,59,-0.005931950918,-0.000494329243166
top,60,-0.00853844324259,-0.000711536936883
top,61,-0.0100207408864,-0.000835061740536
top,62,-0.0109884107487,-0.000915700895728
top,63,-0.0133685396755,-0.00111404497296
top,64,-0.0139597737927,-0.00116331448272
top,65,-0.0154558220265,-0.00128798516888
top,66,-0.022153026447,-0.00184608553725
top,67,-0.0256605965261,-0.00213838304384
top,68,-0.0272498281772,-0.00227081901477
top,69,-0.0296081040619,-0.00246734200516
top,70,-0.0392108213885,-0.00326756844904
top,71,-0.0444938586093,-0.00370782155078
top,72,-0.0641314907227,-0.00534429089356
top,73,-0.0799648391292,-0.0066637365941
top,74,-0.0840980766425,-0.00700817305354
top,75,-0.106271120704,-0.00885592672532
top,76,-0.121401547438,-0.0101167956198
top,77,-0.13162754242,-0.0109689618683
top,78,-0.143461636425,-0.0119551363688
top,79,-0.18680343816,-0.01556695318
top,80,-0.425434478335,-0.0354528731946
bottom,0,1.86971217039,0.155809347533
bottom,1,1.31602216515,0.109668513762
bottom,2,1.15637680167,0.0963647334726
bottom,3,1.09604990082,0.0913374917354
bottom,4,1.02760116294,0.0856334302448
bottom,5,1.02025649068,0.085021374223
bottom,6,0.768273351422,0.0640227792852
bottom,7,0.748038370378,0.0623365308648
bottom,8,0.747430327262,0.0622858606052
bottom,9,0.64707585353,0.0539229877941
bottom,10,0.632446315849,0.0527038596541
bottom,11,0.503789487816,0.041982457318
bottom,12,0.231857834526,0.0193214862105
bottom,13,0.194585381393,0.0162154484494
bottom,14,0.180110706405,0.0150092255338
bottom,15,0.174800378031,0.0145666981692
bottom,16,0.155415503201,0.0129512919334
bottom,17,0.132408136091,0.0110340113409
bottom,18,0.125881231062,0.0104901025885
