step,energy,ewmean,ewvar,pmove,locstd
0,1119.8835,1119.8835,0.0,0.9980469,15242.085
1,1345.0363,1142.3988,4562.437,0.99768066,17973.93
2,951.3833,1123.2972,7390.0156,0.9974365,13832.732
3,1104.2911,1121.3966,6683.5244,0.99785155,15888.302
4,930.22125,1102.279,9304.493,0.9977539,8024.688
5,3714.805,1363.5316,622650.3,0.9973389,97124.57
6,1118.7207,1339.0505,565779.2,0.9968018,15331.173
7,3740.7236,1579.2179,1.02832425e+06,0.9972412,132851.72
8,1546.312,1575.9272,925589.25,0.9971924,26259.012
9,8042.829,2222.6174,4.596904e+06,0.9963379,171541.1
10,13054.193,3305.775,1.4696287e+07,0.9963135,376612.66
11,2054.4722,3180.6445,1.3367576e+07,0.99694824,36927.92
12,5275.5015,3390.1301,1.2425777e+07,0.9970215,126346.19
13,1552.4886,3206.366,1.1487123e+07,0.9963623,30404.385
14,2007.1455,3086.4438,1.0467842e+07,0.9966553,51336.258
15,9056.499,3683.4495,1.2628798e+07,0.9967529,322276.3
16,3521.6758,3667.272,1.1368273e+07,0.99660647,85129.586
17,1338.0613,3434.3508,1.0719715e+07,0.9968262,16283.295
18,1192.6918,3210.1848,1.0099997e+07,0.99672854,13080.333
19,1351.1099,3024.2773,9.401051e+06,0.99731445,18426.438
20,836.44604,2805.4941,8.891741e+06,0.9975098,8698.836
21,7047.8066,3229.7253,9.622316e+06,0.9968262,203711.6
22,1538.6061,3060.6135,8.917473e+06,0.99660647,24112.512
23,2577.4077,3012.293,8.0467395e+06,0.9966797,91238.984
24,747.9563,2785.8594,7.7035155e+06,0.9968262,9550.587
25,3898.6929,2897.1428,7.04462e+06,0.9966553,87321.41
26,3594.4663,2966.8752,6.383921e+06,0.9968994,55601.816
27,2405.0657,2910.6943,5.7739355e+06,0.9967041,56325.508
28,7972.8203,3416.907,7.5028025e+06,0.9972901,277834.03
29,1531.616,3228.378,7.072411e+06,0.9972168,16090.669
30,3706.3706,3276.1772,6.3857325e+06,0.996875,100796.336
31,7291.4863,3677.7083,7.1982025e+06,0.9972412,211110.94
32,6457.131,3955.6504,7.173649e+06,0.9968506,183761.56
33,2156.4575,3775.7312,6.7476225e+06,0.9959473,46878.258
34,1387.5576,3536.9138,6.586164e+06,0.9959961,22052.33
35,1223.022,3305.5247,6.409416e+06,0.9956299,18095.48
36,2558.2722,3230.7993,5.818729e+06,0.99614257,28796.742
37,1712.2417,3078.9436,5.4443975e+06,0.99533695,29400.744
38,1979.2515,2968.9744,5.008797e+06,0.99626464,30765.586
39,7747.5547,3446.8323,6.563052e+06,0.9952637,258536.27
40,2370.3403,3339.183,6.011042e+06,0.99538577,36118.234
41,3165.9634,3321.861,5.412638e+06,0.995752,108386.055
42,4192.6895,3408.9438,4.9396245e+06,0.9947266,98845.195
43,1606.5771,3228.7073,4.738029e+06,0.9958496,25865.967
44,4374.8584,3343.3223,4.3824555e+06,0.9956787,147518.66
45,1205.7307,3129.563,4.3554465e+06,0.99560547,12746.43
46,4880.8994,3304.6965,4.195948e+06,0.99538577,73864.76
47,4496.544,3423.8813,3.904198e+06,0.99577636,118148.1
48,2904.3545,3371.9287,3.5380698e+06,0.99541014,65544.86
49,1954.5723,3230.193,3.3650638e+06,0.99592286,30356.555
50,1946.4736,3101.8213,3.1768715e+06,0.9963379,33672.992
51,11435.737,3935.213,9.110058e+06,0.9956787,322824.72
52,1235.5135,3665.243,8.855006e+06,0.99550784,14829.414
53,4634.303,3762.149,8.0540225e+06,0.9952149,164867.4
54,1750.0814,3560.9421,7.6129775e+06,0.995166,25611.67
55,7875.7837,3992.4263,8.527287e+06,0.99484867,282010.12
56,795.6136,3672.745,8.594323e+06,0.99541014,8041.1064
57,1268.2378,3432.2944,8.25524e+06,0.9952881,14662.771
58,5599.0483,3648.9697,7.8522495e+06,0.9952149,127955.195
59,1938.6365,3477.9365,7.330296e+06,0.99519044,39878.33
60,3925.13,3522.6558,6.6152645e+06,0.9944336,106589.01
61,1500.5353,3320.4436,6.321745e+06,0.994458,20615.078
62,5058.4316,3494.2424,5.9614245e+06,0.994751,136599.11
63,3778.8374,3522.702,5.3725715e+06,0.99450684,100276.74
64,2184.1914,3388.8508,4.996559e+06,0.994043,31628.799
65,2511.1406,3301.0798,4.5662365e+06,0.9944092,60884.113
66,938.813,3064.853,4.61184e+06,0.99428713,8380.012
67,1018.5762,2860.2253,4.5275085e+06,0.9949951,18598.604
68,3793.0005,2953.503,4.1530638e+06,0.99450684,110671.18
69,1294.5365,2787.6062,3.9854522e+06,0.99519044,16517.51
70,3742.5261,2883.0981,3.6689755e+06,0.9947266,68908.164
71,5602.963,3155.0847,3.9678678e+06,0.9952881,122482.9
72,6913.4565,3530.9219,4.842363e+06,0.9940674,226982.55
73,2220.6953,3399.8992,4.512629e+06,0.9953613,38404.188
74,1559.079,3215.8171,4.366342e+06,0.99550784,26371.94
75,2875.3005,3181.7654,3.9401432e+06,0.9945801,50381.996
76,1815.5408,3045.1428,3.7141202e+06,0.99582523,25839.371
77,2285.9146,2969.22,3.3945865e+06,0.9947754,40451.49
78,4116.023,3083.9004,3.173492e+06,0.99538577,140228.23
79,3692.015,3144.712,2.889425e+06,0.99523926,94145.33
80,2575.3816,3087.7788,2.6296548e+06,0.99555665,54184.254
81,12285.1,4007.5107,9.979852e+06,0.99550784,351525.38
82,6044.206,4211.18,9.355198e+06,0.995459,185097.7
83,676.9178,3857.754,9.543869e+06,0.9948975,6456.717
84,1468.3319,3618.8118,9.103322e+06,0.99577636,22623.758
85,775.74084,3334.5046,8.920464e+06,0.9958496,6760.5
86,3212.611,3322.3152,8.029755e+06,0.9956299,64608.945
87,3062.0688,3296.2905,7.232875e+06,0.99624026,77008.64
88,2890.9097,3255.7524,6.5243775e+06,0.99609375,74046.37
89,5987.935,3528.9707,6.5437735e+06,0.9959717,168735.0
90,2444.0652,3420.4802,5.995328e+06,0.9958496,41314.51
91,1373.3923,3215.7715,5.7729465e+06,0.99538577,17392.229
92,3854.2568,3279.62,5.2323415e+06,0.99587405,108880.66
93,1843.3008,3135.9883,4.8947785e+06,0.99570316,35895.836
94,2593.979,3081.7874,4.4317405e+06,0.99619144,81641.73
95,4418.515,3215.4602,4.149382e+06,0.99582523,96375.06
96,2775.1423,3171.4285,3.751893e+06,0.99624026,48136.25
97,4829.8687,3337.2725,3.6242418e+06,0.9952637,147892.02
98,16731.21,4676.6665,1.9407602e+07,0.99533695,396320.3
99,1972.929,4406.293,1.812476e+07,0.9952149,39102.406
100,1886.4023,4154.3037,1.688377e+07,0.99560547,28011.46
101,4285.782,4167.4517,1.5196948e+07,0.9949951,89674.86
102,2845.235,4035.23,1.3834596e+07,0.99484867,61267.773
103,2490.1694,3880.7239,1.2665985e+07,0.995166,65160.105
104,3494.9531,3842.1467,1.141278e+07,0.9952637,85516.35
105,660.38477,3523.9705,1.1182627e+07,0.9954346,5581.46
106,629.7606,3234.5496,1.0818245e+07,0.99470216,5271.973
107,15364.117,4447.5063,2.2977796e+07,0.9942139,429272.44
108,4819.7637,4484.732,2.0692488e+07,0.9936768,114662.125
109,2605.6484,4296.8237,1.8941026e+07,0.9944336,31401.217
110,11387.807,5005.922,2.1572306e+07,0.9951172,238762.25
111,985.44775,4603.8745,2.0869854e+07,0.99396974,13756.496
112,9562.18,5099.705,2.0995498e+07,0.9940674,289209.66
113,1618.1128,4751.546,1.998688e+07,0.9932373,15462.143
114,3141.3135,4590.5225,1.8221548e+07,0.99343264,75023.99
115,3711.3213,4502.6025,1.6468963e+07,0.9921875,96089.08
116,718.8155,4124.2236,1.6110601e+07,0.9924561,7999.294
117,2382.6353,3950.0647,1.4772522e+07,0.9921387,44297.027
118,4190.4355,3974.1018,1.330047e+07,0.9923828,122429.65
119,1976.8025,3774.3718,1.2329451e+07,0.99204105,47457.035
120,2529.687,3649.9033,1.1235937e+07,0.99208987,44937.93
121,4632.3906,3748.152,1.0199218e+07,0.99226075,154321.6
122,2996.5432,3672.9912,9.230139e+06,0.9914551,75660.94
123,5744.3765,3880.1296,8.693282e+06,0.9913818,131043.914
124,1070.5239,3599.169,8.534403e+06,0.9918457,13380.428
125,3931.4326,3632.3953,7.6908985e+06,0.99104005,134873.7
126,7972.96,4066.4517,8.617453e+06,0.9907715,251596.31
127,683.7312,3728.1797,8.785559e+06,0.9912354,5546.4707
128,651.21466,3420.4832,8.759097e+06,0.9917725,4870.4756
129,4810.436,3559.4785,8.0570645e+06,0.9906006,167049.89
130,7284.21,3931.9517,8.499984e+06,0.9912354,267780.9
131,2943.2444,3833.081,7.737964e+06,0.9906006,45124.945
132,1674.1445,3617.1875,7.383658e+06,0.9906983,21967.24
133,2383.8923,3493.858,6.7821835e+06,0.9901611,46476.15
134,1581.5974,3302.6318,6.4330715e+06,0.9903809,21330.979
135,2473.29,3219.6978,5.851667e+06,0.9896973,62054.01
