layer,eigen_index,occupation,fraction
top,0,3.61610283501,0.301341902917
top,1,1.34833252285,0.112361043571
top,2,1.07192981865,0.0893274848871
top,3,0.933182190189,0.0777651825158
top,4,0.876516364051,0.0730430303376
top,5,0.748582471083,0.0623818725902
top,6,0.573803327889,0.0478169439908
top,7,0.550295399295,0.0458579499413
top,8,0.442791154785,0.0368992628987
top,9,0.37011819563,0.0308431829691
top,10,0.315860624715,0.0263217187263
top,11,0.266324866686,0.0221937388905
top,12,0.22857228294,0.019047690245
top,13,0.189634390583,0.0158028658819
top,14,0.173349225656,0.0144457688046
top,15,0.154343933397,0.0128619944497
top,16,0.14416973334,0.012014144445
top,17,0.12051202497,0.0100426687475
top,18,0.0953614956032,0.00794679130027
top,19,0.0815099910558,0.00679249925465
top,20,0.062482528553,0.00520687737942
top,21,0.057633849039,0.00480282075325
top,22,0.0517949400758,0.00431624500632
top,23,0.0417821514625,0.00348184595521
top,24,0.0336235384156,0.00280196153463
top,25,0.0304822866794,0.00254019055662
top,26,0.0248278437659,0.00206898698049
top,27,0.023218223553,0.00193485196275
top,28,0.0173665033869,0.00144720861558
top,29,0.0141585729347,0.00117988107789
top,30,0.00565644386833,0.000471370322361
top,31,0.00202111792729,0.000168426493941
top,32,0.000430334860118,3.58612383432e-05
top,33,-0.00100568515409,-8.3807096174e-05
top,34,-0.00389351803421,-0.000324459836185
top,35,-0.00824821052011,-0.000687350876676
top,36,-0.0142837633831,-0.00119031361525
top,37,-0.0163014657009,-0.00135845547507
top,38,-0.0189275711053,-0.0015772975921
top,39,-0.0296160424877,-0.00246800354064
top,40,-0.0397020546579,-0.00330850455482
top,41,-0.0488766166219,-0.00407305138516
top,42,-0.0557801541598,-0.00464834617998
top,43,-0.0662583505755,-0.00552152921463
top,44,-0.0752371599782,-0.00626976333152
top,45,-0.0965551821168,-0.0080462651764
top,46,-0.119031342814,-0.00991927856784
top,47,-0.168802172202,-0.0140668476835
top,48,-0.463277147211,-0.0386064289343
bottom,0,3.9052574627,0.325438121892
bottom,1,1.25521774194,0.104601478495
bottom,2,1.08539953993,0.0904499616607
bottom,3,0.774776028792,0.064564669066
bottom,4,0.685634544464,0.0571362120386
bottom,5,0.656845441264,0.0547371201053
bottom,6,0.590707567663,0.0492256306386
bottom,7,0.504819050976,0.042068254248
bottom,8,0.448148591423,0.0373457159519
bottom,9,0.340599765968,0.0283833138306
bottom,10,0.319425241486,0.0266187701238
bottom,11,0.28961096759,0.0241342472992
bottom,12,0.267971678839,0.0223309732366
bottom,13,0.216638075147,0.0180531729289
bottom,14,0.201156612158,0.0167630510131
bottom,15,0.168937541737,0.0140781284781
bottom,16,0.141643554149,0.0118036295124
bottom,17,0.140796100369,0.0117330083641
bottom,18,0.107992120672,0.00899934338929
bottom,19,0.0953256448987,0.00794380374156
bottom,20,0.0854813016141,0.00712344180118
bottom,21,0.0720771803123,0.00600643169269
bottom,22,0.068189315785,0.00568244298208
bottom,23,0.0628675635775,0.00523896363146
bottom,24,0.0438761780069,0.00365634816724
bottom,25,0.0372286087925,0.00310238406604
bottom,26,0.0321723722709,0.00268103102257
bottom,27,0.0297834426905,0.00248195355754
bottom,28,0.0255470268912,0.0021289189076
bottom,29,0.0152707802895,0.00127256502412
bottom,30,0.0151084130101,0.00125903441751
bottom,31,0.0115854777677,0.000965456480639
bottom,32,0.00314801233576,0.000262334361314
bottom,33,-0.000382559904502,-3.18799920418e-05
bottom,34,-0.00308165123653,-0.000256804269711
bottom,35,-0.00628374454874,-0.000523645379062
bottom,36,-0.0148788090908,-0.00123990075756
bottom,37,-0.0177978356137,-0.00148315296781
bottom,38,-0.0211117263033,-0.00175931052527
bottom,39,-0.0242006211267,-0.00201671842723
bottom,40,-0.0301994600029,-0.00251662166691
bottom,41,-0.039785127956,-0.00331542732966
bottom,42,-0.0497081677484,-0.00414234731236
bottom,43,-0.0658887238271,-0.00549072698559
bottom,44,-0.0771107709916,-0.00642589758263
bottom,45,-0.0921995420335,-0.00768329516946
bottom,46,-0.124568856602,-0.0103807380501
bottom,47,-0.159067055044,-0.0132555879203
bottom,48,-0.474688970155,-0.0395574141796
