step,energy,ewmean,ewvar,pmove,locstd
0,19288.947,19288.947,0.0,0.99663085,203153.28
1,20885.758,19448.629,229482.36,0.9965698,356594.66
2,23369.676,19840.734,1.5902489e+06,0.99644774,272218.7
3,12696.419,19126.303,6.024936e+06,0.9961792,136268.84
4,22647.24,19478.396,6.538172e+06,0.99641114,353739.4
5,32170.324,20747.59,2.0382008e+07,0.99641114,412320.1
6,19021.549,20574.986,1.8611936e+07,0.99664307,238574.44
7,16246.177,20142.105,1.8437216e+07,0.99681395,144793.66
8,20077.453,20135.64,1.659387e+07,0.9966553,219678.95
9,33496.098,21471.686,3.0999646e+07,0.9964356,507118.1
10,24143.867,21738.904,2.8542332e+07,0.9972046,335931.78
11,34651.91,23030.205,4.0695212e+07,0.99727786,552883.0
12,20241.637,22751.348,3.732554e+07,0.9970093,288863.66
13,34003.598,23876.572,4.4988164e+07,0.99672854,506433.84
14,39714.18,25460.332,6.3064028e+07,0.99713135,524430.0
15,23202.443,25234.543,5.7216452e+07,0.9968994,354179.8
16,28691.307,25580.219,5.257023e+07,0.99704593,396497.62
17,18936.348,24915.832,5.12859e+07,0.9966919,304551.94
18,24395.352,24863.783,4.618169e+07,0.99663085,229136.48
19,28858.312,25263.236,4.2999584e+07,0.99694824,457635.75
20,11521.9375,23889.105,5.569372e+07,0.99658203,104125.586
21,16910.45,23191.24,5.4507496e+07,0.99654543,229112.66
22,35276.945,24399.81,6.220253e+07,0.9963989,514015.34
23,25774.895,24537.318,5.615245e+07,0.99627686,403193.7
24,27477.582,24831.344,5.1315268e+07,0.9962158,432010.0
25,9544.584,23302.668,6.72154e+07,0.9955322,79533.04
26,18897.75,22862.176,6.224015e+07,0.9954712,344321.97
27,18712.348,22447.193,5.756603e+07,0.99542236,194887.1
28,21869.29,22389.402,5.1839484e+07,0.99552006,252206.31
29,31654.463,23315.908,5.4381256e+07,0.99569094,547962.5
30,20759.861,23060.303,4.9531132e+07,0.99465334,332508.44
31,11614.141,21915.688,5.6369336e+07,0.99447024,102734.52
