step,energy,ewmean,ewvar,pmove,locstd
0,59129.773,59129.773,0.0,0.99244386,654203.9
1,38829.82,57099.777,3.708793e+07,0.9916992,231931.11
2,63940.742,57783.875,3.7591028e+07,0.99333495,500789.5
3,59861.96,57991.684,3.4220584e+07,0.9932251,585951.9
4,43240.133,56516.527,5.0383264e+07,0.99356693,362714.16
5,45975.477,55462.42,5.5345176e+07,0.9929077,403859.34
6,58173.855,55733.566,5.047233e+07,0.99346924,511412.62
7,47543.13,54914.523,5.1462588e+07,0.99328613,413933.7
8,62887.12,55711.78,5.2036936e+07,0.9939575,608590.75
9,58389.93,55979.598,4.7478764e+07,0.9940918,535222.75
10,57284.8,56110.117,4.288421e+07,0.99400634,496370.97
11,75098.945,58009.0,7.104759e+07,0.994043,798905.75
12,52014.22,57409.523,6.71772e+07,0.9936768,557285.75
13,52751.742,56943.746,6.2412024e+07,0.99370116,491415.56
14,43313.08,55580.68,7.289238e+07,0.99266356,412200.47
15,63755.047,56398.117,7.161698e+07,0.99261475,558188.2
16,38579.773,54616.28,9.302968e+07,0.99274904,261247.22
17,38643.11,53018.965,1.0668951e+08,0.9924194,273676.28
18,41983.324,51915.402,1.0698124e+08,0.992273,282381.44
19,40109.02,50734.766,1.0882827e+08,0.992273,505436.1
20,55783.023,51239.59,1.0023908e+08,0.9929077,579542.4
21,47602.312,50875.863,9.140585e+07,0.9921387,507329.3
22,54749.61,51263.24,8.361579e+07,0.99284667,573306.0
23,40404.223,50177.336,8.5866856e+07,0.9928223,320426.66
24,56528.57,50812.46,8.09106e+07,0.9930542,436421.25
25,50858.652,50817.08,7.2819736e+07,0.9925537,469588.38
26,47572.375,50492.61,6.648529e+07,0.9927002,403152.94
27,51108.508,50554.2,5.9870896e+07,0.9926025,475034.72
28,70567.84,52555.562,8.9932936e+07,0.99257815,616561.94
29,48273.54,52127.36,8.258986e+07,0.99208987,482097.16
30,56317.3,52546.35,7.591087e+07,0.9923096,593077.3
31,66838.34,53975.55,8.670328e+07,0.9914673,622213.0
32,52388.562,53816.85,7.8259624e+07,0.9914673,513343.66
33,70139.6,55449.125,9.441255e+07,0.99152833,698380.25
34,34910.758,53395.29,1.229355e+08,0.9910645,345039.12
35,38757.67,51931.527,1.29925336e+08,0.99144286,382061.28
36,54531.277,52191.504,1.1754109e+08,0.9909668,475025.6
